Gloss	Cocopa	Ipai	Mohave	Tipai	Yavapai
ALL_1	saːm			ʧamʎ̥~ɲaʧamʎ̥	
ALL_2		nʲaːmat̪			
ALL_3			paj		paja
ASH_1	xmʔuɬ				
ASH_2		ʔəmpiɬ			
ASH_3			hamʔuːʎ		ʔmhul~ʔmhul
BARK_1	ʂxujal	xaːsəjaɬ			
BARK_2			ʧaθkʷil		
BARK_3					θpila
BELLY_1	ʔiʧu	ət̪uː	iːto	t̪u	
BELLY_2					mnuna
BIG_1	pt̪aj		vaʎtajm~vatajm	t̪aj	
BIG_2		ʔiːkuː			
BIG_3					βte
BIRD_1	ʃa	ʔaːʂaː		aʔʃa~aːʃa	ʔʧsa
BIRD_2			ʔiʧajer~ʔiʧijer		
BITE_1	ʂaː				
BITE_2		ʧuːkuw		ʧuːkaw	
BITE_3			ʧakʲoːk		ʧkʲo
BLACK_1	ɲiːʎ̥	nʲiɬʲ	ɲaːʔiːʎ	ɲiʎ̥	
BLACK_2					ʔɲaː
BLOOD_1	ɲxʷat	ʔəxʷat	ɲahʷat	xʷat	ʔhʷata
BONE_1	ɲjaːk	aq		ak	
BONE_2			ɲasak		
BONE_3					ʧjaka
BREAST_1	xʧkaɾ~ʧxkaɾ			t̪əxkar	
BREAST_2		iːʧix			
BREAST_3			iːwa		
BREAST_4					ɲmaja
BURN (SOMETHING)_1	ʎ̥maɾ			aʎ̥mar	
BURN (SOMETHING)_2		aːɹaːw			
BURN (SOMETHING)_3			tapoːmm		
BURN (SOMETHING)_4					tu
CIRCULAR (ROUND IN TWO DIMENSIONS)_1	ɾjaɾ				
CIRCULAR (ROUND IN TWO DIMENSIONS)_2		jaɹəjaɹ		jərjar	
CLAW OR NAIL_1	ɬkaxʷaw~ʎ̥kaxʷaw				
CLAW OR NAIL_2		salʲəxʷuːw			
CLAW OR NAIL_3			iːsaʎkuʎoho		
CLAW OR NAIL_4				ʃaʎ̥nəpuːl	
CLAW OR NAIL_5					slhβo
CLOUD_1	kʷiː	ʔəkʷiːj	ʔiːkʷe	kʷiː	ʔkʷi
COLD_1	xsuːɾ	xəʧuːɹ			
COLD_2			haʧuːrk		
COLD_3				ʃuːkat	
COLD_4					muni
COME_1	jiː	wəjiw		jiw	juwi
COME_2			iðiːk		
DIE_1	mʂpa			məspa	
DIE_2		məlaj			
DIE_3			ipujk		
DIE_4					pi
DOG_1	xat	ʔəxat		xat	
DOG_2			hatʧoq		
DOG_3					kθar
DRINK_1	ʂi	wəsiː		si	θi
DRINK_2			iθiːm		
DRY_1	ʂʔaɾ				
DRY_2		saːj		sʔaːj	
DRY_3			iroːvk		
DRY_4					ruβi
EAR_1	ʃmaːl	xəmaɬ	ismaʎk	ʃəmaʎ̥	smalka
EARTH (SOIL)_1	mat	ʔəmat̪	ʔamat	mat	
EARTH (SOIL)_2					mat
EAT_1	ma				ma
EAT_2		wəsaːw		saːw	
EAT_3			ʔiʧamam~ʔiʧamaːm		
EGG_1	xmaʂuʔap				
EGG_2		ʔuɹ			
EGG_3			iθʔaw		
EGG_4				ʃəjaʧ	
EGG_5					sqawa
EYE_1	ʔiju	əjiːw		jiːw	ju
EYE_2			iːðo		
FAR_1	kuɾ	ʔəkuɹ		kur	
FAR_2			ʔamiːʧk		
FAR_3					twaji~twaji
