Gloss	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
ALL_1	jaːwal																			
ALL_2		panauma											panauma						panauma	
ALL_3			kʰumitʼʲin																	
ALL_4				saːm														ʧamʎ̥~ɲaʧamʎ̥		
ALL_5					kuːmu															
ALL_6						bulafʼkaʔ														
ALL_7							nʲaːmat̪													
ALL_8								koːβuɾa												
ALL_9									tʼiː											
ALL_10										paj										paja
ALL_11												dilej								
ALL_12														koːχ						
ALL_13															ʔwiːwaːwahuʔ~ʔwiːwawaw					
ALL_14																ʔuχqat̪				
ALL_15																	naːpijo			
ASH_1	no				no				ʔinoqoʧ			noho					hiːno			
ASH_2			maʦʼχipa																	
ASH_3				xmʔuɬ																
ASH_4						ɬabi														
ASH_5							ʔəmpiɬ													
ASH_6								amtaːp												
ASH_7										hamʔuːʎ										ʔmhul~ʔmhul
ASH_8											malaʔ				mahawa					
ASH_9													tʼapʔlaːwiʔauna							
ASH_10														ʔantimak						
ASH_11																χojonoχo				
BARK_1	kʰwaː				xaːwal				qahwaː		kʰawaː					χwal	kʰawːa			
BARK_2			hipχaʧʼi~hipːχaʧi																	
BARK_3				ʂxujal			xaːsəjaɬ													
BARK_4						liʃmikʼek														
BARK_5								maːn												
BARK_6										ʧaθkʷil										
BARK_7												ʃewa								
BARK_8													patʔjauna							
BARK_9														inaːiɬ						
BARK_10																				θpila
BELLY_1	mkʰa																			
BELLY_2			hutʲunew																	
BELLY_3				ʔiʧu			ət̪uː			iːto								t̪u		
BELLY_4					kʼo						koi					qo				
BELLY_5						laɡuʔu														
BELLY_6								βiʃβaːn												
BELLY_7									ʔuhqʰa								ʔukʰːa			
BELLY_8												kʰaʃeʔ								
BELLY_9													willa						willa	
BELLY_10														jaχ						
BELLY_11															ʔiʧnit					
BELLY_12																				mnuna
BIG_1	baːtʰe								bahtʰe								bahtʰe			βte
BIG_2		paʦal											paʦal						paʦal	
BIG_3			ʧewːu																	
BIG_4				pt̪aj																
BIG_5					baːtʰin					vaʎtajm~vatajm										
BIG_6						ʔaɡweɡaʔ														
BIG_7							ʔiːkuː													
BIG_8								keːʧ												
BIG_9											tʰijin									
BIG_10												mato								
BIG_11														kaːkox						
BIG_12															kʼimpiʔ					
BIG_13																bitenikʼ				
BIG_14																		t̪aj		
BIRD_1	t̪a								ʦʼiht̪a							ʦʼit̪a	ʦʼiht̪a			
BIRD_2			tiʔira							ʔiʧajer~ʔiʧijer										
BIRD_3				ʃa			ʔaːʂaː											aʔʃa~aːʃa		ʔʧsa
BIRD_4					ʦʼiːja						ʧʼijit̪kaː									
BIRD_5						ɬaɡa														
BIRD_6								aʧβiːβ												
BIRD_7												ʦʼitʼ								
BIRD_8													ʦutʔawi							
BIRD_9														ʃiːk						
BIRD_10															ʧʼiːʧʼaːx					
BITE_1	kaːne				qaːneː				qane			kane				qne	kaːni			
BITE_2		ʦa											ʦa						ʦa	
BITE_3			utpa																	
BITE_4				ʂaː																
BITE_5						diɡaʔma														
BITE_6							ʧuːkuw											ʧuːkaw		
BITE_7								paɾ												
BITE_8										ʧakʲoːk										ʧkʲo
BITE_9														kkatχɬa						
BITE_10															taʔuxawiːk					
BLACK_1	kʼli								kʼili											
BLACK_2		tapʰalsa											tapʰalsa						tahpʰalsa	
BLACK_3			ʧʰeleʔi																	
BLACK_4				ɲiːʎ̥			nʲiɬʲ			ɲaːʔiːʎ								ɲiʎ̥		
BLACK_5					muːʃaqʼ															
BLACK_6						ʔumi														
BLACK_7								ikxaɾamkuniʃ												
BLACK_8											ʧʼihkil									
BLACK_9												kʰaʦʼe								
BLACK_10														koːpoɬ						
BLACK_11															ʔeːpxutaraxiʔ					
BLACK_12																luqʼolqʼo				
BLACK_13																	ʃakʼːa			
BLACK_14																				ʔɲaː
BLOOD_1	baːlaj				baːlaj				balaj			balaj				blaj	baːlaj			
BLOOD_2		watʔtuwi											watʔtuwi							
BLOOD_3			siʦqʼi																	
BLOOD_4				ɲxʷat			ʔəxʷat			ɲahʷat				ʔaːit				xʷat		
BLOOD_5						laʍaʦʼ														
BLOOD_6								aːx												
BLOOD_7											ʧes									
BLOOD_8															ʔaxta					ʔhʷata
BONE_1	jaː				j̥a							jaː				jaqʼo				
BONE_2		ʔixtalʔ											ʔixtalʔ						ʔaxtatʔ	
BONE_3			ʦʰʲatʰχun																	
BONE_4				ɲjaːk			aq								ʔaːkʼ			ak		ʧjaka
BONE_5						leɡaɬ														
BONE_6								ipih												
BONE_7									ʔihjaː		hija						ʔiːha			
BONE_8										ɲasak										
BONE_9														itak						
BREAST_1			huʔsiʔ			ɬonʃahmaʔ														
BREAST_2				xʧkaɾ																
BREAST_3				ʧxkaɾ														t̪əxkar		
BREAST_4					jeːʔel						jeʔeː~t̪ʰeʔeː	jeʔeː								
BREAST_5							iːʧix													
BREAST_6								iθβaːj												
BREAST_7										iːwa										
BREAST_8													ʦuxpinna							
BREAST_9														iːsaχiːʃk						
BREAST_10															ʔiʧwat					
BREAST_11																wʔel				
BREAST_12																				ɲmaja
BURN (SOMETHING)_1		haʔwiː											haʔwiː						haʔwiː	
BURN (SOMETHING)_2				ʎ̥maɾ														aʎ̥mar		
BURN (SOMETHING)_3					ʃaːtʼoː															
BURN (SOMETHING)_4						dibiʔeʔma														
BURN (SOMETHING)_5							aːɹaːw													
BURN (SOMETHING)_6								aːhka												
BURN (SOMETHING)_7									muhkʰujʔ											
BURN (SOMETHING)_8										tapoːmm										
BURN (SOMETHING)_9														kaʔitax						
BURN (SOMETHING)_10																				tu
CIRCULAR (ROUND IN TWO DIMENSIONS)_1				ɾjaɾ			jaɹəjaɹ											jərjar		
CIRCULAR (ROUND IN TWO DIMENSIONS)_2														kpɛːtix						
CLAW OR NAIL_1	ʔeːʧʼ								heːʧʼ		heːʧʼa						heːʧʼ			
CLAW OR NAIL_2			polaχot				salʲəxʷuːw													
CLAW OR NAIL_3				ɬkaxʷaw~ʎ̥kaxʷaw						iːsaʎkuʎoho						ʔaʃab				
CLAW OR NAIL_4					rikʰ															
CLAW OR NAIL_5						ɬaʔnaɬuk														
CLAW OR NAIL_6								axpih												
CLAW OR NAIL_7												heʧʼ								
CLAW OR NAIL_8													sukʼuʔliptalla						sukʼuʔnimtanna	
CLAW OR NAIL_9														inoːsx						
CLAW OR NAIL_10															ʔeːraxa					
CLAW OR NAIL_11																		ʃaʎ̥nəpuːl		
CLAW OR NAIL_12																				slhβo
CLOUD_1	kʰbaː				xaːbo				qʰabaː							xubu	kʰabʔa			
CLOUD_2			hawetaʔm																	
CLOUD_3				kʷiː			ʔəkʷiːj			ʔiːkʷe								kʷiː		ʔkʷi
CLOUD_4						lummawaj														
CLOUD_5								pikxaɾampa												
CLOUD_6											kʰaʔbot̪on									
CLOUD_7												pʰut̪ʼ								
CLOUD_8														ʔoːkaɬa						
CLOUD_9															ʔiːpaːkuʔ					
COLD_1	kʼiw																			
COLD_2			eso																	
COLD_3				xsuːɾ			xəʧuːɹ			haʧuːrk										
COLD_4					qaːʦʰil											qsilit̪				
COLD_5						ʔaʃida														
COLD_6								aθiːk												
COLD_7									ʔihjuːm											
COLD_8											ʃoʔt̪ʼon									
COLD_9												madoː					moʔdotʼ			
COLD_10														kaːpɬ						
COLD_11															ʔisːikʼ					
COLD_12																		ʃuːkat		
COLD_13																				muni
COME_1	waːd								waːd			waːde					hwaːd			
COME_2		ni						naː					ni						ni	
COME_3		ha											ha						ha	
COME_4			uwakʰ																	
COME_5				jiː														jiw		juwi
COME_6					qoːjuhu		wəjiw													
COME_7						diɡwajwo														
COME_8										iðiːk										
COME_9											koːn									
COME_10														moka						
COME_11															kʼuːhujikːa					
COME_12																χolo				
DIE_1	kʼla											kʼalaː				qʼalal				
DIE_2		tilau											tilau							
DIE_3			qʼe																	
DIE_4				mʂpa														məspa		
DIE_5					muːdal		məlaj													
DIE_6						dimaʔma														
DIE_7								iβ												
DIE_8									hʧʰojiːʧʼ								ʔahʧʰoʧi			
DIE_9										ipujk										
DIE_10											muʔkʼaːwan									
DIE_11														ʔakχkmiːʔ						
DIE_12															kwirikik					
DIE_13																				pi
DOG_1	haju				haju				haju			haju				haju	hajːu			
DOG_2		suːsu											suːsu						suːsu	
DOG_3			siʧʼela																	
DOG_4				xat			ʔəxat											xat		
DOG_5						ɡalʦiki														
DOG_6								ʧiʃiːh												
DOG_7										hatʧoq										
DOG_8											boʔlaukaː									
DOG_9														ʔaχʃ						
DOG_10															ʔaːpsu					
DOG_11																				kθar
DRINK_1	kʼoʧ				qʼoː							kʼoʧi								
DRINK_2			luʔi					iʃ												
DRINK_3				ʂi			wəsiː						siː					si		θi
DRINK_4						diʃnaʔma														
DRINK_5									ʔqʼo								hoʔkʼoj			
DRINK_6										iθiːm										
DRINK_7											kʼot̪on									
DRINK_8														kisi						
DRINK_9															kwiʦːik					
DRINK_10																biʦʼak				
DRINK_11																			ʦiː	
DRY_1	ʧʼaːlol				kʼaːlol															
DRY_2		kʰulsi											kʰulsi						kʰulsi	
DRY_3			aʧxunmi																	
DRY_4				ʂʔaɾ																
DRY_5						ʔihuɬ														
DRY_6							saːj											sʔaːj		
DRY_7								iβaxɾah												
DRY_8									ʦʼuwaʧ											
DRY_9										iroːvk										
DRY_10											muʔkʼilin						mukʰːatʼ			
DRY_11												tʼaboʔ								
DRY_12														kʷkoːtix						
DRY_13															kʼiʦːur					
DRY_14																qʼobo				
DRY_15																				ruβi
EAR_1	ʃma			ʃmaːl	ʃiːmaː		xəmaɬ		ʃima	ismaʎk	ʃima	ʃima					ʃiːmomo	ʃəmaʎ̥		smalka
EAR_2		malku											malʔku						manʔku	
EAR_3			hisama												ʔisaːkʼ					
EAR_4						laʃʔmas														
EAR_5								tiːβ												
EAR_6														isɬa						
EAR_7																xmanʦa				
EARTH (SOIL)_1	maː		amːa						ʔamaː		amaː	maː					ʔamːa			
EARTH (SOIL)_2		piːwi											piːwi						piːwi	
EARTH (SOIL)_3				mat		ɬamaʦʼ	ʔəmat̪			ʔamat								mat		
EARTH (SOIL)_4					kaːj															
EARTH (SOIL)_5								iθiβθaːneːn												
EARTH (SOIL)_6														ʔant						
EARTH (SOIL)_7															tʼarak					
EARTH (SOIL)_8																χqo				
EARTH (SOIL)_9																				mat
EAT_1	kaːwa															qwal				
EAT_2		ma		ma					maʔa		maʔaːn	maʔa	ma						ma	ma
EAT_3			hamːa							ʔiʧamam~ʔiʧamaːm										
EAT_4					kuːhuː									kiʔit			ʧuhːu			
