Gloss	Central Pomo	Eastern Pomo	Kashaya	Northeastern Pomo	Northern Pomo	Southeastern Pomo	Southern Pomo
ALL_1	jaːwal						
ALL_2		kuːmu					
ALL_3			tʼiː		dilej		
ALL_4						ʔuχqat̪	
ALL_5							naːpijo
ASH_1	no	no	ʔinoqoʧ		noho		hiːno
ASH_2				malaʔ			
ASH_3						χojonoχo	
BARK_1	kʰwaː	xaːwal	qahwaː	kʰawaː	ʃewa	χwal	kʰawːa
BELLY_1	mkʰa						
BELLY_2		kʼo		koi		qo	
BELLY_3			ʔuhqʰa				ʔukʰːa
BELLY_4					kʰaʃeʔ		
BIG_1	baːtʰe	baːtʰin	bahtʰe			bitenikʼ	bahtʰe
BIG_2				tʰijin			
BIG_3					mato		
BIRD_1	t̪a		ʦʼiht̪a			ʦʼit̪a	ʦʼiht̪a
BIRD_2		ʦʼiːja		ʧʼijit̪kaː			
BIRD_3					ʦʼitʼ		
BITE_1	kaːne	qaːneː	qane		kane	qne	kaːni
BLACK_1	kʼli		kʼili				
BLACK_2		muːʃaqʼ					
BLACK_3				ʧʼihkil			
BLACK_4					kʰaʦʼe		
BLACK_5						luqʼolqʼo	
BLACK_6							ʃakʼːa
BLOOD_1	baːlaj	baːlaj	balaj		balaj	blaj	baːlaj
BLOOD_2				ʧes			
BONE_1	jaː	j̥a			jaː	jaqʼo	
BONE_2			ʔihjaː	hija			ʔiːha
BREAST_1		jeːʔel		jeʔeː~t̪ʰeʔeː	jeʔeː		
BREAST_2						wʔel	
BURN (SOMETHING)_1		ʃaːtʼoː					
BURN (SOMETHING)_2			muhkʰujʔ				
CLAW OR NAIL_1	ʔeːʧʼ		heːʧʼ	heːʧʼa	heʧʼ		
CLAW OR NAIL_2		rikʰ					
CLAW OR NAIL_3						ʔaʃab	
CLAW OR NAIL_4							heːʧʼ
CLOUD_1	kʰbaː	xaːbo	qʰabaː			xubu	kʰabʔa
CLOUD_2				kʰaʔbot̪on			
CLOUD_3					pʰut̪ʼ		
COLD_1	kʼiw						
COLD_2		qaːʦʰil				qsilit̪	
COLD_3			ʔihjuːm				
COLD_4				ʃoʔt̪ʼon			
COLD_5					madoː		moʔdotʼ
COME_1	waːd		waːd		waːde		hwaːd
COME_2		qoːjuhu					
COME_3				koːn			
COME_4						χolo	
DIE_1	kʼla				kʼalaː	qʼalal	
DIE_2		muːdal					
DIE_3			hʧʰojiːʧʼ				ʔahʧʰoʧi
DIE_4				muʔkʼaːwan			
DOG_1	haju	haju	haju		haju	haju	hajːu
DOG_2				boʔlaukaː			
DRINK_1	kʼoʧ	qʼoː			kʼoʧi		
DRINK_2			ʔqʼo				hoʔkʼoj
DRINK_3				kʼot̪on			
DRINK_4						biʦʼak	
DRY_1	ʧʼaːlol	kʼaːlol					
DRY_2			ʦʼuwaʧ				
DRY_3				muʔkʼilin			
DRY_4					tʼaboʔ		
DRY_5						qʼobo	
DRY_6							mukʰːatʼ
EAR_1	ʃma	ʃiːmaː	ʃima	ʃima	ʃima		ʃiːmomo
EAR_2						xmanʦa	
EARTH (SOIL)_1	maː		ʔamaː	amaː	maː		ʔamːa
EARTH (SOIL)_2		kaːj					
EARTH (SOIL)_3						χqo	
EAT_1	kaːwa					qwal	
EAT_2		kuːhuː					ʧuhːu
EAT_3			maʔa	maʔaːn	maʔa		
EGG_1	ʧʼoː	kʼo	hiʧʼoː	ʧʼo	ʧʼoː	qʼo	hiʧʼːo
EYE_1	ʔuj	ʔuj	huʔuj		ʔuj	ʔuj	
EYE_2				ui			
EYE_3							huʔːukʰbe
FAR_1		lila					
FAR_2					ʧadil		
FAT (FROM ANIMALS)_1	pʰuj	pʰuj	ʔihpʰuj		pʰuj	fuj	ʔihpʰuj
FAT (FROM ANIMALS)_2				fijin			
FEATHER_1	ʔi	jiːʔi	hiʔi			ʔi	hiʔːi
FEATHER_2				tʰa			
FEATHER_3					tʰe		
FIRE_1	ho		ʔoho	oho	ho		ʔohːo
FIRE_2		xo				χo	
FISH_1	ʃa	ʃa	ʔahʃa	ʃakaː	ʃa	xa	ʔahʃa
FLY (MOVE THROUGH AIR)_1	pʰde	pʰuːdiːl			pʰide		
FLY (MOVE THROUGH AIR)_2			ʧa			ʦal	haʧːa
FLY (MOVE THROUGH AIR)_3				heːwit̪in			
FOOT_1	kʰma	xaːmaː	qʰama	kʰama	kʰama	χman	kʰaːma
FULL_1	ʃtʼutʼ						
FULL_2		pʼit̪ʼ					
FULL_3			ʧutʼaːq				
FULL_4					haʧʼa		
FULL_5						χat̪emat̪	
FULL_6							ʔahjakʼ
GIVE_1	daːka	diːqaː	dihqa		dika		dihka
GIVE_2				hoːn		ʔaqa	
GOOD_1	kʼdi	qʼoːdij	qʼoʔdi	kʼudi	kʼidi		kʼoʔdi
GOOD_2						ʦʼima	
GREEN_1	ʦʼaːkʰil		ʦʼaqʰaːla		ʦʼakʰatʼ		
GREEN_2		ʦʼaːbaʦʼaːbakʰ				ʦʼijaʦʼija	
GREEN_3				ʧamoron			
GREEN_4							ʦʼahkʰil
HAIR_1	ʔeː		heʔe	hele	ʔe	ʔej	heʔːe
HAIR_2		muːsu					
HAND_1	t̪ʰna				t̪ʰana		t̪ʰaːna
HAND_2		biːj̥a					
HAND_3			ʧohʃo	t̪ohʃo			
HAND_4						at̪an	
HEAD_1	ʃnaː				ʃinaː		ʃinːa
HEAD_2		kʰaːja				xija	
HEAD_3			hoʔt̪ʼo				
HEAD_4				t̪inaː			
HEAR_1	ʃoːʧ	ʃoːkʰ	ʃoːʧ		ʃoːʧi		ʃoːʧi
HEAR_2				ʃimit̪			
HEAR_3						xkʼo	
HEART_1	kʰam						
HEART_2		saːmaːj					
HEART_3			ʦʼuhkul			ʦʼukut̪	ʦʼuhkun
HEART_4				kʰamʃeme			
HEART_5					kʰam		
HEAVY_1		xaːlikʰ					
HEAVY_2						ʔtʼeʔkit̪	
HORN (ANATOMY)_1	ʔa	ʔa	haʔa	ʔa	ʔa	ʔa	haʔːa
I_1	ʔaː	haː	ʔa	ʔaː	ʔaː	ʔa	ʔaːʔa
I_2	t̪oː		t̪o	ʔaht̪o	t̪oː		ʔat̪ːo
I_3		wi				wit̪	
KILL_1	haːkʼuːm						
KILL_2		ʃaːkʼ					
KILL_3			pʰakʼuːm				
KILL_4				kʼamanan			mihjana
KILL_5					ʧaban		
KILL_6						mudoqa	
KNEE_1	snoː			ʃiʔkʼono			sinːot̪ːa
KNEE_2		qʼuːt̪ul				qʼada	
KNEE_3			moqʰoː				
KNEE_4					jaːsis		
KNOW (SOMETHING)_1	jaqʼ						
KNOW (SOMETHING)_2		meːʔel					
KNOW (SOMETHING)_3			ʔduːʧiʧʼ				hiʔduʧːed
KNOW (SOMETHING)_4					ʃaː		
KNOW (SOMETHING)_5						fdiqa	
LEAF_1	stʼal	siːtʼal					
LEAF_2			ʃihpʰa		ʃapʰa		
LEAF_3				t̪uʔt̪ʼa			
LEAF_4						kiqt̪a	
LEAF_5							ʃiːma
LIE (REST)_1	mti		miti		miti	mat	miːti
LIE (REST)_2		mer		meːre			
LIVER_1	ʃaːlaː	kʰaːl̥al	ʧahlaː	ʧʰalaː	ʃalaː	ʃlal~ʃlala	
LIVER_2							ʧalha
LONG_1	kol				kol		
LONG_2		baːkil				biʦil	
LONG_3			ʔahqol				ʔahkon
LONG_4				kolon			
LOUSE_1	ʧi	kiː			ʧi	ʦin	
LOUSE_2			ʔahʧi				ʔahʧi
LOUSE_3				t̪ikaː			
MAN_1	baja		hiʔbaja		baː		
MAN_2		kaːkʰ					
MAN_3				biki			
MAN_4						ʦawi	
MAN_5							ʔaʧːaj
MANY_1	t̪ʰedu						
MANY_2			batʰeː	bahtʰe	batʰe	biteqa	bahtʰe
MEAT_1	pʼʃe	biːʃe	bihʃe	behʃe	biʃe	bxe	behʃe
MOON_1	laːʃa		qʼalaːʃa				ʔalːaːʃa
MOON_2		duːwelaː		duwedakaː		ʔeweda	
MOON_3					da		
MOUNTAIN_1	daːno	daːno	dono		dano		doːno
MOUNTAIN_2				wiʃaː			
MOUNTAIN_3						kno	
MOUTH_1	ha		ʔaha	hamo	ha		ʔahːa
MOUTH_2		xaʦʼiːda				χast̪o	
NAME_1	ʃi	ʃi			ʃi	xi	
NAME_2			ʃihʧimaːʧʼ				
NAME_3				ahʃin			
NAME_4							ʔahʃiːjaw
NEAR_1		t̪ʰiːbal					
NECK_1	mja		mihja				mihja
NECK_2		qʼoj				qʼoj	
NECK_3				huʔkʼa			
NECK_4					kʰu		
NEW_1	ʃwej	ʃiːwej	ʃiwej	ʃewej	ʃiwej		ʃeːwej
NEW_2						qe	
NIGHT_1	ʔaːwe	duːwe	duwe	duwe	diwe	ʔewe	duːwe
NOSE_1	la	laboːbo	ʔila		la	la	
NOSE_2				limo			
NOSE_3							hiːlamʔda
NOT_1	ʧʰow						
NOT_2		kʰuj					
NOT_3			t̪ʰin				
NOT_4				ʧʰoːt̪on			
NOT_5					kʼo		
NOT_6						da	
NOT_7							t̪ʰot̪ʰ
ONE_1	tʼaːtʼo						
ONE_2		kʼali					
ONE_3			hku				
ONE_4				ʧʼaːki	ʧʼaː		ʧʼaːʔa
ONE_5						dan	
PERSON_1	ʧaːʧʼ		ʔaʧaːʧ				ʔahʧahʧej
PERSON_2		kaːwkʰ					
PERSON_3				t̪aːt̪kaː			
PERSON_4					ʧaʔ		
PERSON_5						ʔumt̪iwi	
RAIN (PRECIPITATION)_1	ʧʰe	kʰiːkeː	ʔihʧʰe			sʦʼen	ʧehʧʰe
RAIN (PRECIPITATION)_2				ʃiʔt̪ʼoːn			
RAIN (PRECIPITATION)_3					biʃemaː		
RED_1	tʼas						
RED_2		qʼedaqʼedakʰ					
RED_3			kʼiːs				
RED_4				ʧʼabaran			
RED_5					t̪ʼaʦʼ		
RED_6						t̪ʼant̪ʼan	
RED_7							hatʼːa
ROAD_1	da			da	da	dawa	
ROAD_2		dadaj					
ROAD_3			hiʔda				hiʔda
ROOT_1	saːma					suma	
ROOT_2		ʦʰiʦʰ					
ROOT_3			ʔihqʰot				
ROOT_4					jem		
ROOT_5							suːlen
ROUND_1	ʃbokʼ						
ROUND_2			poloːlo				
ROUND_3				mukaːkan			
ROUND_4					ʧʼadol		
ROUND_5						bunbun	
ROUND_6							lupːu
SALT_1		kʰeːʔeː		ʧʰeʔeː	ʃeʔeː		
SALT_2			taʔqʼo				taʔkʼo
SAND_1	mʦatʼ						
SAND_2		tʰaːʔaː					
SAND_3			mitaʧ			mat̪ak	miːtaj
SAND_4				hino			
SAND_5					miʧatʼ		
SAY_1	mi						
SAY_2		n̥iː	nihʧe				
SAY_3				weːn			
SAY_4					heʔ		
SAY_5						muwat̪a	
SAY_6							ʧahnu
SEE_1	pʰwi						
SEE_2		kaːr					
SEE_3			ʧad		ʧadi		ʧaːd
SEE_4				t̪aːn			
SEE_5						mqo	
SEED_1	semija		semiːja			semeja	simiːja
SEED_2		qaːsoj			soː		
SHORT_1		buʔuʧʼ					
SIT_1	ʔaːʧʰa	kaː	ʧa				
SIT_2				t̪uman	ʧima		
SIT_3						sʦʼa	
SIT_4							ʧiːjo
SKIN_1	ʦʼda	ʦʼiːda	ʦʼiʔda				ʦʼiʔda
SKIN_2				ʃuːru			
SKIN_3					sijan		
SKIN_4						qʼot̪al	
SLEEP_1	sma	siːmaːmer	simaːq	ʃimaːkan	sima		siːma
SLEEP_2						qnaq	
SMALL_1	kaːwi		qawi				
SMALL_2		buːhuʃ					
SMALL_3				t̪ʼuːjaʔan			
SMALL_4					biʧʼuʔ		
SMALL_5						kʼuʧʼin	
SMALL_6							kiʦʼːidu
SMOKE (EXHAUST)_1	hosaha		hosa				ʔohːosa
SMOKE (EXHAUST)_2		saːxa		ʃaha	saha		
SMOKE (EXHAUST)_3						ʦχa	
SNAKE_1		qaːlutʼuːdukʰ					
SNAKE_2					misakʰala		
STAND_1	ʧaːtom						ʧoht̪on
STAND_2		kokʰ					
STAND_3			t̪ʼeːt̪	t̪oːn			
STAND_4					t̪oma	qt̪omat̪	
STAR_1	kʰʔaːmul		qʰaːmoʦʼ				
STAR_2		ʔujaxo					
STAR_3				koʔtaikaː			
STAR_4					tʰotʰol		
STAR_5						ʦʼeχajqʼujqʼuj	
STAR_6							kʰamhun
STONE_1	kʰbe	xaːbe	qʰaʔbe	kʰaʔbe	kʰabe	χabe	kʰaʔbe
