# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
1	Central Pomo	ALL	j aː w a l	6 7 6 7 5	AXBYN	JAWAL	1	1.J.C 1.A.V 1.W.C 1.A.V 1.L.c	2.0 1.5 1.75 1.3 0.8	jaːwal	0	1
100	Eastern Pomo	ALL	k uː m u	1 7 4 7	AXBZ	KYMY	2	2.K.C 2.Y.V 2.M.C 2.Y.V	2.0 1.5 1.75 0.8	kuːmu	0	2
209	Kashaya	ALL	tʼ iː	1 7	AX	TI	3	3.T.C 3.I.V	2.0 1.5	tʼiː	0	3
407	Northern Pomo	ALL	d i l e j	1 7 5 7 6	AXBYN	TILEJ	5	5.T.C 5.I.V 5.L.C 5.E.V 5.J.c	2.0 1.5 1.75 1.3 0.8	dilej	0	3
512	Southeastern Pomo	ALL	ʔ u χ q a t̪	1 7 3 1 7 1	AXMBYN	HYGKAT	6	6.H.C 6.Y.V 6.G.c 6.K.C 6.A.V 6.T.c	2.0 1.5 1.1 1.75 1.3 0.8	ʔuχqat̪	0	5
616	Southern Pomo	ALL	n aː p i j o	4 7 1 7 6 7	AXBYBZ	NAPIJU	7	7.N.C 7.A.V 7.P.C 7.I.V 7.J.C 7.U.V	2.0 1.5 1.75 1.3 1.75 0.8	naːpijo	0	6
#
2	Central Pomo	ASH	n o	4 7	AX	NU	1	1.N.C 1.U.V	2.0 1.5	no	0	7
101	Eastern Pomo	ASH	n o	4 7	AX	NU	2	2.N.C 2.U.V	2.0 1.5	no	0	7
210	Kashaya	ASH	ʔ i n o q o ʧ	1 7 4 7 1 7 2	AXBYBYN	HINUKUC	3	3.H.C 3.I.V 3.N.C 3.U.V 3.K.C 3.U.V 3.C.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ʔinoqoʧ	0	7
313	Northeastern Pomo	ASH	m a l a ʔ	4 7 5 7 1	AXBYN	MALAH	4	4.M.C 4.A.V 4.L.C 4.A.V 4.H.c	2.0 1.5 1.75 1.3 0.8	malaʔ	0	10
408	Northern Pomo	ASH	n o h o	4 7 3 7	AXBZ	NUHU	5	5.N.C 5.U.V 5.H.C 5.U.V	2.0 1.5 1.75 0.8	noho	0	7
513	Southeastern Pomo	ASH	χ o j o n o χ o	3 7 6 7 4 7 3 7	AXBYBYBZ	GUJUNUGU	6	6.G.C 6.U.V 6.J.C 6.U.V 6.N.C 6.U.V 6.G.C 6.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	χojonoχo	0	12
617	Southern Pomo	ASH	h iː n o	3 7 4 7	AXBZ	HINU	7	7.H.C 7.I.V 7.N.C 7.U.V	2.0 1.5 1.75 0.8	hiːno	0	7
#
3	Central Pomo	BARK	kʰ w aː	1 6 7	ACX	KWA	1	1.K.C 1.W.C 1.A.V	2.0 1.5 1.5	kʰwaː	0	13
102	Eastern Pomo	BARK	x aː w a l	3 7 6 7 5	AXBYN	GAWAL	2	2.G.C 2.A.V 2.W.C 2.A.V 2.L.c	2.0 1.5 1.75 1.3 0.8	xaːwal	0	13
211	Kashaya	BARK	q a h w aː	1 7 3 6 7	AXBCZ	KAHWA	3	3.K.C 3.A.V 3.H.C 3.W.C 3.A.V	2.0 1.5 1.75 1.5 0.8	qahwaː	0	13
314	Northeastern Pomo	BARK	kʰ a w aː	1 7 6 7	AXBZ	KAWA	4	4.K.C 4.A.V 4.W.C 4.A.V	2.0 1.5 1.75 0.8	kʰawaː	0	13
409	Northern Pomo	BARK	ʃ e w a	3 7 6 7	AXBZ	SEWA	5	5.S.C 5.E.V 5.W.C 5.A.V	2.0 1.5 1.75 0.8	ʃewa	0	13
514	Southeastern Pomo	BARK	χ w a l	3 6 7 5	ACXN	GWAL	6	6.G.C 6.W.C 6.A.V 6.L.c	2.0 1.5 1.5 0.8	χwal	0	13
618	Southern Pomo	BARK	kʰ a wː a	1 7 6 7	AXBZ	KAWA	7	7.K.C 7.A.V 7.W.C 7.A.V	2.0 1.5 1.75 0.8	kʰawːa	0	13
#
4	Central Pomo	BELLY	m kʰ a	4 1 7	ACZ	MKA	1	1.M.C 1.K.C 1.A.V	2.0 1.5 0.8	mkʰa	0	14
103	Eastern Pomo	BELLY	kʼ o	1 7	AX	KU	2	2.K.C 2.U.V	2.0 1.5	kʼo	0	15
212	Kashaya	BELLY	ʔ u h qʰ a	1 7 3 1 7	AXMBZ	HYHKA	3	3.H.C 3.Y.V 3.H.c 3.K.C 3.A.V	2.0 1.5 1.1 1.75 0.8	ʔuhqʰa	0	16
315	Northeastern Pomo	BELLY	k o i	1 7 7	AXZ	KUI	4	4.K.C 4.U.V 4.I.V	2.0 1.5 0.8	koi	0	15
410	Northern Pomo	BELLY	kʰ a ʃ e ʔ	1 7 3 7 1	AXBYN	KASEH	5	5.K.C 5.A.V 5.S.C 5.E.V 5.H.c	2.0 1.5 1.75 1.3 0.8	kʰaʃeʔ	0	18
515	Southeastern Pomo	BELLY	q o	1 7	AX	KU	6	6.K.C 6.U.V	2.0 1.5	qo	0	15
619	Southern Pomo	BELLY	ʔ u kʰː a	1 7 1 7	AXBZ	HYKA	7	7.H.C 7.Y.V 7.K.C 7.A.V	2.0 1.5 1.75 0.8	ʔukʰːa	0	16
#
5	Central Pomo	BIG	b aː tʰ e	1 7 1 7	AXBZ	PATE	1	1.P.C 1.A.V 1.T.C 1.E.V	2.0 1.5 1.75 0.8	baːtʰe	0	19
104	Eastern Pomo	BIG	b aː tʰ i n	1 7 1 7 4	AXBYN	PATIN	2	2.P.C 2.A.V 2.T.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 0.8	baːtʰin	0	19
213	Kashaya	BIG	b a h tʰ e	1 7 3 1 7	AXMBZ	PAHTE	3	3.P.C 3.A.V 3.H.c 3.T.C 3.E.V	2.0 1.5 1.1 1.75 0.8	bahtʰe	0	19
316	Northeastern Pomo	BIG	tʰ i j i n	1 7 6 7 4	AXBYN	TIJIN	4	4.T.C 4.I.V 4.J.C 4.I.V 4.N.c	2.0 1.5 1.75 1.3 0.8	tʰijin	0	22
411	Northern Pomo	BIG	m a t o	4 7 1 7	AXBZ	MATU	5	5.M.C 5.A.V 5.T.C 5.U.V	2.0 1.5 1.75 0.8	mato	0	23
516	Southeastern Pomo	BIG	b i t e n i kʼ	1 7 1 7 4 7 1	AXBYBYN	PITENIK	6	6.P.C 6.I.V 6.T.C 6.E.V 6.N.C 6.I.V 6.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	bitenikʼ	0	19
620	Southern Pomo	BIG	b a h tʰ e	1 7 3 1 7	AXMBZ	PAHTE	7	7.P.C 7.A.V 7.H.c 7.T.C 7.E.V	2.0 1.5 1.1 1.75 0.8	bahtʰe	0	19
#
6	Central Pomo	BIRD	t̪ a	1 7	AX	TA	1	1.T.C 1.A.V	2.0 1.5	t̪a	0	24
105	Eastern Pomo	BIRD	ʦʼ iː j a	2 7 6 7	AXBZ	CIJA	2	2.C.C 2.I.V 2.J.C 2.A.V	2.0 1.5 1.75 0.8	ʦʼiːja	0	25
214	Kashaya	BIRD	ʦʼ i h t̪ a	2 7 3 1 7	AXMBZ	CIHTA	3	3.C.C 3.I.V 3.H.c 3.T.C 3.A.V	2.0 1.5 1.1 1.75 0.8	ʦʼiht̪a	0	24
317	Northeastern Pomo	BIRD	ʧʼ i j i t̪ k aː	2 7 6 7 1 1 7	AXBYMBZ	CIJITKA	4	4.C.C 4.I.V 4.J.C 4.I.V 4.T.c 4.K.C 4.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	ʧʼijit̪kaː	0	25
412	Northern Pomo	BIRD	ʦʼ i tʼ	2 7 1	AXN	CIT	5	5.C.C 5.I.V 5.T.c	2.0 1.5 0.8	ʦʼitʼ	0	28
517	Southeastern Pomo	BIRD	ʦʼ i t̪ a	2 7 1 7	AXBZ	CITA	6	6.C.C 6.I.V 6.T.C 6.A.V	2.0 1.5 1.75 0.8	ʦʼit̪a	0	24
621	Southern Pomo	BIRD	ʦʼ i h t̪ a	2 7 3 1 7	AXMBZ	CIHTA	7	7.C.C 7.I.V 7.H.c 7.T.C 7.A.V	2.0 1.5 1.1 1.75 0.8	ʦʼiht̪a	0	24
#
7	Central Pomo	BITE	k aː n e	1 7 4 7	AXBZ	KANE	1	1.K.C 1.A.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	kaːne	0	29
106	Eastern Pomo	BITE	q aː n eː	1 7 4 7	AXBZ	KANE	2	2.K.C 2.A.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	qaːneː	0	29
215	Kashaya	BITE	q a n e	1 7 4 7	AXBZ	KANE	3	3.K.C 3.A.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	qane	0	29
413	Northern Pomo	BITE	k a n e	1 7 4 7	AXBZ	KANE	5	5.K.C 5.A.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	kane	0	29
518	Southeastern Pomo	BITE	q n e	1 4 7	ACX	KNE	6	6.K.C 6.N.C 6.E.V	2.0 1.5 1.5	qne	0	29
622	Southern Pomo	BITE	k aː n i	1 7 4 7	AXBZ	KANI	7	7.K.C 7.A.V 7.N.C 7.I.V	2.0 1.5 1.75 0.8	kaːni	0	29
#
8	Central Pomo	BLACK	kʼ l i	1 5 7	ACX	KLI	1	1.K.C 1.L.C 1.I.V	2.0 1.5 1.5	kʼli	0	30
107	Eastern Pomo	BLACK	m uː ʃ a qʼ	4 7 3 7 1	AXBYN	MYSAK	2	2.M.C 2.Y.V 2.S.C 2.A.V 2.K.c	2.0 1.5 1.75 1.3 0.8	muːʃaqʼ	0	31
216	Kashaya	BLACK	kʼ i l i	1 7 5 7	AXBZ	KILI	3	3.K.C 3.I.V 3.L.C 3.I.V	2.0 1.5 1.75 0.8	kʼili	0	30
318	Northeastern Pomo	BLACK	ʧʼ i h k i l	2 7 3 1 7 5	AXMBYN	CIHKIL	4	4.C.C 4.I.V 4.H.c 4.K.C 4.I.V 4.L.c	2.0 1.5 1.1 1.75 1.3 0.8	ʧʼihkil	0	33
