# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
1	Cocopa	ALL	s aː m	3 7 4	AXN	SAM	1	1.S.C 1.A.V 1.M.c	2.0 1.5 0.8	saːm	0	1
116	Ipai	ALL	nʲ aː m a t̪	4 7 4 7 1	AXBYN	NAMAT	2	2.N.C 2.A.V 2.M.C 2.A.V 2.T.c	2.0 1.5 1.75 1.3 0.8	nʲaːmat̪	0	2
229	Mohave	ALL	p a j	1 7 6	AXN	PAJ	3	3.P.C 3.A.V 3.J.c	2.0 1.5 0.8	paj	0	3
358	Tipai	ALL	ʧ a m ʎ̥	2 7 4 5	AXBC	CAML	4	4.C.C 4.A.V 4.M.C 4.L.C	2.0 1.5 1.75 1.5	ʧamʎ̥	0	1
359	Tipai	ALL	ɲ a ʧ a m ʎ̥	4 7 2 7 4 5	AXBYBC	NACAML	4	4.N.C 4.A.V 4.C.C 4.A.V 4.M.C 4.L.C	2.0 1.5 1.75 1.3 1.75 1.5	ɲaʧamʎ̥	0	1
451	Yavapai	ALL	p a j a	1 7 6 7	AXBZ	PAJA	5	5.P.C 5.A.V 5.J.C 5.A.V	2.0 1.5 1.75 0.8	paja	0	3
#
2	Cocopa	ASH	x m ʔ u ɬ	3 4 1 7 5	AXBYN	GMHYL	1	1.G.C 1.M.V 1.H.C 1.Y.V 1.L.c	2.0 1.5 1.75 1.3 0.8	xmʔuɬ	0	4
117	Ipai	ASH	ʔ ə m p i ɬ	1 7 4 1 7 5	AXMBYN	HEMPIL	2	2.H.C 2.E.V 2.M.c 2.P.C 2.I.V 2.L.c	2.0 1.5 1.1 1.75 1.3 0.8	ʔəmpiɬ	0	5
230	Mohave	ASH	h a m ʔ uː ʎ	3 7 4 1 7 5	AXMBYN	HAMHYL	3	3.H.C 3.A.V 3.M.c 3.H.C 3.Y.V 3.L.c	2.0 1.5 1.1 1.75 1.3 0.8	hamʔuːʎ	0	6
452	Yavapai	ASH	ʔ m h u l	1 4 3 7 5	AXBYN	HMHYL	5	5.H.C 5.M.V 5.H.C 5.Y.V 5.L.c	2.0 1.5 1.75 1.3 0.8	ʔmhul	0	6
453	Yavapai	ASH	ʔ m h u l	1 4 3 7 5	AXBYN	HMHYL	5	5.H.C 5.M.V 5.H.C 5.Y.V 5.L.c	2.0 1.5 1.75 1.3 0.8	ʔmhul	1	6
#
3	Cocopa	BARK	ʂ x u j a l	3 3 7 6 7 5	ACYBYN	SGYJAL	1	1.S.C 1.G.C 1.Y.V 1.J.C 1.A.V 1.L.c	2.0 1.5 1.3 1.75 1.3 0.8	ʂxujal	0	7
118	Ipai	BARK	x aː s ə j a ɬ	3 7 3 7 6 7 5	AXBYBYN	GASEJAL	2	2.G.C 2.A.V 2.S.C 2.E.V 2.J.C 2.A.V 2.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	xaːsəjaɬ	0	7
231	Mohave	BARK	ʧ a θ kʷ i l	2 7 3 1 7 5	AXMBYN	CADKIL	3	3.C.C 3.A.V 3.D.c 3.K.C 3.I.V 3.L.c	2.0 1.5 1.1 1.75 1.3 0.8	ʧaθkʷil	0	9
454	Yavapai	BARK	θ p i l a	3 1 7 5 7	ACYBZ	DPILA	5	5.D.C 5.P.C 5.I.V 5.L.C 5.A.V	2.0 1.5 1.3 1.75 0.8	θpila	0	10
#
4	Cocopa	BELLY	ʔ i ʧ u	1 7 2 7	AXBZ	HICY	1	1.H.C 1.I.V 1.C.C 1.Y.V	2.0 1.5 1.75 0.8	ʔiʧu	0	11
119	Ipai	BELLY	ə t̪ uː	7 1 7	XBZ	ETY	2	2.E.V 2.T.C 2.Y.V	1.5 1.75 0.8	ət̪uː	0	11
232	Mohave	BELLY	iː t o	7 1 7	XBZ	ITU	3	3.I.V 3.T.C 3.U.V	1.5 1.75 0.8	iːto	0	11
360	Tipai	BELLY	t̪ u	1 7	AX	TY	4	4.T.C 4.Y.V	2.0 1.5	t̪u	0	11
455	Yavapai	BELLY	m n u n a	4 4 7 4 7	ACYBZ	MNYNA	5	5.M.C 5.N.C 5.Y.V 5.N.C 5.A.V	2.0 1.5 1.3 1.75 0.8	mnuna	0	15
#
5	Cocopa	BIG	p t̪ a j	1 1 7 6	ACYN	PTAJ	1	1.P.C 1.T.C 1.A.V 1.J.c	2.0 1.5 1.3 0.8	pt̪aj	0	16
120	Ipai	BIG	ʔ iː k uː	1 7 1 7	AXBZ	HIKY	2	2.H.C 2.I.V 2.K.C 2.Y.V	2.0 1.5 1.75 0.8	ʔiːkuː	0	17
233	Mohave	BIG	v a ʎ t a j m	3 7 5 1 7 6 4	AXMBYLN	BALTAJM	3	3.B.C 3.A.V 3.L.c 3.T.C 3.A.V 3.J.c 3.M.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	vaʎtajm	0	16
234	Mohave	BIG	v a t a j m	3 7 1 7 6 4	AXBYLN	BATAJM	3	3.B.C 3.A.V 3.T.C 3.A.V 3.J.c 3.M.c	2.0 1.5 1.75 1.3 1.1 0.8	vatajm	0	16
361	Tipai	BIG	t̪ a j	1 7 6	AXN	TAJ	4	4.T.C 4.A.V 4.J.c	2.0 1.5 0.8	t̪aj	0	16
456	Yavapai	BIG	β t e	3 1 7	ACZ	BTE	5	5.B.C 5.T.C 5.E.V	2.0 1.5 0.8	βte	0	20
#
6	Cocopa	BIRD	ʃ a	3 7	AX	SA	1	1.S.C 1.A.V	2.0 1.5	ʃa	0	21
121	Ipai	BIRD	ʔ aː ʂ aː	1 7 3 7	AXBZ	HASA	2	2.H.C 2.A.V 2.S.C 2.A.V	2.0 1.5 1.75 0.8	ʔaːʂaː	0	21
235	Mohave	BIRD	ʔ i ʧ a j e r	1 7 2 7 6 7 5	AXBYBYN	HICAJER	3	3.H.C 3.I.V 3.C.C 3.A.V 3.J.C 3.E.V 3.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ʔiʧajer	0	23
236	Mohave	BIRD	ʔ i ʧ i j e r	1 7 2 7 6 7 5	AXBYBYN	HICIJER	3	3.H.C 3.I.V 3.C.C 3.I.V 3.J.C 3.E.V 3.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ʔiʧijer	0	23
362	Tipai	BIRD	a ʔ ʃ a	7 1 3 7	XBCZ	AHSA	4	4.A.V 4.H.C 4.S.C 4.A.V	1.5 1.75 1.5 0.8	aʔʃa	0	21
363	Tipai	BIRD	aː ʃ a	7 3 7	XBZ	ASA	4	4.A.V 4.S.C 4.A.V	1.5 1.75 0.8	aːʃa	0	21
457	Yavapai	BIRD	ʔ ʧ s a	1 2 3 7	ACCX	HCSA	5	5.H.C 5.C.C 5.S.C 5.A.V	2.0 1.5 1.5 1.5	ʔʧsa	0	21
#
7	Cocopa	BITE	ʂ aː	3 7	AX	SA	1	1.S.C 1.A.V	2.0 1.5	ʂaː	0	24
122	Ipai	BITE	ʧ uː k u w	2 7 1 7 6	AXBYN	CYKYW	2	2.C.C 2.Y.V 2.K.C 2.Y.V 2.W.c	2.0 1.5 1.75 1.3 0.8	ʧuːkuw	0	25
237	Mohave	BITE	ʧ a kʲ oː k	2 7 1 7 1	AXBYN	CAKUK	3	3.C.C 3.A.V 3.K.C 3.U.V 3.K.c	2.0 1.5 1.75 1.3 0.8	ʧakʲoːk	0	26
364	Tipai	BITE	ʧ uː k a w	2 7 1 7 6	AXBYN	CYKAW	4	4.C.C 4.Y.V 4.K.C 4.A.V 4.W.c	2.0 1.5 1.75 1.3 0.8	ʧuːkaw	0	25
458	Yavapai	BITE	ʧ kʲ o	2 1 7	ACZ	CKU	5	5.C.C 5.K.C 5.U.V	2.0 1.5 0.8	ʧkʲo	0	26
#
8	Cocopa	BLACK	ɲ iː ʎ̥	4 7 5	AXN	NIL	1	1.N.C 1.I.V 1.L.c	2.0 1.5 0.8	ɲiːʎ̥	0	27
123	Ipai	BLACK	nʲ i ɬʲ	4 7 5	AXN	NIL	2	2.N.C 2.I.V 2.L.c	2.0 1.5 0.8	nʲiɬʲ	0	27
238	Mohave	BLACK	ɲ aː ʔ iː ʎ	4 7 1 7 5	AXBYN	NAHIL	3	3.N.C 3.A.V 3.H.C 3.I.V 3.L.c	2.0 1.5 1.75 1.3 0.8	ɲaːʔiːʎ	0	27
365	Tipai	BLACK	ɲ i ʎ̥	4 7 5	AXN	NIL	4	4.N.C 4.I.V 4.L.c	2.0 1.5 0.8	ɲiʎ̥	0	27
459	Yavapai	BLACK	ʔ ɲ aː	1 4 7	ACX	HNA	5	5.H.C 5.N.C 5.A.V	2.0 1.5 1.5	ʔɲaː	0	31
#
9	Cocopa	BLOOD	ɲ xʷ a t	4 3 7 1	ACYN	NGAT	1	1.N.C 1.G.C 1.A.V 1.T.c	2.0 1.5 1.3 0.8	ɲxʷat	0	32
124	Ipai	BLOOD	ʔ ə xʷ a t	1 7 3 7 1	AXBYN	HEGAT	2	2.H.C 2.E.V 2.G.C 2.A.V 2.T.c	2.0 1.5 1.75 1.3 0.8	ʔəxʷat	0	32
239	Mohave	BLOOD	ɲ a hʷ a t	4 7 3 7 1	AXBYN	NAHAT	3	3.N.C 3.A.V 3.H.C 3.A.V 3.T.c	2.0 1.5 1.75 1.3 0.8	ɲahʷat	0	32
366	Tipai	BLOOD	xʷ a t	3 7 1	AXN	GAT	4	4.G.C 4.A.V 4.T.c	2.0 1.5 0.8	xʷat	0	32
460	Yavapai	BLOOD	ʔ hʷ a t a	1 3 7 1 7	ACXBZ	HHATA	5	5.H.C 5.H.C 5.A.V 5.T.C 5.A.V	2.0 1.5 1.5 1.75 0.8	ʔhʷata	0	32
#
10	Cocopa	BONE	ɲ j aː k	4 6 7 1	ACXN	NJAK	1	1.N.C 1.J.C 1.A.V 1.K.c	2.0 1.5 1.5 0.8	ɲjaːk	0	33
125	Ipai	BONE	a q	7 1	XN	AK	2	2.A.V 2.K.c	1.5 0.8	aq	0	33
240	Mohave	BONE	ɲ a s a k	4 7 3 7 1	AXBYN	NASAK	3	3.N.C 3.A.V 3.S.C 3.A.V 3.K.c	2.0 1.5 1.75 1.3 0.8	ɲasak	0	35
367	Tipai	BONE	a k	7 1	XN	AK	4	4.A.V 4.K.c	1.5 0.8	ak	0	33
461	Yavapai	BONE	ʧ j a k a	2 6 7 1 7	ACXBZ	CJAKA	5	5.C.C 5.J.C 5.A.V 5.K.C 5.A.V	2.0 1.5 1.5 1.75 0.8	ʧjaka	0	37
#
11	Cocopa	BREAST	x ʧ k a ɾ	3 2 1 7 5	AMBYN	GCKAR	1	1.G.C 1.C.c 1.K.C 1.A.V 1.R.c	2.0 1.1 1.75 1.3 0.8	xʧkaɾ	0	38
12	Cocopa	BREAST	ʧ x k a ɾ	2 3 1 7 5	AXBYN	CGKAR	1	1.C.C 1.G.V 1.K.C 1.A.V 1.R.c	2.0 1.5 1.75 1.3 0.8	ʧxkaɾ	0	38
