Gloss	Apolobamba	Apurí-Madean-Viñac	Ayacucho	Azuay	Cacra-Hongos	Cajamarca	Chachapoyas	Chimborazo	Chocos-Huangáscar	Chuquisaca	Cochabamba	Colombian Inga	Corongo	Cuzco	Eastern-Apurímac	Huallaga-Huánuco	Huancavelica	Huaraz-Huailas	Huaylla-Huanca	Imbabura	Jauja-Huanca	Lambayeque	Laraos	Lincha-Tana	Liscay-San Pedro	Napo	Pacaraos	Pastaza	Puno	San Martín	Santiago del Estero	Tena	Yaru
MAN_5																						uʒɢu											
MANY_1	aʧkʰa	aʧka	aʧka	aʧka	aʧka			aʧka	aʧka	aʃkʰas	aʃkʰa	aʧka	aʦka	askʰa	aska	aʧka	aʧka		aʧka		aʧka		aʧka	aʧka	aʧka	aʃka		aʧka	aʃkʰa	aʧka		aʃka	
MANY_2						aʧka																											
MANY_3															nisju																		
MANY_4																		fejupa										japa					
MANY_5																				aʧka													
MANY_6																						aʧka											
MANY_7																											isisiː						
MANY_8																														sukaman			
MANY_9																															aʧka		
MANY_10																																	aʧka
MOON_1	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʥa	kiʥa	kiʒa	kiʎa	kiʎa	kiʎa	xiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʒa	kiʎa	kiʎa	kiʎa	kiʎa	kila	kiʎa	kiʎa	kiʥa	kiʒa	kiʎa	kila
MOUNTAIN_1	urqu	oɾqu	oɾχo	uɾku	olqu	urqu	urku	urku	oɾqu	urqu	urʁu			urqu	orqo~qirka	hirka	urɢu	oɾqu	ulʔu	uɾku	ulʔu		urqu	oɾqu	oɾqu	urku	xiɾka	urku	urqu	urku	oɾqo	urku	xiɾka
MOUNTAIN_2												saʧuku																					
MOUNTAIN_3													qaqa									χaʁa											
MOUSE_1	hukʼuʧa	ukuʧa	ukuʧa	ukuʧa	ukuʧa	ukuʧa	uʧa	ukuʧa	ukuʧa	hukʼuʧa	hukʼuʧa	ukuʧa	ukuʃ	hukʼuʧa	hukuʧa~qukuʧa~ukuʧa	ukuʧa	ukuʧa		ukuʂ	ukuʧa	ukuʂ	ukuʧa	ukuʃ	ukuʧa	ukuʧa	ukuʧa	ukuʃ~ukuʧa	ukuʧa	hukʼuʧa	ukuʧa	uxuʧa	ukuʧa	uɡuʧ
MOUTH_1	simi	ʃimi	simi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	simi	simi	simi	ʃimi	simi	simi	ʃimi	simi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	simi	ʃimi	simi	ʃimi	ʃimi
NAME_1	suti	suti	suti	ʃuti	huti	ʃuti	ʃuti	ʃuti	suti	suti	suti	suti	ʃuti	suti	suti	huti	suti	xuti	suti	ʃuti	suti	ʃuti	suti	suti	suti	ʃuti	xuti	ʃuti	suti	ʃuti	suti	ʃuti	χoti
NAVEL_1	kururu																												kururu				
NAVEL_2		pupu	pupu	pupu	pupu		pupu	pupu	pupu	pupu	pupu	pupu	pupu	pupu	pupu	pupu	pupu	pupu	pupu	pupu	pupu		pupu	pupu	pupu	pupu	pupu	pupu		pupu	pupu	pupu	pupu
NAVEL_3						munʤu																munʤu											
NECK_1	kunka	kunka	kunka	kunɡa	kunka	kunɡa	kunɡa	kunɡa	kunka	kunka	kunka	kunɡa	kunka	kunka	kunka	kunka	kunka	kuɲka	kunka	kunɡa	kunka	kunɡa	kunka	kunka	kunka	kunɡa	kuŋka	kunɡa	kunka	kunɡa	kuŋka	kunɡa	kuŋka
NEW_1	musuχ	muʃoq	mosoχ	muʃuɡ	muʃoq	muʃuχ	muʃuk	muʃux	muʃoq	musuχ	musuχ	musu	muʃuq	musuχ	mosoq~musuq	muʃuχ	musuχ	muʃoq	muʂuʔ	muʃux	muʂuʔ	muʃux	muʃuq	muʃoq	muʃoq	muʃu	muʃoχ	muʃu	musuχ	muʃuk	mosoχ	muʃux	muʃoχ
NIGHT_1	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta		tuta	tuta		tuta		tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta			tuta	tuta	tuta	tuta	
NIGHT_2													paɢas					paqas															paχas
NIGHT_3																ʧakai̯																	
NIGHT_4																											waɾai̯						
NINE_1	isqun	esqun	isχoŋ	iskun	esqun	isʁun	iskun	iskun	esqun	iʃqun	hisʁʼun~isʁun	iskun	isqun	isqun	isqon	isqun	isχun	isquɲ	isʔun	iskun	isʔun		isqun	esqun	esqun	iskun	isχoŋ	iskun	isqun	iskun	eʃqon	iskun	esχuŋ
NINE_2																						nueve											
NOSE_1	sinqa	seŋqa	seŋχa	sinɡa	seŋqa	sinɡa	sinɡa	sinɡa	seŋqa	sinqa	sinʁa	sinɡa	sinqa	sinqa	senqa	sinqa	sinɢa	seɲqa	sinʔa	sinɡa	sinʔa	sinɢa	sinqa	seŋqa	seŋqa	sinɡa	siɴχa	sinɡa	sinqa	sinɡa	seŋqa	sinɡa	seŋχa
NOT_1	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	maɲa	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana
OLD (OF MAN)_1	maʧula	maʧu	maʧu			mau̯ka	maʧu		maʧu					maʧu	maʧu~mau̯ka		maʧu								maʧu				maʧu	maʧu	maʧu		
OLD (OF MAN)_2				ɾuku				r̝uku				ruku								ɾukuɾuna		r̝uku				ruku		ɾuku				ruku	
OLD (OF MAN)_3					au̯kiʃ								au̯kis			au̯kis		au̯kis	au̯kiʃ		au̯kiʃ		au̯kiʃ	au̯kiʃ			au̯kiŋ						au̯ɡis
OLD (OF MAN)_4										aʧaʧi	aʧaʧi																						
OLD (OF WOMAN)_1	paja	paja	paja	paja			paja	paja			paja			paja	paja		paja			pajawaɾmi								paja	paja	paja	paja		
OLD (OF WOMAN)_2						biexa																											
OLD (OF WOMAN)_3										aʧaʧi																	ʧaʧas						
OLD (OF WOMAN)_4													ʈ͡ʂakwas			ʧakwan			ʧakwaʂ		ʧakwaʂ		ʧakwaʃ				sakwa						ʧakwas
OLD (OF WOMAN)_5																		ɾuku				r̝uku~r̝ukuna				ruku						ruku	
ONE_1	ux	huk	huk	ʃuɡ	huk	suχ	sux	ʃux	huk	ux	ux	suɡ	uk	huχ	huk~huq	huk	huk	xuk	suk	ʃuk	huk	uk	huk	huk	huk	ʃu	xuk	ʃuk	ux	suk	sux	ʃux	χok
ONE_2															huχ																		
PERSON_1	runa	ɾuna	ɾuna	ʃuɡɾuna		runa	runa	r̝una	ɾuna	runa~r̝una	r̝una	runa	runa	runa	runa	runa	runa	ɲuɲa	nuna		nuna	runa	runa	luna	ɾuna	runa	ɾuna	ɾuna	runa	runa		runa	nuna
PERSON_2																				xinti													
PUSH_1	tanqa	tanqa	taŋχa	tanɡana	tanqa		tanɡa	tʰanɡa	tanqa	tanqa	tanʁa	tanɡa	tanqa	tanqa	tanqa	tanqa	tanɢa		tanʔa	tanɡana	tanʔa			tanqa	tanqa	tanɡana		tanɡana	tanqa	tanɡa	taŋqa	tanɡa	
PUSH_2						kumsa												kuma	kumsa		kumsa	kumsa	kumsa				kuma						kumaɾi
RAINING OR RAIN_1	para	paɾa	paɾa		pala				paɾa	para	para			para	para		para							paɾa	paɾa				para		paɾa		
RAINING OR RAIN_2				tamja		tamja	tamja	tamja				tamja	tamja			tamja		tamja	tamja	tamja	tamja	tamja	tamja			tamja	tamja	tamja		tamja		tamja	tanja
RED_1	puka	puka	puka	puka	puka	ʧupika	puka	puka	puka	puka	puka	puka	puka	puka	puka	puka	puka	puka	puka	puka	puka	ʧupika	puka	puka	puka	puka	puka	puka	puka	puka	puxa	puka	puɡa
RED_2				piʧi								piʧi																					
RIGHT_1	paɲa									paɲa	paɲa			paɲa																			
RIGHT_2		aʎeq	aʎeχ	aʎimaki	aʎeq	aʤin	aʥi	aʒi	aʎeq			aʎima					aʎiχ			ali		aʤi	aʎi	aʎeq	aʎeq	alimaki				aʥi		ali	
RIGHT_3													dereʧa			dereʧa													dereʧa				
RIGHT_4																			aʎaʔwai̯														
RIGHT_5																												kuska					
RIGHT_6																															qɪʒa		
RIVER_1	maju	maju	maju		maju		maju		maju	maju	maju		maju	maju	maju	maju	maju	maju	maju	maju	maju		maju	maju	maju				maju	maju	maju		maju
RIVER_2				hatunjaku				larkajaku				jaku														jaku		jaku				jaku	
RIVER_3						riu																rio					rio						
ROAD_1	ɲan		ɲaŋ	ɲan		ɲan	ɲan	ɲan					naːni	ɲan	ɲan	naːni		ɲaːɲi		ɲan									ɲan	ɲan	ɲan	ɲan	
ROAD_2										jan	jan																						
ROAD_3												ɲambi														ɲambi		ɲambi					
ROAD_4																	kamino						kaminu										kaminu
ROAD_5																			pulina														
ROAD_6																												ʈ͡ʂuʧa					
ROOT_1	sapʰi	sapi	sapi	sapi	sapi		sapi	sapi~sipi~pisi	sapi	sapʰi	sapʰi			sapʰi	sapi	sapi	sapi		sipi	sapi	sipi			sapi	sapi		sapi		sapʰi	sapi	sapi		sapi
ROOT_2						ʈ͡ʂupa							ʈ͡ʂapa									ʈ͡ʂupa											
ROOT_3												anɡu														anɡu		anɡu				anɡu	
ROOT_4																							raiz										
ROPE_1	waskʰa	waska	waska	waska	waska	waska	waska	waska	waska	waʃkʰa	waska	waska	waska	waskʰa	waska	waska	waskʰa	waska	waska	waska	waska	waska	waska		waska	waska	waska	waska	wiskʰa	waska	waska	waska	wasɡa
SALT_1	kaʧi	kaʈ͡ʂi	kaʧi	kaʧi	kaʈ͡ʂi	kaʈ͡ʂi	kaʈ͡ʂi	kaʧi	kaʈ͡ʂi	kaʧi	kaʧi	kaʧi	kaʈ͡ʂi	kaʧi	kaʧi	kaʧi	kaʧi	kaʧi	kaʈ͡ʂi	kaʧi	kaʈ͡ʂi	kaʈ͡ʂi	kaʈ͡ʂi	kaʈ͡ʂi	kaʈ͡ʂi	kaʧi	kaʈ͡ʂi	kaʧi	kaʧi	kaʧi	kaʧi	kaʧi	kaʈ͡ʂi
SAND_1	aqu	aqo	aχo		aqo	aʁu			aqo				aqu	aqu	aqo	aquʃ	aχu		aʔu		aʔu	aʁu	aqu	aqo	aqo				aqu				
SAND_2				tiju			tiju	tʰiju		tʼiju	tʼiju									tiju								tiju		tiju	tiju		
SAND_3																		aʎpa															
SAND_4																																ʦaʦa	
SAND_5																																	çoχja
SEE_1	riku	ɾika	ɾiku	ɾikuna	lika	rika	riku	r̝iku	ɾika	riku	riku		rika	riku	riku	rika	riku	ɾika	lika	ɾikuna	lika	rika	rika	lika	ɾika	rikuna	ɾika	ɾikuna	riku	riku		riku	ʐiɡa
SEE_2		qawa	χawa		qawa		kawa		qawa			kawa			qawa									qawa	qawa					kawa	qaː		
SEED_1	muxu		muɾu~muja	muju		muru	muru	muju		muhu	muhu	muju	muru	muxu	muhu~muqu	muru	muxu	muɾu	muhu	muju	muhu					muju	muɾu	muju	muxu	muru		muju	muɾu
SEED_2							ruru								ruru															ruru			
SEED_3															muχu																		
SEED_4																						semiʎa											
SEED_5																							muni										
SEVEN_1	qanʧis	qanʧis	χanʧis	kanʧis	qanʧis	qanʧis	kanʈ͡ʂis	kanʧis	qanʧis	qanʧis	ʁanʧis	kanʧis	qanʧis	qanʧis	qanʧis	qanʧis	χanʧis	qaɲʧis	hanʈ͡ʂiʃ	kanʧis			qanʈ͡ʂis	qanʧis	qanʧis	kanʤis	ʁaɳʈ͡ʂis	kanʧis	qanʧis	kanʧis	qanʧis	kanʤis	χaɳʈ͡ʂis
SEVEN_2																						siete											
SEW_1	siɾa	siɾa	siɾa	siɾana	sila	siɾa	siɾa	siɾa	siɾa	siɾa	siɾa	siɾa	ira	siɾa	siɾa	hiɾa	siɾa	xiɾa	hila	siɾana		siɾa	siɾa	siɾa	siɾa	siɾana	xiɾa	siɾana	siɾa	siɾa	seɾa	siɾa	χeɾa
SEW_2		utka			utka				utka															utka	utka								
SHADE_1	ʎantʰu	ʎantu	ʎantu	ʎandu	ʃantu	ʎandu	ʥandu	ʒandu	ʎantu	ʎantʰu	ʎantʰu		ʎantu	ʎantʰu	ʎantu	ʎantu~ʎantu̯i	ʎantu	ʎaɲtu	ʎantu	ʎantu	ʎantu	ʒandu	ʎantu	ʎantu	ʎantu	ʎandu	lantu	ʎandu	ʎantʰu	ʥandu	ʒantu	ʎandu	lantu
SHADE_2												tuta																					
SICK_1	unqu	oŋqu	oŋχo	unɡukuna	oŋqu			unɡu	oŋqu	unqu	unʁu	unɡu		unqu	onqoʧi		unɢu			unkuʃka				oŋqu	oŋqu	unɡuʧina		unɡuna	unqu	unɡu	oŋqos	unɡu	
SICK_2						qiʃa							qiʃja			qiʃja			ʔiʃja		hiʃja	qiʃa	qiʃa				χeʃja						χeʃja
SISTER (OF MAN)_1	pana	pani	pani	pani	pani	pani	pani	pani	pani			pani	pani	pana	pana	paɲi	pani	paɲi	pani		pani		pani	pani	pani	pani	pani	pani	pana	pani	pana	paɲi	pani
SISTER (OF MAN)_2										ɲaɲa	ɲaɲa									ɲaɲa													
SISTER (OF MAN)_3																						ukni											
SISTER (OF WOMAN)_1	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa		ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɳaɳa	ɲaɲa	ɲaɲa	ɲaɲa		ɲaɲa	ɲuɲu	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	ɲaɲa	nana
SISTER (OF WOMAN)_2						masa																											
SISTER (OF WOMAN)_3																						ukni											
SIT_1	tija	tija	tija	tijaɾikuna	tija	tija	tija	tija	tija	tija	tija	tijaku		tija	tija		tija		tiju	tijaɾina	tiju		tija	tija	tija	tijarina		tirajina	tija	tija	tiːjaxu	tija	
SIT_2													ama			hama																	
SIT_3															paʧi																		
SIT_4																						ta					tai̯ku						taːku
SIT_5																											kukaɾaː						
SIT_6																											ʧapaɾaː						
SIX_1	suχta	soqta	soχta	soɡta	hoqta	suxta	sukta	suxta	soqta	suxta	suχta	suxta	suqta	suχta	soqta	suχta	suχta	xoqta	suʔta	sukta	suʔta		suχta	soqta	soqta	sukta	xoχta~χoχta	sukta	suχta	sukta	ʃoχta	sukta	χoχta
SIX_2																						seis											
SKIN_1	qara	qaɾa	χaɾa	kaɾa	qala	qara	kara	kara	qaɾa	qara	ɢara	kara	qara	qara	qara	qara	χara	qaɾa		kaɾa		χara	qara	qaɾa	qaɾa	kara	ʁaɾa	kara	qara	kara	qaɾa	kara	χaɾa
SKIN_2																			uta														
SLEEP_1	puɲu	puɲu	puɲu	puɲuna	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲuna	puɲu	punu	puɲu	puɲu	puɲu	puɲuna	puɲu	puɲuna	puɲu	puɲu	puɲu	puɲu	punu
SMALL_1	huʧʼu̯i	uʧuk	uʧu̯i		uʧuk				uʧuk	huʧʼu̯i	huʧʼu̯i		uʧuk	huʧʼu̯i	huʧu̯i				uʧuk		uʧuk		uʧu̯i	uʧuk	uʧuk		uʧuk		huʧʼu̯i				
SMALL_2		taksa	taksa		taksa	takʃa			taksa						taksa		taksa	takʃa	takʂa		takʂa	takʃa		taksa	taksa					takʃa			takʃa
SMALL_3				uʧiʎa				uʧiʒa				uʧuʎa	iʧik			iʧik				uʧiʎa						iʧiʎa		uʧiʎa				iʧiʎa	iʧikla
SMALL_4				kutu																											utula		
SMALL_5							uʧuajkka																										
SMALL_6															ʧiki~ʧinki~ʧinli																		
SMOKE (EXHAUST)_1	qʼusɲi		χosni	kusni			kusni	kuʃni		qʼusɲi	qʼuʃɲi	kusni		qʼusɲi	qosɲi		χusɲi			kuʃni			quʃni			kuʃni		kuʃni	qʼuʃɲi	kusni	qosni	kuʃɲi	
SMOKE (EXHAUST)_2		huʃta			huʃta				huʃta							quʃtai̯								huʃta	huʃta								χoʂʈ͡ʂi
SMOKE (EXHAUST)_3						qundai̯							qunte						huntai̯		huntai̯	χundai̯											
SMOKE (EXHAUST)_4																		xumo															
SMOKE (EXHAUST)_5																											χojai̯						
SPEAK_1	rima	ɾima	ɾima	ɾimana	lima	rima	rima	r̝ima	ɾima			rima		rima	rima				lima	ɾimana	lima	rima	rima	lima	ɾima	rimana		ɾimana	rima	rima	ɾima	rima	ʐima
SPEAK_2										parla	parla		parla		parla	parla	parla	paɾla									paɾla	parlana					
SPIT_1	tʰuqa	toqa	toχa	tukana	toqa	tuʁa	tuka	ʧuka	toqa	tʰuqa	tʰuʁa	tuka	tuqa	tʰuqa		tuqa	tuχa	toqa	tuʔa	tukana	tuʔa	tuʁa	tuqa	toqa	toqa	tijukana	toχa	tijukana	tʰuqa	tuka	toχa	tijuka	toχa
SPIT_2		aqtu			aqtu				aqtu															aqtu	aqtu								
STAND_1	saja	saja	saja	ʃajana	haja	ʃaja	ʃaja	ʃaja	sajaɾi	saja	saja	sajaku	ʃaː	saja	saja	ʃaja	saja	ʃaːku	saːku~saːkula	ʃajaɾina		ʃaja	saja	sajaɾi	sajaɾi	ʃajarina		ʃajana	saja	ʃaja	saja	ʃaja	ʃaja
STAND_2																											ʈ͡ʂaʈ͡ʂa						
STAR_1	qu̯iʎur	qoi̯ʎuɾ	χoi̯ʎuɾ	ku̯iʎuɾ	qoi̯ʎul											qu̯iʎar~qu̯iʎur		qai̯ʎuɾ	hu̯iʎur		hu̯iʎur		qu̯iʎur	qoi̯ʎuɾ							qoʒuɾ		χoi̯ʎaʐ
STAR_2		lusiɾu			ʃusilu	luzeru		luzeru	lusiɾu				loseːro				luziru			luziɾu				lusiɾu	lusiɾu		loːseɾo						
STAR_3										ʧʼaska	ʧʼaska			ʧʼaska															ʧʼaska				
STAR_4																						χujar											
STAR_5																												istiriʎa				estreʎa	
STAR_6																														lusero			
STONE_1	rumi	ɾumi	ɾumi	ɾumi	lumi	rumi	rumi	rumi	ɾumi	r̝umi	rumi	rumi	rumi	rumi	rumi	rumi	rumi	ɾumi	lumi	ɾumi	lumi	r̝umi	rumi	lumi	ɾumi	rumi	rumai̯~rumi	ɾumi	rumi	rumi	ɾumi	rumi	ʐumi
STRIKE_1	taka		taka			taka		taka		taka		takaʧi	taka	taka	taka		taka			takana		taka							taka				
STRIKE_2		maqa			maqa		maka		maqa			maka						maqa	maʔa		maʔa		maqa	maqa	maqa		maʁa			maka	maxa		maχa
STRIKE_3			waχta	waɡtana			wakta				waχta																	waktana		wakta		waxta	
STRIKE_4															pana													tulupuna					
STRIKE_5															qasu																		
STRIKE_6																asta																	
STRIKE_7																										saɡmana							
SUCK_1	ʧʼunqa			sunɡana						ʧʼunqa	ʧʼunʁa			ʧʼunqa	ʧonqa					ʧupana						ʦunɡana		ʧupana~ʦunɡana	ʧʼunqa		ʧoŋqa	ʦunɡa	
SUCK_2		ʃoqu	soχo		ʃoqu		çuku		ʃoqu				ʃuqu			ʃuqu	suχu					ʃuʁu	ʃuqu	ʃoqu	ʃoqu		çoχu			çuku			çoχu
SUCK_3				ʧuʧuna				ʧuʧu				ʧuʧuri																ʧuʧuna					
SUCK_4						ɲuɲu													ɲuɲu		ɲuɲu										ɲuɲu		
SUCK_5																		mamaɾ															
SUCK_6																			ʃoqu														
SUCK_7																					ʃoqu												
SUN_1	inti	inti	inti	inti	inti		indi	inti	inti	inti	inti	indi		inti	inti	inti	inti	iɲti	inti	inti	inti		inti	inti	inti	indi		indi	inti	indi	inti	indi	inti
SUN_2		ɾupai̯	ɾupai̯	ɾupai̯	lupai̯	rupai̯			ɾupai̯				rupeː									rupai̯		lupai̯	ɾupai̯								
SUN_3																											wilka						
SWEET_1	miskʼi	miʃki	miski	miʃki	miʃki	miʃki	miski	miʃki	miʃki	miskʼi	miskʼi	misxi	miʃki	miskʼi	miski	miʃki~miʃkiχ	miski	miʃki	miʃki	miʃki	miʃki		miʃki	miʃki	miʃki	miʃki	miçki	miʃki	miskʼi	miski	miʃki	miʃki	miçɡi
SWEET_2												dusi																					
SWEET_3																						ɲukɲu											
SWIM_1	sambuʎa			wambuna				wambu									sambuʎa			wambuna													
SWIM_2			nadja			nada							nada			narja						nada	nada										
SWIM_3							wai̯ta			wai̯tʼa	wai̯tʼa	wai̯ta		wai̯ta												wai̯tana		wai̯tana		wai̯ta	wai̯ta	wai̯ta	
SWIM_4																			maːta														
SWIM_5																													tuju				
SWIM_6																																	badu
TAIL_1	ʧupa	ʈupa	ʧupa	ʧupa	ʈupa	ʈ͡ʂupa	ʈ͡ʂupa	ʧupa	ʈupa	ʧupa	ʧupa	ʧupa	ʈ͡ʂupa	ʧupa	ʧupa	ʧupa	ʧupa	ʧupa	ʈ͡ʂupa	ʧupa	ʈ͡ʂupa	ʈ͡ʂupa	ʈ͡ʂupa	ʈupa	ʈupa	ʧupa	ʈ͡ʂupa	ʧupa	ʧupa	ʧupa	ʧupa	ʧupa	ʈ͡ʂuba
TEN_1	ʧunka	ʈunka	ʧunka	ʧunɡa	ʈunka	ʈ͡ʂunɡa	ʈ͡ʂunɡa	ʧunɡa	ʈunka	ʧunka	ʧunka	ʧunɡa	ʈ͡ʂunka	ʧunka	ʧunka	ʧunka	ʧunka	ʧuɲka	ʈ͡ʂunka	ʧunɡa	ʈ͡ʂunka		ʈ͡ʂunka	ʈunka	ʈunka	ʧunɡa	ʈ͡ʂuŋka	ʧinɡu	ʧunka	ʧunɡa	ʧuŋka	ʧunɡa	ʈ͡ʂuŋka
TEN_2																						dies											
THINK (REFLECT)_1	jarpa												jarpa			jarpa					jalpa	jarpa	jarpa				jaɾpa						jaɾba
THINK (REFLECT)_2			juja	jujana		juja	juja	juja				juja		juja			juja			jujana						jujana		jujarina	juja	juja		juja	
THINK (REFLECT)_3										tʼuku	tʼuku																						
THINK (REFLECT)_4															hamuta																		
THINK (REFLECT)_5																		peɲsaɾ															
THINK (REFLECT)_6																			jai̯niʧaku~jai̯nikaʈ͡ʂa												jaʧai̯		
THINK (REFLECT)_7																			umaʧaku														
THIS_1	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	keː	kai̯	kai̯	kai̯	kai̯		kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯	kai̯
THOU_1	qan	qam	χam	kan	qam	qam	kam	kan	qam	qan	ʁan	kam		qan	qan	qam	χam		qam	kan	qam	xam	qam	qam	qam	kan		kan	qan	kam	qam	kan	
THOU_2													qam																				
THOU_3																		qam															
THOU_4																											ʁam						
THOU_5																																	χam
THREE_1	kimsa	kimsa	kimsa	kimsa	kimsa	kimsa	kimsa	kimsa	kimsa	kinsa	kinsa	kimsa	kinsa	kinsa	kinsa	kimsa	kimza	kima	kimsa	kimsa	kimsa	kimsa	kimsa	kimsa	kimsa	kimsa	kima	kimsa	kimsa	kimsa	kimsa	kinsa	kima
TONGUE_1	qaʎu	qaʎu	χaʎu	kaʎu	qaʎu	qaʥu	kaʥu	kʰaʒu	qaʎu	qaʎu	ɢaʎu	kaʎu	qaʎu	qaʎu	qaʎu	qaʎu	χaʎu	qaʎu	haʎu	xaʎu	haʎu	qaʤu~χaʤu	qaʎu	qaʎu	qaʎu	kaʎu	ʁaʎu~ʁalu	kaʎu	qaʎu	kaʥu	qaʒu	kaʎu	χaʎu
TOOTH_1	kiru	kiɾu	kiɾu	kiɾu	kilu	kiru	kiru	kiru	kiɾu	kiru	kiru	xiru	kiru	kiru	kiru	kiru	kiru	kiɾu	kilu	kiɾu	kilu	kiru	kiru	kiɾu	kiɾu	kiru	kiɾu	kiru	kiru	kiru	kiɾu	kiru	kiɾu
TREE_1	saʧʼa		saʧa							saʧʼa	saʧʼa	saʧa	aʈ͡ʂa		saʧa		saʧa		haʈ͡ʂa		saʈ͡ʂa												
TREE_2		qeɾu			qelu	qiru			qeɾu							qiru		qeɾu				χiru		qeɾu	qeɾu		χeɾu						χeɾu
TREE_3				juɾa			jura	jura												juɾa										jura		jura	
TREE_4														maʎki																			
TREE_5															pisona																		
TREE_6																							munti										
TREE_7																										ruja							
TREE_8																												kaspi					
TREE_9																													quqa				
TREE_10																															taχo		
TWO_1	iskai̯	iʃkai̯	iskai̯	iʃkai̯	iʃkai̯	iskai̯	içkai̯	iʃki	iʃkai̯	iskai̯	iskai̯	iskai̯	iʃkeː	iskai̯	iskai̯	iskai̯	iskai̯	iʃkai̯	iʃkai̯	iʃkai̯	iʃkai̯	iskai̯	iʃkai̯	iʃkai̯	iʃkai̯	iʃkai̯	içkai̯	iʃkai̯	iskai̯	içkai̯	iʃkai̯	iʃki	içɡai̯
UP_1	hanaχ	hanai̯	hanaχ		hanai̯	anaχ	anax	hanax	hanai̯						hanan	hana	hanaχ	xaɲa	χana		sana	anaχ	hanai̯	hanai̯	hanai̯		xana			anak	anaχ	anak	χana
UP_2		wiʈai̯			wiʈai̯				wiʈai̯			wiʧai̯		wiʧai̯							wiʧan			wiʈai̯	wiʈai̯				wiʧai̯				
UP_3				hawapi								awapi														hawa		awa					
UP_4										pata	pata																						
UP_5													uma																				
UP_6																				xatun													
WALK_1	puri		puɾi	puɾina		puri	puri	puri		puri	puri	puri	puri	puri	puri	puri	puri		puli	puɾina	puli	puri	puri			purina	puɾi	purina	puri	puri	puɾiː	puri	puɾi
WALK_2																		aɲdaɾ															
WATER_1	unu													unu	unu														unu				
WATER_2		jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku		jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku	jaku		jaku	jaxu	jaku	jaɡu
WATER_3															ʧuʎʧu̯i																		
WE (INCLUSIVE)_1	ɲuqanʧis	noqanʧik	ɲoχanʧik	ɲuqanʧi	ɲoqanʧik	nuʁanʤiʁ	ɲukanʧi	ɲukanʧix	ɲoqanʧik	nuqanʧis	nuʁanʧiχ	nukanʧi	ɲuqanʦik	nuqanʧis	ɲoqanʧis	nuqanʧi	ɲuχanʧik	ɲoqaɲʦi		ɲukanʧik		nuʁanʧi	nuqanʧik	ɲoqanʧik	ɲoqanʧik	ɲukanʧi	ɲoχansi	nukanʧi	nuqanʧis	ɲukanʧi	noχai̯ʃ	ɲukanʧi	noχaɲʧi~noχaɲʧik
WHAT_1	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima	ima
WHITE_1	juraχ	juɾaq	juɾaχ	juɾaɡ	julaq	juraq	jurak	jurax	juɾaq	juraχ	juraχ	jura	juraq	juraχ	juraq	juraχ	rujaχ~juraχ	julaq	julaʔ	juɾax	julaʔ	juraq	juraχ	juɾaq	juɾaq	rujaχ	juɾaχ	jura	juraχ	jurak	juɾaχ	jurax	juɾaχ
WHITE_2															ku̯iʎa																		
WHO_1	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi	pi		piː	pi	pi	pi	pitaχ	pi	pi
WHO_2																										mai̯kan							
