Gloss	Apolobamba	Apurí-Madean-Viñac	Ayacucho	Azuay	Cacra-Hongos	Cajamarca	Chachapoyas	Chimborazo	Chocos-Huangáscar	Chuquisaca	Cochabamba	Colombian Inga	Corongo	Cuzco	Eastern-Apurímac	Huallaga-Huánuco	Huancavelica	Huaraz-Huailas	Huaylla-Huanca	Imbabura	Jauja-Huanca	Lambayeque	Laraos	Lincha-Tana	Liscay-San Pedro	Napo	Pacaraos	Pastaza	Puno	San Martín	Santiago del Estero	Tena	Yaru
EMPTY_1	ʧʼusaχ			ʧuʃaɡ				ʧuʃax		ʧʼusaχ	ʧʼusaχ	ʧusa		ʧʼusaχ	ʧusaq					ʧuʃax		ʧunʤa				ʧuʃa		ʧuʃa	ʧʼusaχ		ʧusaχ	ʧuʃax	
EMPTY_2			taʎi												ʧin~ʎatan															taʥix			
EMPTY_3						iʎax							inaʎa										iʎaχ				ilaː						ila
EMPTY_4												sumbu																					
EMPTY_5																haːkuχ			halkuʂa		halkuʂa												
EMPTY_6																	vasijo																
EYE_1	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɳawi	ɲawi	ɲawilulun	ɲawi	nawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi		ɲawi	ɲawi	ɲawi	ɲaβi~ɲawi	nawi
EYE_2																												ɲavi					
FACE_1	uja	uja	uja						uja	uja	uja			uja	uja										uja			uja	uja	uja	uja		
FACE_2				ɲawi			wija	ɲawi				ɲawi								ɲawi						ɲawi						ɲaβi	
FACE_3						qaʁʎa							qaqʎa			qaχʎa																	
FACE_4																	kara						kara				kaːɾa						kaɾa
FACE_5																			likʧaʔ~likʧai̯														
FACE_6																						χaχʤa											
FAR_1	karu	kaɾu	kaɾu	kaɾu	kalu	karu	karu	karu	kaɾu	karu	karu	karu		karu	karu~qaru	karu	karu	kaɾu	kalu	kaɾu	kalu	karu	karu	kaɾu	kaɾu	karu	kaɾu	karu	karu	karu	kaɾu	karu	kaɾu
FAR_2													larɡu																				
FAR_3																												ʧipi					
FAT (ORGANIC SUBSTANCE)_1	wira	wiɾa	wiɾa	wiɾa	wila	wira	wira	wira	wiɾa	wira	wira	wira	wira	wira	wira	wira	wira	wiɾa	wila	ɸiɾa	wila	wira	wira	wiɾa	wiɾa		wiɾa		wira	wira	wiɾa	ira	wiɾa
FAT (ORGANIC SUBSTANCE)_2															untu																		
FAT (ORGANIC SUBSTANCE)_3																												ɡrasa					
FINGERNAIL_1	siʎu	siʎu	siʎu	ʃiʎu	siʎu	ʃiʤu	ʃiʥu	siʒu	siʎu	siʎu	siʎu	siʎu	ʃiʎu	siʎu	siʎu	ʃiʎu	siʎu	ʃiʎu	ʃiʎu	siʎu	ʃiʎu	siʒu	ʃiʎu	siʎu	siʎu	ʃiʎu	ʃilu	ʃiʎu	siʎu	ʃiʥu	siʒu	siʎu	ʃilu
FIRE_1	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	ɲiɲa	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina
FIVE_1	piʧqa	piʧqa	piʧχa	piʧka	piʧqa	piʧʁa	piʧka	piʧka	piʧqa	piʃqa	pʰiʃʁa	piʧka	piʦqa	pisqa	piska	piʧqa	piʧχa~piʧqa	piʦqa	piʧʔa	piʃka	piʧʔa		piʧqa	piʧqa	piʧqa		pisʁa	piʧka	pisqa	piʧka	piʃqa		piʧχa
FIVE_2															piʧqa																	piʧka	
FIVE_3																						sinko											
FIVE_4																										piʧka							
FLESH OR MEAT_1	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	eːʦa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʦa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯sa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa
FLOWER_1	tʼika									tʼika	tʼika			tʼika	tika														tʼika				
FLOWER_2		sisa		sisa	hisa			sisa	sisa										sisa	sisa	sisa			sisa	sisa	sisa		sisa		sisa	sisa	sisa	
FLOWER_3		wai̯ta	wai̯ta		wai̯ta		wai̯ta		wai̯ta				weːta		wai̯ta		wai̯ta	wai̯ta	wai̯ta		wai̯ta		wai̯ta	wai̯ta	wai̯ta		wai̯ʧa						wai̯ta
FLOWER_4						tuktu						tuxtu				tuktu						tuktu											
FLY (MOVE THROUGH AIR)_1	halaʧa																												halanta				
FLY (MOVE THROUGH AIR)_2		pawa	pawa		pawa		pawa		pawa	pʰawa	pʰawa			pʰawa	pawa		pawa						pawa	pawa	pawa			pawana		pawa	paː		
FLY (MOVE THROUGH AIR)_3						pari										paːri		paxaɾi	paːli		paːli	pari					paːɾi						paːɾi
FLY (MOVE THROUGH AIR)_4								kaʒpa																									
FLY (MOVE THROUGH AIR)_5													bu̯elɛ		pala					bulana													
FLY (MOVE THROUGH AIR)_6																										wamburina						wamburi	
FOOT_1	ʧaki	ʈaki	ʧaki	ʧaki	ʈaki	ʈ͡ʂaki	ʈ͡ʂaki	ʧaki	ʈaki	ʧaki	ʧaki	ʧaxi	ʈ͡ʂaki	ʧaki	ʧaki~ataka	ʧaki	ʧaki	ʧaki	ʈ͡ʂaki	ʧaki	ʈ͡ʂaki	ʈ͡ʂaki	ʈ͡ʂaki	ʈaki	ʈaki	ʧaki	ʈ͡ʂaki	ʧaki	ʧaki	ʧaki	ʧaxi	ʧaki	ʈ͡ʂaɡi
FOREHEAD_1	matʼi			mati										matʼi	mati														matʼi				
FOREHEAD_2		ʧimpa							ʧimpa						ʧinpa									ʧimpa	ʧimpa								
FOREHEAD_3		paqʈa			paqʈa														paʔʈ͡ʂa		paʔʈ͡ʂa			paqʈa	paqʈa								
FOREHEAD_4			uɾku			urku	urku						urku			urku	urku	uɾku	ulku		ulku	urku								urku			
FOREHEAD_5								frente		frente	frente															hurinti		urindi				urinti	
FOREHEAD_6																				ɲawi													
FOREHEAD_7																							paqχra								paχɾa		
FOREHEAD_8																											soχuʈ͡ʂi						
FOUR_1	tawa	tawa	tawa		tawa				tawa	tawa	tawa			tawa	tawa		tawa		tawa		tawa		tawa	tawa	tawa				tawa		taː		
FOUR_2				ʧusku		ʈ͡ʂusku	ʧusku	ʧusku				ʧusku	ʈ͡ʂusku			ʧusku		ʧusku	ʈ͡ʂusku	ʧusku	ʈ͡ʂusku					ʧusku	ʈ͡ʂusku	ʧusku		ʧusku		ʧusku	ʈ͡ʂusɡu
FOUR_3																						kuatro											
FOX_1	atuχ	atoq	atoχ		atoq	atoq	atuk	atux	atoq	atuχ	atuχ		atuq	atuχ	atoq	atuχ	atuχ	atoq	atuʔ		atuʔ		atuχ	atoq	atoq		aʧoχ		atuχ	atuk	atoχ		atoχ
FOX_2				aɲas																aɲas													
FOX_3				jalu																													
FOX_4																						zoro						suru					
FOX_5																																saʧaaʎku	
FULL_1	huntʼa	hunta	hunta	hunda	hunta	unda	xunda	hunda	hunta	huntʼa	huntʼa	xunda	unta	huntʼa	hunta	hunta	hunta		hunta	xunda	hunta	unda	hunta	hunta	hunta	hunda	xunta	unda	huntʼa	xunda	unta	undakta	χonta
FULL_2		saksasa			saksaʃa				saksasa															saksaʃa	saksasa								
FULL_3															ʎinpa																		
FULL_4															paqar																		
FULL_5															qapa																		
FULL_6																		wiɲaj															
GET TIRED_1	sai̯kʼu			ʃai̯kuʧina		ʃai̯ku	çai̯ku	ʃai̯ku		sai̯kʼu	sai̯kʼu	sai̯kuri	ʃeːku	sai̯kʼu						ʃai̯xuʃka		ʃai̯ku	ʃai̯ku					ʃai̯kuna	sai̯kʼu	çai̯ku	sai̯kus		çai̯ɡu
GET TIRED_2		piʃipa	pisipa		piʃipa				piʃipa						pisipa	piʃipa	pisipa	piʃipaː	piʃipa		piʃipa			piʃipa	piʃipa		piçikaː						
GET TIRED_3												ami																					
GET TIRED_4												sambaja														sambai̯na		sambajana				sambaja	
GET TIRED_5															maʧitaku																		
GET TIRED_6																			utika		utika												
GIVE_1	qu	qo	χo	kuna	qo	qu	ku	ku	qo	qu	ɢu		qu	qu	qo	qu	χu		ʔu	kuna	ʔu	qu	qu	qo	qo	kuna	χo	kuna	qu	ku	qo	ku	χo
GIVE_2												kara																					
GO_1	ri	ɾi	ɾi	ɾina	li	ri	ri	ri	ɾi	ri	ri	ri		ri	ri		ri		li	ɾina		ri~r̝i	ri	li	ɾi	rina	ɾi	ɾina	ri	ri	ɾiː	ri	
GO_2		ai̯wa			ai̯wa				ai̯wa				eːwa			awa		ai̯wa			ai̯wa			ai̯wa	ai̯wa								awa
GOLD_1	quri		χoɾi	kuɾi		quri	kuri	kuri		quri	ɢuri	kuri	quri	quri	qori	quri	χuri	qoɾi	huli	kuɾi						kuri		kuri	quri	kuri	qoɾi	kuri	
GOLD_2		qoʎqe			qoʎqe				qoʎqe															qoʎqe	qoʎqe								
GOLD_3																					quri												
GOLD_4																						oro	oro										
GOLD_5																																	χoi̯ʎuʐ
GRASS_1	qura		χoɾa							qura			qura	qura	qora		χura		qula		qula								qura				
GRASS_2		qewa		kiwa	qewa	qiwa	kiwa	kʰiwa	qewa										hiwa	xiwa	qiwa	χiwa	qiwa	qewa	qewa	kiwa	χewa	kiwa		kiwa		kiwa	χewa
GRASS_3				juju																											juju		
GRASS_4							wai̯ʥa																							wai̯ʥa			
GRASS_5											jerba																						
GRASS_6												uxsa																					
GRASS_7																ʧuqu																	
GRASS_8																		pastu															
GREEN_1	qʼumir		χumiɽ	lumaɾ						qʼumir	qʼumir			qʼumir															qʼumir		qomeɾ		
GREEN_2						ʧiʁjax	ʧikjax						ʦiqjaq									ʧiχjaχ								ʧikxak			
GREEN_3								berde								berde			biɾdi	biɾdi			berde			birdi	berdi					berde	
GREEN_4															kuku													kiʎu					
GREEN_5																	χiwa																
GREEN_6																		beɾi															
HAIR (HEAD)_1	ʧuxʧa	aqʧa~ʧukʧa	ʧukʧa	aɡʧa	aqʧa	aχʧa	ʧuxʧa	axʧa	aqʧa~ʧukʧa	ʧuxʧa	ʧuxʧa	axʧa	aqʦa	ʧuxʧa	ʧukʧa	aχʧa	ʧukʧa	aqʦa	aʔʧa	akʧa	aʔʧa	aχʧa	aχʧa	aqʧa	aqʧa	akʧa	aχsa	ʧukʧa	ʧuxʧa	ʧukʧa	ʧuxʧa	akʧa	aχʧa
HAND_1	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maxi	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maxi	maki	maɡi
HAPPY_1	kusi	kuʃi	kusi	kuʃiuɡ	kuʃi	kuʃi	kuʃi	kuʃi	kuʃi	kusi	kusi		kuʃi	kusi	kusa~kusi	kuʃi	kusi	kuʃi	kuʃiʎa	kuʃiʎa	kuʃiʎa	kuʃi	kuʃi	kuʃi	kuʃi	kuʃi	kuʃiku	kuʃi	kusi	kuʃi	kusi	kuʃi	kuʃi
HEAD_1	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma
HEAR_1	ujaɾi	ujaɾi	ujaɾi	ujana	ujali	uja	wijari	uja	ujaɾi	ujaɾi	ujaɾi	uja	wija	ujaɾi		wija	ujari	wija	ujali	ujana	uja	uja	ujaɾi	ujaɾi	ujaɾi	ujana	uja	ujana	ujaɾi	ujari	ujaɾiː	uja	uja
HEART_1	sunqu		soŋχo	ʃunɡu	ʃoŋqu	ʃonqo	ʃunɡu	ʃunɡu	ʃoŋqu	sunqu	sunʁu	sunɡu	ʃunqu	sunqu	sonqo	ʃunqu	sunɢu	ʃoɲqu	ʂunʔu	ʃunɡu	ʂunʔu		sunqu	ʃoŋqu	ʃoŋqu	ʃunɡu	ʃuɴχu		sunqu	ʃunɡu	soŋqo	ʃunɡu	ʃoŋχu
HEART_2																						korazon						kurasun					
HEAVY_1	ʎasa	ʎasa	ʎasaχ	ʎaʃaɡ	ʎasa	ʎaʃa	ʥaça	ʒaʃa	ʎasa	ʎasa	ʎasa	ʎasa	lasa	ʎasa	ʎasa	lasa	ʎasa	lasaq	ʎasaʔ	ʎaʃax	ʎasaʔ	ʒaʃa	ʎasa	ʎasa	ʎasa	ʎaʃa	lasa	ʎaʃa	ʎasa	ʥaça	lasaχ	ʎaʃa	lasa
