Language_ID,Feature_ID,IPA,Value
Central_Pomo,COLD,kʼiw,1
Eastern_Pomo,COLD,qaːʦʰˈil,2
Southeastern_Pomo,COLD,qsˈilit̪,2
Kashaya,COLD,ʔihjuːm,3
Northeastern_Pomo,COLD,ʃˈoʔt̪ʼon,4
Northern_Pomo,COLD,mˈadoː,5
Southern_Pomo,COLD,moʔdotʼ,5
Central_Pomo,DOG,hˈaju,6
Eastern_Pomo,DOG,hˈaju,6
Kashaya,DOG,haju,6
Northern_Pomo,DOG,hajˈu,6
Southeastern_Pomo,DOG,hˈaju,6
Southern_Pomo,DOG,hˈajːu,6
Northeastern_Pomo,DOG,boʔlˈaukaː,7
Central_Pomo,KNOW (SOMETHING),jaqʼ,8
Eastern_Pomo,KNOW (SOMETHING),meːʔˈel,9
Kashaya,KNOW (SOMETHING),ʔduːʧiʧʼ,10
Southern_Pomo,KNOW (SOMETHING),hiʔduʧːˈed,10
Northern_Pomo,KNOW (SOMETHING),ʃaː,11
Southeastern_Pomo,KNOW (SOMETHING),fdˈiqa,12
Central_Pomo,CLOUD,kʰbaː,13
Eastern_Pomo,CLOUD,xaːbˈo,13
Kashaya,CLOUD,qʰabaː,13
Northeastern_Pomo,CLOUD,kʰˈaʔbot̪on,13
Southeastern_Pomo,CLOUD,xubˈu,13
Southern_Pomo,CLOUD,kʰˈabʔa,13
Northern_Pomo,CLOUD,pʰut̪ʼ,14
Central_Pomo,FOOT,kʰma,15
Eastern_Pomo,FOOT,xaːmˈaː,15
Kashaya,FOOT,qʰama,15
Northeastern_Pomo,FOOT,kʰˈama,15
Northern_Pomo,FOOT,kʰamˈa,15
Southeastern_Pomo,FOOT,χman,15
Southern_Pomo,FOOT,kʰˈaːma,15
Central_Pomo,NECK,mja,16
Kashaya,NECK,mihja,16
Southern_Pomo,NECK,mˈihja,16
Eastern_Pomo,NECK,qʼoj,17
Southeastern_Pomo,NECK,qʼoj,17
Northeastern_Pomo,NECK,hˈuʔkʼa,18
Northern_Pomo,NECK,kʰu,19
Central_Pomo,STONE,kʰbe,20
Eastern_Pomo,STONE,xaːbˈe,20
Kashaya,STONE,qʰaʔbe,20
Northeastern_Pomo,STONE,kʰˈaʔbe,20
Northern_Pomo,STONE,kʰabˈe,20
Southeastern_Pomo,STONE,χabˈe,20
Southern_Pomo,STONE,kʰˈaʔbe,20
Central_Pomo,WIND,ja,21
Eastern_Pomo,WIND,j̥ˈa,21
Kashaya,WIND,ʔihja,21
Northeastern_Pomo,WIND,hˈija,21
Northern_Pomo,WIND,ja,21
Southeastern_Pomo,WIND,ja,21
Southern_Pomo,WIND,ʔihja,21
Central_Pomo,KNEE,snoː,22
Southern_Pomo,KNEE,sinːˈot̪ːa,22
Eastern_Pomo,KNEE,qʼuːt̪ˈul,23
Kashaya,KNEE,moqʰoː,24
