Gloss	Ancient Attic Greek	Ancient Ionic Greek	Modern Demotic Greek	Pharasa Greek	Southern Tsakonian	Western Cappadocian Greek
ALL_-1				(pitˈuni)		
ALL_1	pánt	pánt				
ALL_2			ˈolo		ˈole	ˈullo
ASH_1		spodós			spoˈia	
ASH_2	tépʰraː					
ASH_3			stˈaxti	stˈaxti		stˈaxʧi
BARK_-1						(ɣabˈɨx)
BARK_1	pʰlojós	pʰlojós	fliˈos	flˈiði	frˈua	
BELLY_1	ɡastéːr	ɡastéːr				
BELLY_2			ciʎˈa	ʤilˈia		
BELLY_3					fˈukʰa	
BELLY_4						karjˈa
BIG_1	méɡas	méɡas	meɣˈalo	mˈeɣo		mˈeɣa
BIG_2					aʧˈe	
BIRD_1	órnis	órnis				
BIRD_2			pulˈi	pulˈi	puʎˈi	pulˈi
BITE_1	dáknoː	dáknoː	ðaɡˈono	ðˈakno		ðˈakno
BITE_2					kaʦˈinu	
BLACK_1	mélan	mélan				
BLACK_2			mˈavros	mˈavro		mˈavro
BLACK_3					kuvˈane	
BLOOD_1	hâjma	âjma	ˈema	ˈaima	ˈema	ˈoima
BONE_1	ostéon	ostéon		sto		sʧas
BONE_2			kˈokalo		kˈokale	
BREAST_1	stêːtʰos	stéːtʰea	stˈiθos		stˈiθi	
BREAST_2				kardˈia		
BREAST_3						kˈorfos~kˈolfos
BURN (SOMETHING)_1	káoː	kájoː	cˈeo	kˈafto		kˈafto
BURN (SOMETHING)_2					ðˈesu	
CIRCULAR (ROUND IN TWO DIMENSIONS)_2		kykloteréː				
CIRCULAR (ROUND IN TWO DIMENSIONS)_3	peripʰeréː					
CLOUD_1	népʰos	népʰos	sˈinefo	sˈinefa	sˈiɣnefo~sˈinefo	ʃˈinefo
COLD (OF WEATHER)_1	psyːkʰrós	psyːkʰró			psuxrˈe	
COLD (OF WEATHER)_2			krˈio			
COME_1		érkʰomaj	ˈerxome	ˈerxume		ˈerxume
COME_2	ʌltʰ	eltʰ	ˈirθa	ˈirta		ˈirta
COME_3	héːkoː					
COME_4					par̝ˈiu	
COME_5					ekˈan	
DIE_1	apotʰnéːjskoː	apotʰnéːjskoː	peθˈeno		penˈakʰu	peranˈiʃko
DIE_2				xˈan		
DOG_1	kýːoːn	kýːoːn			kˈue	
DOG_2			scˈilos	sʧilˈi		ʃcilˈi
DRINK_1	píːnoː	píːnoː	pˈino	pˈino	cˈinu	pjinˈiʃko
DRY_1		âwo				
DRY_2	kseːró			kserˈo	ʦerˈe	kserˈo
DRY_3			steɣnˈo			
EARTH (SOIL)_1	ɡêː	ɡêː				
EARTH (SOIL)_2			xˈoma	xˈoma	xˈoma~xˈuma	xˈoma
EAR_1	oːt	oːt	aftˈi	ti	avotˈana~avutˈana	afʧˈi~fʧˈi
EAT_1		sitéomaj				
EAT_2	estʰíoː					
EAT_3	pʰaɡ		ˈefaɣa	ˈefaɣa	efaˈika	ˈefaɣa
EAT_4			trˈoo	trˈoɣo	ʧu	trˈoɣo
EGG_1	oːjón	oːjón	avɣˈo	vo	avuɣˈo	ovɣˈo
EYE_1	opʰtʰalmós~ómma	opʰtʰalmós	mˈati	ftˈalmi	psilˈe	maʃ
FAR_-1					(alˈarɣa)	
FAR_1	pórroː	prósoː				
FAR_2			makriˈa	makrˈa		makrˈa
FAT (ORGANIC SUBSTANCE)_1	piːmeléː	piːmeléː				
FAT (ORGANIC SUBSTANCE)_2			lˈipos			
FAT (ORGANIC SUBSTANCE)_3					ksˈinʒi	
FAT (ORGANIC SUBSTANCE)_4				ˈalima		ˈalima
FEATHER_1	pterón	pterón	fterˈo	fterˈu	fterˈe	fterˈo
FINGERNAIL_1	ónykʰ	ónykʰ	nˈiçi	nˈiʃi	ɲˈiçi	niç
FIRE_1	pŷːr	pŷːr				
FIRE_2			fotçˈa			
FIRE_3					kʰˈara	
FIRE_4				nistˈia		niʃʧˈa
FISH_1	ikʰtʰýːs	ikʰtʰýːs				
FISH_2			psˈari	psˈari	psˈar̝i	psar
FLESH OR MEAT_1	kréas	kréas	krˈeas	kræs	krˈie	cirjˈas
FLY (MOVE THROUGH AIR)_1	pétomaj	pétomaj	petˈo	pettˈao	petˈu	petˈano
FOOT_1	pod	pod	pˈoði	porˈaði	pˈua	prej
FULL_1	pléːreː	pléo				
FULL_2	mestó					
FULL_3			ʝemˈato	emˈo	ʝomˈate	ɣomomˈeno
GIVE_1	dídoːmi	dídoːmi	ðˈino	ðˈito	ðˈiu	dˈino
GOOD_1		kʰreːstós				
GOOD_2	aɡatʰó					
GOOD_3			kalˈo	kaˈo	kalˈe	kalˈo
GREEN_1	ɡlawkó					
GREEN_2			prˈasino		prˈasine	prˈaʃino
HAIR_1	tríkʰes	tríkʰes			ʧˈiçe	
HAIR_2			maʎˈa	malˈia		maljˈa
HAND_1	kʰéjr	kʰéjr	çˈeri	ʃˈeri	çˈera	çer
HEAD_1	kepʰaléː	kepʰaléː	cefˈali	ʧufˈali	ʨufˈa	cifˈal
HEART_1	kardíaː	kardíeː	karðʝˈa	kardˈia	karðˈia	karjˈa
HEAR_1	akúːoː	akúːoː	akˈuo	ku		akˈuo
HEAR_2					ɲˈiu	
HEAVY_1		embriːtʰéː				
HEAVY_2	barý		varˈi		var̝ˈu	varˈi
HORN (ANATOMY)_1	kéras	kéras	cˈerato	ʦˈeroto	ʨˈerate~ʨˈera	cˈerato
I_1	eɡóː	eɡóː	eɣˈo	eɣˈo~o	ezˈu	eɣˈo
