Family,Method,GQD
Arabic,Auto,0.11
Arabic,None,0.11
Arabic,Gold,0.04
Arabic,Bayesian,0
Balto-Slavic,Auto,0.01
Balto-Slavic,None,0.02
Balto-Slavic,Gold,0.02
Balto-Slavic,Bayesian,0.02
Bantu,Auto,0.11
Bantu,None,0.17
Bantu,Gold,0.11
Bantu,Bayesian,0.06
Dravidian,Auto,0.21
Dravidian,None,0.24
Dravidian,Gold,0.22
Dravidian,Bayesian,0.16
Hellenic,Auto,0
Hellenic,None,0
Hellenic,Gold,0
Hellenic,Bayesian,0
Italic,Auto,0.05
Italic,None,0.14
Italic,Gold,0.1
Italic,Bayesian,0.27
Japonic,Auto,0.16
Japonic,None,0.16
Japonic,Gold,0.19
Japonic,Bayesian,0.14
Polynesian,Auto,0.08
Polynesian,None,0.09
Polynesian,Gold,0.11
Polynesian,Bayesian,0.12
Pomoan,Auto,0
Pomoan,None,0
Pomoan,Gold,0
Pomoan,Bayesian,0
Quechuan,Auto,0.11
Quechuan,None,0.12
Quechuan,Gold,0.11
Quechuan,Bayesian,0.11
Sinitic,Auto,0.09
Sinitic,None,0.12
Sinitic,Gold,0.14
Sinitic,Bayesian,0.2
Turkic,Auto,0.27
Turkic,None,0.25
Turkic,Gold,0.28
Turkic,Bayesian,0.29
Uralic,Auto,0.01
Uralic,None,0.04
Uralic,Gold,0.04
Uralic,Bayesian,0.03
Uto-Aztecan,Auto,0.01
Uto-Aztecan,None,0.03
Uto-Aztecan,Gold,0.04
Uto-Aztecan,Bayesian,0
Vietic,Auto,0.03
Vietic,None,0.05
Vietic,Gold,0.03
Vietic,Bayesian,0.01
Yuman,Auto,0
Yuman,None,0
Yuman,Gold,0
Yuman,Bayesian,0
