Gloss	Arabic (MSA)	Chadian (Western Sudanic)	Cypriot (Kormakitis)	Dhofari (Oman)	Egyptian (Lower Egyptian)	Gulf (Emirati)	Hassaniya (Mauritanian)	Iraqi (Southern Iraq/Baghdad)	Levantine (Central/Syro-Lebanese)	Maltese	Moroccan (Casablanca)	Moslawi (Northern Iraq)	Najdi (Riyadh)	Sanaani (Sana'a)	Sudanese (Khartoum)	Tunisian (Tunis)
cold (as in weather)	baːrid	baːrid	pɛrɛt	baːrid~karaʕ	saːʔɛʕ̞	bɑːrˤɛd	baːrəd	bɑːrˤɛd	bɛːrɛd	kiesaħ~biered	barɛd	sˤqiːʕ	baːrɛd	baːrid	baːrid	baːrid
day (daytime)	jawm~nahaːr	jɔːm	xar	jɔːm	jɔːm~nɑhɑːr	jɔːmˤ	ʌnhaːr	jɔːmˤ	jɔwm ~ jɔːm~nhɑːr	jum~ġurnata~nhar	nhɑr	nəhɑːɣ	jɔːmˤ	jawm	jɔːm~nɑhɑːr	nhaːr
dirty	wasix~naʤas	wasix	mʌʕaθθi	ħatak~ʃaxal	wɛsɛx	wasˤəx	mˤmˤʷassəx	wasˤix~naɡɛs~zafɛr	wɛsɛx~miʒwɛː	maħmuġ	mmʷssəx	wisˤix		wasiχ~tˤɛsˤɛl	wasχaːn~wasiχ	mmassix
dog	kalb	kɛlib	kilp~kjɔpɛk	kɛlb	kalb	ʧalb	kʌlb	ʧalɛb	kalb	kɛlb̥	kəlb	kalib	ʦalb ~ kalb	kalb	kalib~ɢarzan~ʃalaɢ	kalb
dry (adjective)	ʤaːff~jaːbis	jaːbis	jɛpɛs	jaːbis	naːʃɛf	ħaːff~nɑːʃɛf	jaːbəs	jɑːbis~nɑːʃɛf	nɛːʃɛf	niexef~xott	jabəs	niːʃif	jaːbis~naːʃɛf	jaːbis~naːʃif	jaːbis~nɑːʃif	ʃaːjɑħ
dull (as a knife)	kaliːl~muθlim	kalla~majjit			baːrɛd~tɛlɛm	aʕma	daːvər~dəkʌm	aʢmi	mtallam~miʃ ħadd	ċatt~matt~spuntat	ħafi	məθluːm			majjit	ħaːfi
dust	ɣubɑːr~turɑːb	turaːb~ʔɔʤaːʤ	trap	ɣubaːr~sˤqaːriːt	ʕ̞ɔfɑːrɑ~tɔrɑːb	ʕɑỵɑːj~ɣbɑːr~tˤɔːz	qʌbrˤa~ɣabrˤa	ʢɑʤɑːʤ~tˤɔːz	ɣɑbrɑ	trab~għabra	ɣɔbrɑ	tˤʌwz	ʕɑʤɑːʤ~ɣbɑːr	ʕaɡʲaːɡʲ~ɣbɑːr	ʕaɡʲaːɡʲ~turɑːb~ɣɔbaːr	ɣabra
ear	ʔuðun	udɛn	iðn	ðin	wɛdn	ʔɛðɛn	uːðŭn	ʔiːðɑːn~ʔɛðɛn	dɛjnɛ~ɛdn	wɪdnɐ	wdən	əðin	ʔɛðɛn	ʔɛðn~ʔuðn	ɑdɑːn	wðin
earth (as in soil)	ʔardˤ~θarɑː~tˤiːn	ard~turaːb	ɑrt	tˤiːn~lqaːʕ	ʔɑrd~ratʃ~tɔrɑːb	ɑrðˤ~ʕɑːfuːr	ʌtraːb~tˤiːn	trɑːb~ɡaːʢ	trɑːb~ʔɑrɛdˤ	art~ħamrija	arədˤ	tˤəɣaːb	ɑrðˤ	turbah~ɡʲirbah~ɢaːʕ	wɑtˤɑ~ɑrdˤ~turɑːb	ʔɑrðˤ~trɑːb
egg	bajdˤɑ	bɛːda	pɛð	bɛːðˤa	bɛːdˤɑ	bɛːðˤa	bajðˤɑ	bíɛðˤɑ	bɑjdˤɑ	bɐjdɐ	bidˤɑ	bĭðˤa	bíɛðˤah	bajðˤɑh	bɛːdˤɑ	ʕaðˤma
eye	ʕajn	ʔɛːn	ʕɑjn	ʕɛːn	ʕ̞ɛːn	ʕɛːn	ʕʌjn	ʢɛːn	ʕɑjn	ɐjn	ʕin	ʕĭɛn	ʕɛːn	ʕajn	ʕajn	ʕiːn
far	baʕiːd	bɛʔiːd	pĕʕiːt	baʕuːd~natara	bɛʕ̞iːd	baʕiːd	bʕiːd	bʢiːd	bɛʕiːd	bgħid	bʕid	bʕiːd	baʕiːd	biʕiːd	baʕiːd~ɣɑːdi	bʕiːd
fat (noun)	samn~dahn~ʃaħm	dihin~samɛn	tɔxn	qatˤmiːm~maʃaħ	ʃaħm~dɛhn~laħma bɛːdˤɑ	dɛhɛn~ʃaħam	ʃħam	dasam~ʃaʜam	ʃaħm~dahn	xaħam~simna	ʃħɛm	ʃəħim	dɛhɛn~ʃaħm	ʃaħm~duhn	dihn~ʃaħm	ʃħam
father	ʔabb~ʔabaː-	ʔabba~ʔabu-	japát-	ɔːb	bɑbɑː-~abuː-~ʔɑbb	ʔubuː-~ʔɑbb	bu~waːlǝd	abuː-~abb	bɛj-	mɪsːɪːr	bu-~bˤbˤʷɑ	ʌbɔː-~ˀabb	ʔubɔː-~ʔabb	ʔabb~ʔabuː-	abuː-	buː-
feather (rather not down)	riːʃa	riːʃa~suːf		riːʃa	riːʃa	riːʃa	riːʃa	riːʃa	riːʃɛ	rixa	riʃa	ɣiːʃaːji	riːʃah	riːʃah	riːʃ	riːʃa
few	qɑliːl	ʃijja~baˀɛd	fitte~ʃfe	ʃwiː~bɑðɑʕ~qɑliːl	ʔɔlajjɛl	ɡɛliːl~ʃwajja	ʃwɛjj~ɡlɛjjǝl	ʧam~ʃwajjɑ~qɑliːl	ʔɑliːl~ʃwajj~natfɛ~əntuːfɛ/nattuːfɛ	ftit	qlil~ʃi	ʃwijjɔːni~pərʧɔːni	ɡəliːl~ʃwajja~tˤirf	ɢaliːl~ʃwajjih	ɢaliːl~ʃwijja	ʃwajja
fingernail	ðˤifr~ðˤufr	dufr	ðufr	ðˤɑːfuːr	dɑːfɛr~dɔfr	ðˤufɛr	ðˤfər	ʔɛðˤfɛr	dɛfr	dˈɪfɛr	dˤfər	ʔəðˤfɛɣ	ðˤəfɛr	ʔuðˤfur~ðˤufr	dˤufur	ðˤfar
fire	naːr~ħariːq	naːr	ɔkít	naːr~ħariːq~sarɡiːɡa~mahɡiːɡa~madhiːra	nɑːr~ħariːʔa	ðˤɑwˤ~ħariːʤa~naːr	nɑːr	nˤaːr~ʜariːq~ʜariːɡ	nɑːr~ħariːʔ	nɐːr	ʕafjɑ~ħriqɑ	nɑːɣ	ðˤɑwˤ~naːr	naːr~ħariːɢ	nɑːr	nɑːr
fish	samaka~ħuːt~sˤɑjd	huːt		samaka~sˤɛːd~baːbtˤiːni	samaka	smiʧɑ	ħuːt	sɛmʧa	sɛmkɛ	ħʊːtɐ	ħutɑ	sʌmʌki	samakah	samakih~sˤɑjd~ħuːtih	samaka	ħuːta
five	xamsa	xamsa	xampsɛ	xumsa	xamsa	xamsɑ	xʌmsa	xumˤsɑ	xɑmsɛ	ħɐmsɐ	xəmsɑ	xʌmsi	xams	χamsih	χamsɑ	xamsa
flower	zahrɑ~ward	nuwaːr	vɑrte	zɑhɑrɑ~warada	warda	zahra	nəwwɑːr	warɛd~warda	zɑhrɑ	fjura~nawra	nuwwɑ́rˤɑ	wʌɣdaːji	zahrah	zahrah	zahra~nɑwwɑːr	nawwaːra
fog	dˤɑbaːb	xamaːm~dubaːb		ɣɑllɛːt~ðˤbaːb	ʃɑbbuːrɑ~dˤɑbɑːbɑ	tˤɑḷḷ~ðˤɑbɑːb	tɛlɛmˤajt~ɣmaːm	ðˤubˤɑːbˤ	ɣtˤajtˤɑ~dˤɑbɑːb	ċpar	dˤbab	ðˤbaːb	ɣammah~ðˤɑbaːb	ðˤɑbaːb~ħiɡʲaːb	dˤɑbɑːb	dˤbaːb
foot	qɑdam~riʤl	kuraː~riʤl	iʒr	qadam~kaff	rɛɡl	ʤadam~riːl	kraːʕ~rʒǝl	rɛʤɛl	ɛʒr	sɪːʔ	rʒəl	ɣiʤil	riʤil	ɢadam~riɡʲl	kurɑːʕ~rɛɡʲl	saːq
forest	ɣaːba~ħirʃ	ʃɛdɛr kɛtiːr fiː			ɣaːba	ɣɑːba	ɣaːbɛ~ʕŭɡda	ɣɑːba	ħɛrʃ~ɣaːbɛ	foresta~masġar	ɣaba	ɣaːba	ɣɑːbɑ	ɣaːbah	ɣɑːbɑ	ɣaːba
four	ʔarbaʕa	arba	árpʌʕa	arbaʕa	ɑrbɑʕ̞ɑ	ʔɑrbɑʕa	ʌrbʕa	ɑrbʢɑ	ʔɑrbʕɑ	ɛrbɐ	rˤəbʕa	uːbaʕ	ʔarbaʕ	ʔɑrbɑʕɑh	ɑrbɑʕɑ	rbʕaː
fruit	faːkiha~fawaːkih~θamarɑ	jalda~ʔijaːl	fɛkjɛ	famara	fakha	fɑːkha~miːwɑ	ləħdaʒ~θ̬̬ʌmra	mɛːwɑ~fɑːkɛhɑ	fwaːki	frott	dɛssiɣ~ɣəllɑ~fakjɑ	faːkihi~miːwi	fɑːkihɑ	faːkiha	sɑmɑr~fɑːkha	ɣalla
full	malaːn~mumtaliʔ~kaːmil	mɛlaːn	mplan	mʕabbiː~matruːs	maljaːn	matruːs~mamzuːr	mlaːn	matruːs~mqɑppatˤ	maljaːn~mɛtlɛːn~mʕabbɛː	mɪmlɪ	ʕamər	kaːməl	məntɛli	maljaːn~matruːs~kaːmil	maljɑːn	mʕɛbbi
good	ʤajjid~ħasan~tˤɑjjib	sɛːmɛ~zɛːn	kaɛs~taɛp	zɛːn~ħaʃama	kwajjɛs~ħɛlʷ	zɛːn~xɔːʃ	zajn~mʌʕluːm	zíɛn~xɔːʃ	mniːħ~tˤɑjjɪb	tɐjːɛb̥	mɘzjan~dˤrif	mliːħ~xɔːʃ	zíɛn	naːhi~kwajjis~ʕiːs	samiħ~kuwajjis~ʃadiːd	baːhi
grass	ʕuʃb~ħaʃiːʃ	ɡɛʃ	ʃxex~tʃɛˁiːr	ħaʃiːʃ~kutiːl	nɛɡiːla	ʕɛʃɛb~ħaʃiːʃ~rɑbiːʕ	rbiːʕa~ɑlɑmuːz	θajjɛl~ʢɛʃɛb	ħaʃiːʃ~ʕɔʃb	ħaxix	rbiʕ	ħʌʃiːʃ	ʕɛʃb~niːda~rabiːʕ	ħaʃiːʃ~ʕuʃb	ɢaʃʃ~umɑsˤɑːbiʕa~tarba~naʤiːla	ħʃiːʃ
green	ʔaxdˤɑr	ʔaxadar	prásinɔ~xɔðɛr	xðɑːr	ɑɣdɑr	xɑðˤɑrˤ	ʌxðˤɑr nɛʕnaːʕ	ʔɑxðˤɑr	ʔɑxdˤɑr	ɐħdɐr	xdˤər	ʌxðˤɑɣ	xɑðˤɑrˤ	ʔaχðˤɑr	ɢɑrɑmɑːniː~ɑχdˤɑr	axdˤir
guts	ʔamʕaːʔ~ʔaħʃaːʔ~musˤrɑːn~mɑsˤɑːriːn	musuraːn	psarín	mɑːsˤuːr	ħaʃa~mɑsɑriːn	musˤrɑːn	msˤɑːriːn	msˤɑːriːn~mɛnbɑːrˤ	mɑsˤɑriːn	msaren	məsˤrɑn	mʌsˤiːɣiːn	məsˤrɑːn	mɑsˤɑːriːn~karʃ	ʔamʕɑːʔ~mɑsˤɑriːn	bziːz~msˤaːriːn
hair	ʃaʕr	ʃaʔur	ʃaxve~ʃaʕar	ʃaʕar	ʃɑʕ̞r	ʃaʕar	zɣab~zqab~ʃʌʕra	ʃaʢar	ʃɑʕɛr	ʃɐːr	ʃəʕrɑ	sɑʕɛɣ	ʃaʕar	sˤuːf~ʃaʕr	ʃɑʕr	ʃʕɑr
hand	jadd	id	it	jadd	ʔiːd	iːd~jɛd	ɛjd	iːd	ʔiːd	ɪːd̥	jədd	iːd	kaff~iːd~jəd	jad	jad~ʔiːd-	jid
he	huwa	huː	uɔ	hɔː	hɔwwɑ	hu	huwwɑ~huːwɑ	huwwɑ	huwwɛ	huwa	həwɑ́	ɔːwɛ~-wɛ	huww	huː	huː	huwwaː
head	rɑʔs	ras	mɔx	raːs	dɛmaːɣ~rɑːs~nafuːx	rˤɑːs	rˤɑːsˤ~rˤɑːs	rɑːs~sˤmɑːx	rɑːs	rɐːs	rɑs	ɣɑːsˤ	rˤɑːs	rɑʔs~rɑːs	rɑːs	raːs
heart	qɑlb~fuʔaːd	ɡɛlb	kɑlp	qɑlb~ɡɔːf	ʔalb	ɡaḷb	ɡʌlb	ɡaḷubˤ~f̣f̣ɑːd~dɛl	ʔalb	ʔɐlb̥	qəlb	ffɑːd~qʌlib	ɡaḷb	ɢalb	ɢalb	qalb
heavy	θaqiːl	tɑɡiːl	θkiːl	θiqiːl~ħariːr	tɛʔiːl	θaɡiːl	əθ̬̬ɡiːl	θɛɡiːl	tʔiːl	tqil	tqil	θʌqiːl	θaɡiːl	θaɢiːl~ʤawr~raziːn	tɑɢiːl	θqiːl
here	hunaː	hinɛ	ɑwnɑ~annaxula	hinniː	hɛna; ahɔ~hɛnahɔ~ahɛ~hɛnahɛ	əhni	huːn~huːnaːti	əhnɑːna~əhnɑː	hɔwn ~ hɔːn	hawn	hnɑ~hnajɑ	huːniː~hʌwn	fiðaː~həna	haːna	hina	huːniː~hnɛː
horn	qɑrn	ɡurn		qaran	ʔɑrn	ɡɑrn	ɡʌrˤn	ɡɛrɛn	ʔɑrn	ʔɐrn	qərn	qʌɣin	ɡarn ~ d͡zarn	ɢarn	ɢɑrn	ɡarn
how	kajfa	kɛːf	kif~aʃʃikl	kɛː	ɛzzaːj	ʧɛːf	bism il-ħiːla	ʃlɔːn	kiːf	kif	ki~kifaʃ	ʌʃɔːn	kɛif ~ ʦɛːf~ʃlɔːn	kajf	kɛːf~izzaːj	kiːfaːʃ~kiːfɛː
husband	baʕl~zawʤ~rɑʤul	raːʤil	ʒɑwz~intsán	zɔːɡ	ɡɔːz	rɑʤɛl~rəjl-	muːlaː l-xajma~rˤaːʒǝl-	rɑʤɛl~zɔːʤ	ʒɔwz ~ ʒɔːz	żewġ~raġel	rˤɑʒəl	zʌwʤ	rɑːʤil	zawɡʲ	zɔːʤ~rɑːɡʲil	raːʒil
ice	ʤaliːd~θalʤ	ʤamad~almɛ ʤamad		falɡ	talɡ~ɡaliːd	θalʤ	ɡlaːsˤ	θalɛʤ	talʒ	sɪlʤ̥	təlʒ	θaliʤ~ʤʌliːd~maːj ʤiːməd	θalʤ	θalɡʲ	tɛlɡʲ~ɡʲamad	θilʒ
if	ʔið~law~ʔin	kaːn	an~kan	iðaː~lɔː~baː	law~ɛn	lɔ~iðɑ~ʧɑːn	ilaː~lu	lɔː~ɛðɑː	ʔizɑ~law~ɛnkɛːn	jekk	ilɑ	ʌðaː	iðaː~ən	lɑː~ʔiðɑː	in~lɑw	ʔiːðaː
in	fiː~bi	fiː	fi	fiː	fɛ	fi	v	əb-	bi~ɛb~fi	fi~ġo~ġewwa	fi	əb-	fiː~əb-	wɑsˤtˤ~fiː	fi	fiː
knee	rukba	rukba		rikba	rɔkba	riʧba~rukba	rŭkba	rukbɑ	rɛkbɛ	rkɔpːɐ	rukbɑ	ɣəkbaj	rikbah	rukbih	rukba	rukba
lake	buħajra~birka~ɣadiːr	bahar	ʕɑjn-purkɛ	ɡaːbija	bɛrka~bɔħɛːra	bɛrʧa	bħajrɑ	buʜajrˤɑ	bħɛjrɑ	ɐdɪːrɐ	dˤajɑ	bŭħʌjrˤɑ	birka~ɣadiːr	ɣadiːr~buħajrɛh	mɔːja~bɛrka	sabxa
leaf	waraqɑ	warʃaːl~warɡa	fíllɔ~varka	ħuːsˤɑ	waraʔɛt ʃɑɡɑr	wruɡa~xɔːsˤ	warˤɡa	warɡa	wɑrʔɑ	wɛrʔɐ	wərˤqɑ	waɣʌqɑ	waraɡah	waraɢih	waraɢa	warqa
left (side)	jasaːr~ʃimaːl	alʔisraːj	zʌrvá	ʃɑdɑf~jɑsɑːr	ʃɛmaːl	jɛsɑːr	lʕasˤrijja	ʔajsɑr~jisra	ʃmɛːl	xellug	ʃmal~əsˤri	jʌsˤɑːɣ	jɛsaːr	jɑsɑːr~ʃimaːl	ʃimɑːl	liːsaːr
leg	saːq~riʤl	kuraː~saɡ	iʒr	saːq~riɡl	rɛɡl	riːl~krɑːʕ	sˤaːɡ~ɡaːjma~kraːʕ	rɛʤɛl~krɑːʢ~pɑːjɑ	ɛʒr~rɛʒl	rɪʤɛl	rʒəl	sˤaːq	riʤil	riɡʲl~saːɢ	kurɑːʕ~rɛɡʲl	rʒil
liver	kabad~fuʔaːd	kɛbd	kaspe	kibda	kɛbd~kɛbda	ʧabd	kʌbda	kabɛd~mɛʢlaːɡ	kɛbɛd	fwɪːd̥	kəbdɑ	kabad~mĕʕlaːq lʌħmɑɣ	ʦabd ~ kabd	kabid	kibdɑ	kibda
long	tˤɑwiːl	tɑwiːl	tviːl	tˤɑwiːl	twiːl	tˤɑwiːl	ətˤwiːl	tˤɑwíɛl	tˤɑwiːl	twɪːl	tˤwil	tˤʌwiːl	tˤuwiːl	tˤɑwiːl	tˤɑwiːɛl	twiːl
louse	qamla	ɡɛmɛl	kamplɛ	ʃniːt	ʔamlaːja	ɡamla	dʌmla	ɡamḷa	ʔamlɛ	ʔɐmlɐ	qəmlɑ	qʌmli	ɡamlah	dɛðriː~ɢummalih	ɢamla~sˤɑwɑːbɑ	qamla
man (adult male)	rɑʤul	raʤul~raːʤil	intsán	riɡɡiːl~riɡɡaːl	rɑːɡɛl	rajjɑːl	araɡaːʒ~rɑːʒəl	rɛʤʤɑːl	rɛʒʒaːl~zɑlɑmɛ	raġel	rˤaːʒəl	ɣiʤiːl	raʤʤaːl	raɡʲɡʲaːl	zɔːl~rɑːɡʲil	raːʒil
man(human being)	ʔinsaːn~nafɑr~ʃɑxsˤ~baʃɑr~nafs~ʔibn ʔaːdam	naːdum	intsán	aːdami~huːdaːr	baniʔaːdam~ʔɛnsaːn~nɑfɑr~ʃɑxsˤ	ʔɑːdmi~nafs~ʔɛnsɑːn~ʔɛbɛn ʔɑːdam	araɡaːʒ~mnaːdǝm	ʔɑːdmi~baʃɑr~ʔɛnsɑːn~banjɑːdam	ʃaxsˤ~bɑʃɑr~ʔɛnsaːn~bənɛːdɑm	bniedem~uman	nsan~bnadɛm~rqaba~bɑʃɑr	ʔaːdmi~ənsaːn~bɑʃɑr	ʃaxɛs~ʔaːdmi~baʃar~ʔɛnsaːn	baʃar~ʔaːdami~ʔinsaːn	zɔːl~nɑfɑr~ʔinsɑːn	ʕabəd~ʃɑxsˤ~insaːn
many	kaθiːr	katiːr	xtiːr	waːɡid~kiθiːr~hazbiːt	kɛtiːr	wɑːjɛd	jaːsər	hwɑːja	ktiːr	ħɐfnɐ	bəzzaf	ksiːɣ	waːʤid~kəθiːr	χɑjrɑːt~zijaːdih	katiːr	barʃa
meat (as in flesh)	laħm	lɛham	láxm	laħam	laħma	laħam	lħʌm	laʜam	lɑħm	laħam	lħam	laħim	laħam	ʃɛrkih~laħm	laħm	lħam
moon	qɑmɑr	ɡamar~ʃahar	kamar	qmaːr	ʔɑmɑr	ɡumɑr	qʌmʌrˤ~ɡamrˤa	ɡumɑr	ʔɑmɑr	ʔɐmɐr	qəmr	qʌmʌɣ	ɡumɑr ~ ɡɛmar	ɢamɑr	ɢɑmɑr	ɡamra
mother	ʔumm	ʔum	umm	umm	mɑmt-~ɔmm	ʔumˤmˤ	umˤmˤ~waːlda	mˤmˤ~ʔumˤmˤ	ʔɛmm	ɔmː	mˤmˤʷ-~umm	ʔimm	umm	ʔumm	umm	um
mountain	ʤabal	haʤar	ʒipɛl	ʕaqaba~ɡabiːl	ɡabal	jɛbal	kǝdja	ʤɛbal	ʒabal	muntanja~għolja	ʒbal	ʤabal	ʤɛbal~ðˤilaːʕ	ɡʲabal~sˤabir	ɡʲabal	ʒbal
mouth	famm	xaʃɛm	xank	θɔːm	bɔʔʔ~ħanak	buːz~θamm~ħalʤ	ṿumm	ʜalɛɡ	tɛmm	ħɐlʔ~fomm	fumm	θimm	θɛmm~ħalɡ~famm	luɢf~fumm	χaʃm	ʒalɣa~fum
name	ʔism	ʔusm	ism	ism	ɛsm	asɛm	ism	ɛsm	ʔɛsɛm	ɪsɛm	səm~smijjɑ	isim	ɛsm	ʔism	ism~sammu	ism
narrow	dˤɑjjiq	dajjiɡ		ðˤijjaq	dajjɛʔ~mɛdajjaʔ	sˤɛxiːf~ðˤɑjjiɡ	ðˤɛjjiɡ	ɡɛsˤiːf~ðˤɑjjiɡ	dajjiʔ	dejjaq	dˤijjəq	ðˤɑjjiq	ðˤəjjid͡z ~ ðˤəjjiɡ~sˤəxiːf	ðˤɑjjiɢ~ħawiːsˤ	dɑjjiɢ	ðˤijjiq
