Gloss	Arabic (MSA)	Chadian (Western Sudanic)	Cypriot (Kormakitis)	Dhofari (Oman)	Egyptian (Lower Egyptian)	Gulf (Emirati)	Hassaniya (Mauritanian)	Iraqi (Southern Iraq/Baghdad)	Levantine (Central/Syro-Lebanese)	Maltese	Moroccan (Casablanca)	Moslawi (Northern Iraq)	Najdi (Riyadh)	Sanaani (Sana'a)	Sudanese (Khartoum)	Tunisian (Tunis)
I	ʔanaː	ana	ana	aːnaː	ana~dana	ɑːna	aːna	ʔɑːniː	ʔɑnɑ~ʔana	jɪːn	anɑ~anajɑ	anɑː	ana	ʔanɛ	ana	ɛːnɛ~aːna
all	kull~kaːmil~ʤamiːʕ	kulla	kull	kull	kɔll	kɛll	kaːməl~kaːmliːn	kull	kɛll	kull	kul~ɡɛʕ	kill~kaːməl	kɛll~ʤəmiːʕ	kull~ɡʲaːmiʕ	kull	kul
and	wa	wa	u	wa	wɔ~w-	w-~wɑ	u~w	wɛ~w-	u	u	u-	u~w-	w-~wɑ	wa~w-	wa~u	uː
animal	ħajwaːn~daːbba~bahiːma	hajawaːn	xɛván	naʃara~ħɛːwaːn	ħajawaːn	ħajawɑːn~sɑːnja	ħʌjwaːn~baxnuːs	ʜajwɑːn	ħɑjwaːn~daːbbi	annimal~bhima	ħəjwan	ħʌjwaːn	ħajawaːn	ħajawaːn~daːbbih	bahiːma~ħajawɑːn~waħʃ	ħajawaːn
ash	rɑmaːd	rumaːd	rmat	riːd	rɑmɑːd	rmɑːd	rmɑːd	rmˤɑːd	rimɛːd	rmɪːd̥	rmɑdˤ	ɣɑmɑːd	rɛmɑːd	rɑmaːd	rˤɑmɑːdˤ	rmaːd
at	bi~ʕind~ʔilaː	fiː~fɔːɡ	ʕint	ʕind	ʕ̞and	ʕɛnd	ʕand	ʢɛd~ɛb-	ʕind~ɛb~bi	għand~fi~sa	ʕənd	ʕidd	ʕənd	ʕind~fiː	ʕind	ʕand
back	ðˤahar~qufaː	dahr	ðɑxr	ðˤɑhɑr	dɑhr	ðˤɑhɛr	ðˤhər~ɡfa~lluːrɑ	ðˤɑhɑr~ɡuf̣ɑ	dɑhr~ʔɑfɑ	dahar	dˤhər~llur	ðˤɑhɛɣ	ðˤɑhɑr	ɢafaː~ðˤɑhr	dˤɑhr	ðˤhɑr
bad	sajjiʔ~radiːʔ	hawaːn~maː sɛːmɛ	vɛʃɛx	xɑːjis~bɑːtˤil	waħɛʃ	ʃɛːn	maːhu zajn~ʃajn~raːx~mmʌhli~ffɑntˤi	mu zíɛn~ʧuruk	ʕɑːtˤɛl	ħażin	xajb~qbiħ	mɒː mliːħ~ʧirik~mɒː xɔːʃ	ʃɛːn~rədijj	ʃuːʕ~bɑtˤtˤɑːl	bɑtˤtˤɑːl~waħiʃ	xaːjib~duːni
bark(of tree)	liħaːʔ~qilf	ɡirf		qiʃara	ɡɛdʕ̞	ħɛtˤɑb~jɛdɛʕ	ɡuʃra	ɡɛʃɛr	ʔɛʃri	qoxra	qəʃrˤa	qiʃiɣ	ʤɛdɛʕ~ħatˤɑb	ɢiʃrih	ɢiʃrɑ~ɢirf	qiʃra
because	liʔanna~kajj~min aʤali~ʕala ʃaʔn~bisababi	fiːʃaːn	ta~ðjɔtiː	ʕaʃaːn	ʕ̞aʃaːn	lɛnn~aʕʃɑːn~laʤɛl	biːh	ʢalamɔːd~ʧíɛf	laʔinnɔ~ʕaʃɛːn~kɛrmɛːl	għax	ħit~ʕla ħqqaʃ~ʕla qbal	ʌmbuːr~bəʤɣaːn	lɛnn~ʕaʃaːn~laʤɛl~bəlaː-	ʕasibb~min majd	ʔaʕʃɑːn	ʕlaː xaːtˤɛr
belly	bɑtˤɑn~miʕda	bɛtɛn	pɑtn	bɑtˤɑn~qɑrʃ	bɑtˤn~mɛʕ̞da	karʃ~bɑtˤɛn	kirʃ~ʒŏwf	bɑtˤɛnˤ	bɑtˤn~mɛʕdɛ	zɐʔ	mɛʕda~btˤɛn~kərʃ	bɑtˤin~kiriʃ	bɑtˤn	bɑtˤn~karʃ	bɑtˤn~karʃ	kirʃ
big	kabiːr	kabiːr	kpiːr	kibiːr	kɛbiːr	ʧbiːr~ʕɔːd~kbiːr	əkbiːr	ʧɛbíɛrˤ	kbiːr	k̬bɪːr	kbir	kbiːɣ	ʦəbiːr ~ kəbiːr	kabiːr	kabiːr	kbiːr
bird	tˤɑːʔir~ʕasˤfuːrɑ	tɑjrɑːj		ðʕaːr	ʕ̞ɑsfuːrɑ~tˤɛːr	tˤɛːr	tˤʌjr	tˤɛːrˤ~ʢasˤfuːr	tˤɑjr~ʔɑsˤfuːr	ɐsfʊːr	bərˤtˤɑl	tˤɑjɣ	ʕasˤfuːr~tˤɛːrˤ	tˤɑːjir	tˤɛːr~ʕasfuːr~zarzuːr	ˁasˤfuːr
black	ʔaswad	ʔazraɡ	ísvɛt	swaːd	ɛswɛd	aswad~abraɡ	ʌkħal	ʔaswad~hɛndɛs	ʔɑswɑd	ɪswɛd̥	kħɘl	ʌswad	aswad	ʔaswad	azraɢ~aswɑd	akħil
blood	damm	damm	timm	damm	damm	damm	dʌmm	damm	damm	dɛmː	dam	dʌmm	damm	dam	damm	dam
bone	ʕɑðˤm	ʔadɛm		ʕɑðˤim	ʕ̞ɑdˤm	ʕɑðˤmˤ	ʕðˤʌm	ʢɑðˤumˤ~ʧaʢab	ʕɑdˤmi	ɐːdmɐ	ʕdˤɛm	ʕʌðˤim	ʕɛðəm	ʕuðˤmih	ʕɑdˤm	ʕðˤam
breast	θadij~nahad~sˤidr	dɛːd	ʔɑpp~pizz~suðr	θawiːd~diːdaʕ	bɛzz~nɛhd~sɛdr	dɛːd~sˤɑdɛr	bʌzzuːla	dɛːs~θɛdɑ	sˤɛdr~bɛzz	sɪdɛr~żejża	bəzzulɑ	sˤɑdɛɣ	nəhad~sˤɑdur	ðˤɑrrih~sˤɑdr~bizz	sˤɑdr~nahad~ʃɑtˤur	bazzuːla
child (a youth)	tˤifl~walad	wlɛːd	mɔrós~vilt	ɡaːhal	ʕ̞ajjɛl~tˤɛfl	jɑːhɛl~bazɛr~ʕajjɛl	iːʃʃiːr~tˤfɛjl	ʤɑːhɛl	wɑlɑd~tˤɛfɛl	tifel	darri	ʕiʤiː~wɑlɑd	walad~bazɛr~ʕajjɛl	ɡʲaːhil	ʃaːfiʕ~ɡʲanna~tˤɛfl	tˤful~fazɣuːl
cloud	saħaːba~ɣamaːma~ɣɑjm	sahaːbaːj	ʕajára	ɣɛːm~natal	saħaːba~ɣɛːma	saħaːb~ɣɛːm	məzna~nɔww	ɣìɛma	ɣɛjmɛ ~ ɣɛːma	sħɐːbɐ	sħaba~ɣmama	ɣiːm	saħaːbah~ɣɛːm	saħaːb~ɣamaːm	ɣɛːm~ɣamaːm	sħaːb
