Gloss	Chadian Arabic	Cypriot Arabic	Dhofari Arabic	Egyptian Arabic	Gulf Arabic	Hassaniya Arabic	Iraqi Arabic	Levantine Arabic	Maltese	Modern Standard Arabic	Moroccan Arabic	Najdi Arabic	North Mesopotamian Arabic	Sanaani Arabic	Sudanese Arabic	Tunisian Arabic
ALL_1	kulla	kull	kull	kɔll	kɛll	kaːməl~kaːmliːn	kull	kɛll	kʊll	kull~kaːmil	kul	kɛll	kill~kaːməl	kull	kull	kul
ALL_2										ʤamiːʕ	ɡɛʕ	ʤəmiːʕ		ɡʲaːmiʕ		
AND_1	wa		wa	wɔ~w	w~wɑ	w	wɛ~w			wa		w~wɑ	w	wa~w	wa	
AND_2		u				u		u	ʊ		u		u		u	uː
ANIMAL_1	hajawaːn	xɛvan	ħɛːwaːn	ħajawaːn	ħajawɑːn	ħʌjwaːn	ʜajwɑːn	ħɑjwaːn		ħajwaːn	ħəjwan	ħajawaːn	ħʌjwaːn	ħajawaːn	ħajawɑːn	ħajawaːn
ANIMAL_2								daːbbi		daːbba				daːbbih		
ANIMAL_3									biːmɐ	bahiːma					bahiːma	
ANIMAL_4					sɑːnja											
ANIMAL_5			naʃara													
ANIMAL_6															waħʃ	
ANIMAL_7						baxnuːs										
ANIMAL_8									ɐnnɪmɐːl							
ASH_1	rumaːd	rmat	riːd	rɑmɑːd	rmɑːd	rmɑːd	rmˤɑːd	rimɛːd	rmɪːt	rɑmaːd	rmɑdˤ	rɛmɑːd	ɣɑmɑːd	rɑmaːd	rˤɑmɑːdˤ	rmaːd
AT_1								bi		bi						
AT_2		ʕint	ʕind	ʕ̞and	ʕɛnd	ʕand	ʢɛd	ʕind	ɐːnt	ʕind	ʕənd	ʕənd	ʕidd	ʕind	ʕind	ʕand
AT_3										ʔilaː						
AT_4							ɛb	ɛb								
AT_5	fiː													fiː		
AT_6	fɔːɡ															
AT_7									sɐ							
BACK_1	dahr	ðɑxr	ðˤɑhɑr	dɑhr	ðˤɑhɛr	ðˤhər	ðˤɑhɑr	dɑhr	dɐːr	ðˤahar	dˤhər	ðˤɑhɑr	ðˤɑhɛɣ	ðˤɑhr	dˤɑhr	ðˤhɑr
BACK_2						ɡfa	ɡufˤɑ	ʔɑfɑ		qufaː				ɢafaː		
BACK_3						lluːrɑ					llur					
BAD_1			xɑːjis							sajjiʔ						
BAD_2										radiːʔ		rədijj				
BAD_3					ʃɛːn	maːhuzajn~ʃajn	muzɪe̯n		ħɐziːn			ʃɛːn				
BAD_4			bɑːtˤil					ʕɑːtˤɛl						bɑtˤtˤɑːl	bɑtˤtˤɑːl	
BAD_5							ʧuruk						ʧirik			
BAD_6						mmʌhli							mɒːmliːħ			
BAD_7	maːsɛːmɛ												mɒːxɔːʃ			
BAD_8														ʃuːʕ		
BAD_9		vɛʃɛx		waħɛʃ											waħiʃ	
BAD_10	hawaːn															
BAD_11											xajb					xaːjib
BAD_12																duːni
BAD_13											qbiħ					
BAD_14						raːx										
BAD_15						ffɑntˤi										
BARK_1										liħaːʔ						
BARK_2	ɡirf									qilf					ɢirf	
BARK_3				ɡɛdʕ̞	jɛdɛʕ							ʤɛdɛʕ				
BARK_4					ħɛtˤɑb							ħatˤɑb				
BARK_5			qiʃara			ɡuʃra	ɡɛʃɛr	ʔɛʃri	ʔɔʃrɐ		qəʃrˤa		qiʃiɣ	ɢiʃrih	ɢiʃrɑ	qiʃra
BE ALIVE_1	ʔaːʃ	ʕaʃ	ʕaːʃ	ʕ̞aːʃ	ʕaːʃ	ʕaːʃ	ʢɑːʃ	ʕaːʃ	ɛːʃ	ʕaːʃa	ʕaʃ	ʕaːʃ	ʕɑːʃ	ʕaːʃ	ʕɑːʃ	ʕaːʃ
BE ALIVE_2						ħja				ħija	ħjɑ					
BE ALIVE_3										sakana				sakan		
BE ALIVE_4														ʕammir		
BE ALIVE_5			baːt													
BECAUSE_1					lɛnn			laʔinnɔ		liʔanna		lɛnn				
BECAUSE_2										kajj						
BECAUSE_3										minaʤali						
BECAUSE_4	fiːʃaːn		ʕaʃaːn	ʕ̞aʃaːn	aʕʃɑːn			ʕaʃɛːn		ʕalaʃaʔn		ʕaʃaːn			ʔaʕʃɑːn	
BECAUSE_5										bisababi						
BECAUSE_6					laʤɛl							laʤɛl				
BECAUSE_7												bəlaː				
BECAUSE_8								kɛrmɛːl								
BECAUSE_9							ʢalamɔːd									
BECAUSE_10							ʧɪe̯f									
BECAUSE_11													ʌmbuːr			
BECAUSE_12													bəʤɣaːn			
BECAUSE_13														ʕasibb		
BECAUSE_14														minmajd		
BECAUSE_15		ta														
BECAUSE_16		ðjɔtiː														
BECAUSE_17																ʕlaːxaːtˤɛr
BECAUSE_18											ħit					
BECAUSE_19											ʕlaħqqaʃ~ʕlaqbal					
BECAUSE_20						biːh										
BECAUSE_21									ɐːʃ							
BELLY_1	bɛtɛn	pɑtn	bɑtˤɑn	bɑtˤn	bɑtˤɛn		bɑtˤɛnˤ	bɑtˤn		bɑtˤɑn	btˤɛn	bɑtˤn	bɑtˤin	bɑtˤn	bɑtˤn	
BELLY_2				mɛʕ̞da				mɛʕdɛ		miʕda	mɛʕda					
BELLY_3			qɑrʃ		karʃ	kirʃ					kərʃ		kiriʃ	karʃ	karʃ	kirʃ
BELLY_4						ʒɔwf										
BELLY_5									zɐʔ							
BIG_1	kabiːr	kpiːr	kibiːr	kɛbiːr	ʧbiːr~kbiːr	əkbiːr	ʧɛbɪe̯rˤ	kbiːr	ɡbiːr	kabiːr	kbir	ʦəbiːr~kəbiːr	kbiːɣ	kabiːr	kabiːr	kbiːr
BIG_2					ʕɔːd											
BIRD_1				tˤɛːr	tˤɛːr	tˤʌjr	tˤɛːrˤ	tˤɑjr		tˤɑːʔir		tˤɛːrˤ	tˤɑjɣ	tˤɑːjir	tˤɛːr	
BIRD_2				ʕ̞ɑsfuːrɑ			ʢasˤfuːr	ʔɑsˤfuːr	ɐsfʊːr	ʕasˤfuːrɑ		ʕasˤfuːr			ʕasfuːr	ʕasˤfuːr
BIRD_3			ðʕaːr													
BIRD_4															zarzuːr	
BIRD_5	tɑjrɑːj															
BIRD_6											bərˤtˤɑl					
BITE_1	ʔadd	ʕɑðð	ʕɑðˤðˤ	ʕ̞ɑdd	ʕɑðˤðˤ	ʕʌðˤðˤ	ʢɑðˤðˤ	ʕɑdˤdˤ		ʕɑdˤdˤɑ	ʕədˤdˤ	ʕɑðˤðˤ	ʕʌðˤðˤ		ʕɑdˤdˤ	
