Language1,Phone1,Language2,Phone2,Surprisal,OOV_Smoothed
Chadian Arabic,u,Chadian Arabic,i,4.154577037108877,8.546894459887637
Chadian Arabic,u,Chadian Arabic,u,0.36201911697935263,8.546894459887637
Chadian Arabic,u,Chadian Arabic,b,5.087462841250339,8.546894459887637
Chadian Arabic,u,Chadian Arabic,-,4.154577037108877,8.546894459887637
Chadian Arabic,ʔ,Chadian Arabic,t,5.162620200819079,8.622051819456377
Chadian Arabic,ʔ,Chadian Arabic,h,5.162620200819079,8.622051819456377
Chadian Arabic,ʔ,Chadian Arabic,ʔ,0.25136441264915854,8.622051819456377
Chadian Arabic,ʔ,Chadian Arabic,-,5.162620200819079,8.622051819456377
Chadian Arabic,ʃ,Chadian Arabic,ʃ,0.2979980780886243,8.149747119504683
Chadian Arabic,ʃ,Chadian Arabic,ɡ,4.690315500867385,8.149747119504683
Chadian Arabic,ʃ,Chadian Arabic,-,4.690315500867385,8.149747119504683
Chadian Arabic,ɑː,Chadian Arabic,ɑː,1.034765418160677,6.39231742277876
Chadian Arabic,ɑː,Chadian Arabic,-,2.9328858041414634,6.39231742277876
Chadian Arabic,t,Chadian Arabic,a,4.284208428938204,9.238404739325079
Chadian Arabic,t,Chadian Arabic,t,0.24122525838745748,9.238404739325079
Chadian Arabic,t,Chadian Arabic,m,5.778973120687782,9.238404739325079
Chadian Arabic,t,Chadian Arabic,-,4.846087316546319,9.238404739325079
Chadian Arabic,ɡ,Chadian Arabic,ʃ,5.234055338862028,8.693486957499326
Chadian Arabic,ɡ,Chadian Arabic,s,5.234055338862028,8.693486957499326
Chadian Arabic,ɡ,Chadian Arabic,ɡ,0.19763193061215412,8.693486957499326
Chadian Arabic,z,Chadian Arabic,z,0.493040011280117,6.832890014164742
Chadian Arabic,ɛː,Chadian Arabic,ɛː,0.28515721673193384,7.523561956057013
Chadian Arabic,ɔ,Chadian Arabic,u,2.2954558835261714,5.754887502163469
Chadian Arabic,ɔ,Chadian Arabic,ɔ,2.2954558835261714,5.754887502163469
Chadian Arabic,iː,Chadian Arabic,iː,0.30155525112018045,8.383704292474052
Chadian Arabic,iː,Chadian Arabic,aː,3.429507982087177,8.383704292474052
Chadian Arabic,d,Chadian Arabic,d,0.1750295350254247,9.668884984266247
