Language1,Phone1,Language2,Phone2,PMI
Modern Standard Arabic,d,Najdi Arabic,w,0.2104146602781676
Modern Standard Arabic,d,Najdi Arabic,h,0.08258128876828286
Modern Standard Arabic,d,Najdi Arabic,sˤ,0.5934069125342736
Modern Standard Arabic,d,Najdi Arabic,ʕ,-0.1950504478299964
Modern Standard Arabic,d,Najdi Arabic,d,3.276764501046112
Modern Standard Arabic,d,Najdi Arabic,ʤ,0.08258128876828286
Modern Standard Arabic,d,Najdi Arabic,ħ,-0.25389094785293
Modern Standard Arabic,ʔ,Najdi Arabic,s,0.26629511867262384
Modern Standard Arabic,ʔ,Najdi Arabic,j,1.1912439132898935
Modern Standard Arabic,ʔ,Najdi Arabic,w,0.5425484953007824
Modern Standard Arabic,ʔ,Najdi Arabic,sˤ,0.9255407475568881
Modern Standard Arabic,ʔ,Najdi Arabic,θ,3.0458042837569788
Modern Standard Arabic,ʔ,Najdi Arabic,m,1.038336241702232
Modern Standard Arabic,ʔ,Najdi Arabic,ʔ,4.085576072402155
Modern Standard Arabic,ʔ,Najdi Arabic,b,0.654665793421488
Modern Standard Arabic,ʔ,Najdi Arabic,n,0.5733201539675358
Modern Standard Arabic,ʔ,Najdi Arabic,ħ,0.07824288716968412
Modern Standard Arabic,iː,Najdi Arabic,ɛː,1.243994478675422
Modern Standard Arabic,iː,Najdi Arabic,e̯,2.054924694891751
Modern Standard Arabic,iː,Najdi Arabic,aː,-0.16969885663258297
Modern Standard Arabic,iː,Najdi Arabic,uː,1.6494595867835864
Modern Standard Arabic,iː,Najdi Arabic,ɑː,0.8021617263963828
Modern Standard Arabic,iː,Najdi Arabic,iː,3.543001750321584
Modern Standard Arabic,iː,Najdi Arabic,ɪ,2.054924694891751
Modern Standard Arabic,iː,Najdi Arabic,wˤ,3.4412190560116414
Modern Standard Arabic,iː,Najdi Arabic,w,0.3501766026533256
Modern Standard Arabic,iː,Najdi Arabic,j,0.30572484008249157
Modern Standard Arabic,q,Najdi Arabic,tˤ,0.5508472981154766
Modern Standard Arabic,q,Najdi Arabic,ɡ,3.4239772495771352
Modern Standard Arabic,q,Najdi Arabic,s,0.8724309222429387
Modern Standard Arabic,q,Najdi Arabic,ʣ,3.8342616441212485
Modern Standard Arabic,q,Najdi Arabic,f,1.1042325363002634
Modern Standard Arabic,q,Najdi Arabic,b,-0.5309578722362518
Modern Standard Arabic,q,Najdi Arabic,k,0.411085355740318
Modern Standard Arabic,q,Najdi Arabic,m,-0.6581130477214985
Modern Standard Arabic,q,Najdi Arabic,ʕ,0.05007201020298735
Modern Standard Arabic,ħ,Najdi Arabic,ɡ,0.13433235382072728
Modern Standard Arabic,ħ,Najdi Arabic,t,0.7533715622269507
Modern Standard Arabic,ħ,Najdi Arabic,ðˤ,1.0410536346787316
