ID	Language_ID	Glottocode	ISO 639-3	Parameter_ID	Value	Form	Segments	Source_Form	Cognate_ID	Loan	Comment	Source
ModernStandardArabic_I	Modern Standard Arabic	stan1318	arb	I	ʔanā	ʔanaː	ʔ a n aː	ʔanā	I_1			Wiktionary
NajdiArabic_I	Najdi Arabic	najd1235	ars	I	ana	ana	a n a	ana	I_1			Wiktionary
GulfArabic_I	Gulf Arabic	gulf1241	afb	I	ɑ̄na	ɑːna	ɑː n a	ɑ̄na	I_1			Wiktionary
LevantineArabic_I	Levantine Arabic	nort3139	apc	I	ʔɑnɑ	ʔɑnɑ	ʔ ɑ n ɑ	ʔɑnɑ	I_1			Wiktionary
LevantineArabic_I	Levantine Arabic	nort3139	apc	I	ʔana	ʔana	ʔ a n a	ʔana	I_1			Wiktionary
IraqiArabic_I	Iraqi Arabic	meso1252	acm	I	ʔɑ̄nī	ʔɑːniː	ʔ ɑː n iː	ʔɑ̄nī	I_1			Wiktionary
NorthMesopotamianArabic_I	North Mesopotamian Arabic	mosu1235	ayp	I	anɑ̄	anɑː	a n ɑː	anɑ̄	I_1			Wiktionary
SanaaniArabic_I	Sanaani Arabic	sana1295	ayn	I	ʔane	ʔanɛ	ʔ a n ɛ	ʔane	I_1			Wiktionary
DhofariArabic_I	Dhofari Arabic	dhof1235	adf	I	ānā	aːnaː	aː n aː	ānā	I_1			Wiktionary
CypriotArabic_I	Cypriot Arabic	cypr1248	acy	I	ana	ana	a n a	ana	I_1			Wiktionary
EgyptianArabic_I	Egyptian Arabic	egyp1253	arz	I	ana	ana	a n a	ana	I_1			Wiktionary
EgyptianArabic_I	Egyptian Arabic	egyp1253	arz	I	dana	dana	d a n a	dana	I_1			Wiktionary
SudaneseArabic_I	Sudanese Arabic	suda1236	apd	I	ana	ana	a n a	ana	I_1			Wiktionary
ChadianArabic_I	Chadian Arabic	chad1249	shu	I	ana	ana	a n a	ana	I_1			Wiktionary
TunisianArabic_I	Tunisian Arabic	tuni1259	aeb	I	ēne	ɛːnɛ	ɛː n ɛ	ēne	I_1			Wiktionary
TunisianArabic_I	Tunisian Arabic	tuni1259	aeb	I	āna	aːna	aː n a	āna	I_1			Wiktionary
MoroccanArabic_I	Moroccan Arabic	moro1292	ary	I	anɑ	anɑ	a n ɑ	anɑ	I_1			Wiktionary
MoroccanArabic_I	Moroccan Arabic	moro1292	ary	I	anayɑ	anajɑ	a n a j ɑ	anayɑ	I_1			Wiktionary
HassaniyaArabic_I	Hassaniya Arabic	hass1238	mey	I	āna	aːna	aː n a	āna	I_1			Wiktionary
Maltese_I	Maltese	malt1254	mlt	I	jien	jɪːn	j ɪː n	jɪːn	I_1			Wiktionary
ModernStandardArabic_THOU	Modern Standard Arabic	stan1318	arb	THOU	ʔanta	ʔanta	ʔ a n t a	ʔanta	THOU_1			Wiktionary
ModernStandardArabic_THOU	Modern Standard Arabic	stan1318	arb	THOU	ʔant	ʔant	ʔ a n t	ʔant	THOU_1			Wiktionary
NajdiArabic_THOU	Najdi Arabic	najd1235	ars	THOU	ənta	ənta	ə n t a	ənta	THOU_1			Wiktionary
NajdiArabic_THOU	Najdi Arabic	najd1235	ars	THOU	ənti	ənti	ə n t i	ənti	THOU_1			Wiktionary
GulfArabic_THOU	Gulf Arabic	gulf1241	afb	THOU	entɑ	ɛntɑ	ɛ n t ɑ	entɑ	THOU_1			Wiktionary
GulfArabic_THOU	Gulf Arabic	gulf1241	afb	THOU	enti	ɛnti	ɛ n t i	enti	THOU_1			Wiktionary
LevantineArabic_THOU	Levantine Arabic	nort3139	apc	THOU	entɑ	ɛntɑ	ɛ n t ɑ	entɑ	THOU_1			Wiktionary
LevantineArabic_THOU	Levantine Arabic	nort3139	apc	THOU	ente	ɛntɛ	ɛ n t ɛ	ente	THOU_1			Wiktionary
IraqiArabic_THOU	Iraqi Arabic	meso1252	acm	THOU	ente	ɛntɛ	ɛ n t ɛ	ente	THOU_1			Wiktionary
IraqiArabic_THOU	Iraqi Arabic	meso1252	acm	THOU	enti	ɛnti	ɛ n t i	enti	THOU_1			Wiktionary
NorthMesopotamianArabic_THOU	North Mesopotamian Arabic	mosu1235	ayp	THOU	ăntɑ	ʌntɑ	ʌ n t ɑ	ăntɑ	THOU_1			Wiktionary
NorthMesopotamianArabic_THOU	North Mesopotamian Arabic	mosu1235	ayp	THOU	ăntē	ʌntɛː	ʌ n t ɛː	ăntē	THOU_1			Wiktionary
SanaaniArabic_THOU	Sanaani Arabic	sana1295	ayn	THOU	ant	ant	a n t	ant	THOU_1			Wiktionary
SanaaniArabic_THOU	Sanaani Arabic	sana1295	ayn	THOU	anti	anti	a n t i	anti	THOU_1			Wiktionary
DhofariArabic_THOU	Dhofari Arabic	dhof1235	adf	THOU	intɑ	intɑ	i n t ɑ	intɑ	THOU_1			Wiktionary
DhofariArabic_THOU	Dhofari Arabic	dhof1235	adf	THOU	inti	inti	i n t i	inti	THOU_1			Wiktionary
CypriotArabic_THOU	Cypriot Arabic	cypr1248	acy	THOU	int	int	i n t	int	THOU_1			Wiktionary
CypriotArabic_THOU	Cypriot Arabic	cypr1248	acy	THOU	inti	inti	i n t i	inti	THOU_1			Wiktionary
EgyptianArabic_THOU	Egyptian Arabic	egyp1253	arz	THOU	enta	ɛnta	ɛ n t a	enta	THOU_1			Wiktionary
EgyptianArabic_THOU	Egyptian Arabic	egyp1253	arz	THOU	enti	ɛnti	ɛ n t i	enti	THOU_1			Wiktionary
SudaneseArabic_THOU	Sudanese Arabic	suda1236	apd	THOU	intɑ	intɑ	i n t ɑ	intɑ	THOU_1			Wiktionary
SudaneseArabic_THOU	Sudanese Arabic	suda1236	apd	THOU	inti	inti	i n t i	inti	THOU_1			Wiktionary
ChadianArabic_THOU	Chadian Arabic	chad1249	shu	THOU	inta	inta	i n t a	inta	THOU_1			Wiktionary
ChadianArabic_THOU	Chadian Arabic	chad1249	shu	THOU	inte	intɛ	i n t ɛ	inte	THOU_1			Wiktionary
ChadianArabic_THOU	Chadian Arabic	chad1249	shu	THOU	inti	inti	i n t i	inti	THOU_1			Wiktionary
TunisianArabic_THOU	Tunisian Arabic	tuni1259	aeb	THOU	inti	inti	i n t i	inti	THOU_1			Wiktionary
MoroccanArabic_THOU	Moroccan Arabic	moro1292	ary	THOU	ntɑ	ntɑ	n t ɑ	ntɑ	THOU_1			Wiktionary
MoroccanArabic_THOU	Moroccan Arabic	moro1292	ary	THOU	ntayɑ	ntajɑ	n t a j ɑ	ntayɑ	THOU_1			Wiktionary
MoroccanArabic_THOU	Moroccan Arabic	moro1292	ary	THOU	nti	nti	n t i	nti	THOU_1			Wiktionary
MoroccanArabic_THOU	Moroccan Arabic	moro1292	ary	THOU	ntiyɑ	ntijɑ	n t i j ɑ	ntiyɑ	THOU_1			Wiktionary
HassaniyaArabic_THOU	Hassaniya Arabic	hass1238	mey	THOU	nta	nta	n t a	nta	THOU_1			Wiktionary
HassaniyaArabic_THOU	Hassaniya Arabic	hass1238	mey	THOU	ntiyya	ntijja	n t i j j a	ntiyya	THOU_1			Wiktionary
Maltese_THOU	Maltese	malt1254	mlt	THOU	int	ɪnt	ɪ n t	ɪnt	THOU_1			Wiktionary
Maltese_THOU	Maltese	malt1254	mlt	THOU	inti	ɪntɪ	ɪ n t ɪ	ɪntɪ	THOU_1			Wiktionary
ModernStandardArabic_HE	Modern Standard Arabic	stan1318	arb	HE	huwa	huwa	h u w a	huwa	HE_1			Wiktionary
NajdiArabic_HE	Najdi Arabic	najd1235	ars	HE	huww	huww	h u w w	huww	HE_1			Wiktionary
GulfArabic_HE	Gulf Arabic	gulf1241	afb	HE	hu	hu	h u	hu	HE_1			Wiktionary
LevantineArabic_HE	Levantine Arabic	nort3139	apc	HE	huwwe	huwwɛ	h u w w ɛ	huwwe	HE_1			Wiktionary
IraqiArabic_HE	Iraqi Arabic	meso1252	acm	HE	huwwɑ	huwwɑ	h u w w ɑ	huwwɑ	HE_1			Wiktionary
NorthMesopotamianArabic_HE	North Mesopotamian Arabic	mosu1235	ayp	HE	ōwe	ɔːwɛ	ɔː w ɛ	ōwe	HE_1			Wiktionary
NorthMesopotamianArabic_HE	North Mesopotamian Arabic	mosu1235	ayp	HE	-we	wɛ	w ɛ	-we	HE_1			Wiktionary
SanaaniArabic_HE	Sanaani Arabic	sana1295	ayn	HE	hū	huː	h uː	hū	HE_1			Wiktionary
DhofariArabic_HE	Dhofari Arabic	dhof1235	adf	HE	hō	hɔː	h ɔː	hō	HE_1			Wiktionary
CypriotArabic_HE	Cypriot Arabic	cypr1248	acy	HE	uo	uɔ	u ɔ	uo	HE_1			Wiktionary
EgyptianArabic_HE	Egyptian Arabic	egyp1253	arz	HE	howwɑ	hɔwwɑ	h ɔ w w ɑ	howwɑ	HE_1			Wiktionary
SudaneseArabic_HE	Sudanese Arabic	suda1236	apd	HE	hū	huː	h uː	hū	HE_1			Wiktionary
ChadianArabic_HE	Chadian Arabic	chad1249	shu	HE	hū	huː	h uː	hū	HE_1			Wiktionary
TunisianArabic_HE	Tunisian Arabic	tuni1259	aeb	HE	huwwā	huwwaː	h u w w aː	huwwā	HE_1			Wiktionary
MoroccanArabic_HE	Moroccan Arabic	moro1292	ary	HE	həwɑ́	həwɑ	h ə w ɑ	həwɑ́	HE_1			Wiktionary
HassaniyaArabic_HE	Hassaniya Arabic	hass1238	mey	HE	huwwɑ	huwwɑ	h u w w ɑ	huwwɑ	HE_1			Wiktionary
HassaniyaArabic_HE	Hassaniya Arabic	hass1238	mey	HE	hūwɑ	huːwɑ	h uː w ɑ	hūwɑ	HE_1			Wiktionary
Maltese_HE	Maltese	malt1254	mlt	HE	huwa	ʊːwɐ	ʊː w ɐ	ˈuː.wa	HE_1			Wiktionary
ModernStandardArabic_WE	Modern Standard Arabic	stan1318	arb	WE	naħnu	naħnu	n a ħ n u	naħnu	WE_1			Wiktionary
ModernStandardArabic_WE	Modern Standard Arabic	stan1318	arb	WE	ʔinnā	ʔinnaː	ʔ i n n aː	ʔinnā	WE_2			Wiktionary
NajdiArabic_WE	Najdi Arabic	najd1235	ars	WE	əħna	əħna	ə ħ n a	əħna	WE_1			Wiktionary
NajdiArabic_WE	Najdi Arabic	najd1235	ars	WE	ənnā	ənnaː	ə n n aː	ənnā	WE_2			Wiktionary
GulfArabic_WE	Gulf Arabic	gulf1241	afb	WE	neħen	nɛħɛn	n ɛ ħ ɛ n	neħen	WE_1			Wiktionary
LevantineArabic_WE	Levantine Arabic	nort3139	apc	WE	nɑħnɑ̄	nɑħnɑː	n ɑ ħ n ɑː	nɑħnɑ̄	WE_1			Wiktionary
IraqiArabic_WE	Iraqi Arabic	meso1252	acm	WE	eħne	ɛʜnɛ	ɛ ʜ n ɛ	eħne	WE_1			Wiktionary
NorthMesopotamianArabic_WE	North Mesopotamian Arabic	mosu1235	ayp	WE	niħnɑ̄	niħnɑː	n i ħ n ɑː	niħnɑ̄	WE_1			Wiktionary
SanaaniArabic_WE	Sanaani Arabic	sana1295	ayn	WE	əħnə	əħnə	ə ħ n ə	əħnə	WE_1			Wiktionary
DhofariArabic_WE	Dhofari Arabic	dhof1235	adf	WE	naħana	naħana	n a ħ a n a	naħana	WE_1			Wiktionary
CypriotArabic_WE	Cypriot Arabic	cypr1248	acy	WE	naxni	naxni	n a x n i	naxni	WE_1			Wiktionary
EgyptianArabic_WE	Egyptian Arabic	egyp1253	arz	WE	eħna	ɛħna	ɛ ħ n a	eħna	WE_1			Wiktionary
SudaneseArabic_WE	Sudanese Arabic	suda1236	apd	WE	eħna	ɛħna	ɛ ħ n a	eħna	WE_1			Wiktionary
ChadianArabic_WE	Chadian Arabic	chad1249	shu	WE	ʔanīna	ʔaniːna	ʔ a n iː n a	ʔanīna	WE_2			Wiktionary
TunisianArabic_WE	Tunisian Arabic	tuni1259	aeb	WE	ħənā	ħənaː	ħ ə n aː	ħənā	WE_1			Wiktionary
MoroccanArabic_WE	Moroccan Arabic	moro1292	ary	WE	ħnɑ	ħnɑ	ħ n ɑ	ħnɑ	WE_1			Wiktionary
MoroccanArabic_WE	Moroccan Arabic	moro1292	ary	WE	ħnayɑ	ħnajɑ	ħ n a j ɑ	ħnayɑ	WE_1			Wiktionary
HassaniyaArabic_WE	Hassaniya Arabic	hass1238	mey	WE	ăħna	ʌħna	ʌ ħ n a	ăħna	WE_1			Wiktionary
HassaniyaArabic_WE	Hassaniya Arabic	hass1238	mey	WE	ăħnāti	ʌħnaːti	ʌ ħ n aː t i	ăħnāti	WE_1			Wiktionary
Maltese_WE	Maltese	malt1254	mlt	WE	aħna	ɐħnɐ	ɐ ħ n ɐ	ˈaħ.na	WE_1			Wiktionary
ModernStandardArabic_YOU	Modern Standard Arabic	stan1318	arb	YOU	ʔantum	ʔantum	ʔ a n t u m	ʔantum	YOU_1			Wiktionary
ModernStandardArabic_YOU	Modern Standard Arabic	stan1318	arb	YOU	ʔantunna	ʔantunna	ʔ a n t u n n a	ʔantunna	YOU_1			Wiktionary
NajdiArabic_YOU	Najdi Arabic	najd1235	ars	YOU	əntum	əntum	ə n t u m	əntum	YOU_1			Wiktionary
NajdiArabic_YOU	Najdi Arabic	najd1235	ars	YOU	ənten	əntɛn	ə n t ɛ n	ənten	YOU_1			Wiktionary
GulfArabic_YOU	Gulf Arabic	gulf1241	afb	YOU	entu	ɛntu	ɛ n t u	entu	YOU_1			Wiktionary
GulfArabic_YOU	Gulf Arabic	gulf1241	afb	YOU	enten	ɛntɛn	ɛ n t ɛ n	enten	YOU_1			Wiktionary
LevantineArabic_YOU	Levantine Arabic	nort3139	apc	YOU	ʔento	ʔɛntɔ	ʔ ɛ n t ɔ	ʔento	YOU_1			Wiktionary
IraqiArabic_YOU	Iraqi Arabic	meso1252	acm	YOU	entu	ɛntu	ɛ n t u	entu	YOU_1			Wiktionary
IraqiArabic_YOU	Iraqi Arabic	meso1252	acm	YOU	enten	ɛntɛn	ɛ n t ɛ n	enten	YOU_1			Wiktionary
NorthMesopotamianArabic_YOU	North Mesopotamian Arabic	mosu1235	ayp	YOU	ăntim	ʌntim	ʌ n t i m	ăntim	YOU_1			Wiktionary
SanaaniArabic_YOU	Sanaani Arabic	sana1295	ayn	YOU	anto	antɔ	a n t ɔ	anto	YOU_1			Wiktionary
DhofariArabic_YOU	Dhofari Arabic	dhof1235	adf	YOU	intū	intuː	i n t uː	intū	YOU_1			Wiktionary
DhofariArabic_YOU	Dhofari Arabic	dhof1235	adf	YOU	intēn	intɛːn	i n t ɛː n	intēn	YOU_1			Wiktionary
CypriotArabic_YOU	Cypriot Arabic	cypr1248	acy	YOU	intu	intu	i n t u	intu	YOU_1			Wiktionary
