Gloss	Erzya	Estonian	Finnish	Hungarian	Inari Saami	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Pite Saami	Proto-Uralic	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Ume Saami	Veps	Votic	Võro
ALL_102-a		kɤik	kɑikːi																							kɤik	
ALL_102-b																											
ALL_102-c									puɡː																		
ALL_102-d														ʧə̠lɑ													
ALL_102-e	veɕe			øsːɛʃ											bənsə~bənsə												
ALL_102-f																											
ALL_102-g										bɯdɤs	bɯd~bɯd																
ALL_102-i													soːχ														
ALL_102-j								əjsɑ̆ɣɯt																			
ALL_102-k											stɑv~stɑv																
ALL_102-l																			muntə								
ALL_102-m																							vɑɲmɯz				
ALL_102-n																											
ALL_102-o																											
AND_103-a																											
AND_103-b						i																				i	
AND_103-c						tɑ																					
AND_103-d																											
AND_103-e														ðɑ													
AND_103-f														ðen													
AND_103-h													jɑ														
AND_103-i								pæni																			
AND_103-j																			ɑj								
AND_103-k								os																			
AND_103-l									a																		
AND_103-n									ja																		
AND_103-o		jɑ	jɑ			jɑ																				jɑ	
AND_103-p	dɑ																										
AND_103-q										i	i												i				
AND_103-r										dɑ	dɑ												dɑ				
AND_103-s													i														
AND_103-t	i																										
ANIMAL_104-a			e̞læin			eloɡ̊ɑz																				elokɤz	
ANIMAL_104-b									ʒɨva																		
ANIMAL_104-c		loːm																								loːm	
ANIMAL_104-d																											
ANIMAL_104-e	ʑverʲ																										
ANIMAL_104-f														jɑnlə̠k													
ANIMAL_104-g	rɑkʃɑ																										
ANIMAL_104-h				aːlːɒt																							
ANIMAL_104-i								wɑjəɣ					uːj														
ANIMAL_104-j																			suːrəm								
ANIMAL_104-k											pemɤs																
ANIMAL_104-l																							pɤjʃur				
ANIMAL_104-m										vɤrpi																	
ANIMAL_104-n																											
ANIMAL_104-o																											
ANIMAL_104-p																											
ANIMAL_104-q											zvʲer																
ANIMAL_104-r																											
ANIMAL_104-s															dʲɑməðə												
ANT_72-a			muːrɑɦɑinen			muːrɑhɑin																					
ANT_72-b		sipːelkɑs																								sipːelikɑs	
ANT_72-c	kotkudɑv								koːtːk		koʥuvkot~koʥuvkot			kutko													
ANT_72-d				hɒɲɟɒ						kɤʥɯv	koʥuv												kuʑiʎi				
ANT_72-e								koʧŋɯ					χoːswoj						qɯʧɑ								
ANT_72-f																											
ARMPIT_313-a		kɑenlɑʔɑlune	kɑinɑlo̞	hoːnɒj		kɑilɑ		kunəŋpətæ	kajnal	konuvt	kɯɲɑuv		χɑnl~χɑnl	koŋlɑjə̠mɑl					qɑːliɲ				kunul			kɑinɤnːɑluz	
ARMPIT_313-b																											
ARMPIT_313-c																											
ARMPIT_313-d	kɑvɑlɑlks																										
ARMPIT_313-f								kunəŋpətæ					χɑnlpɑtːɑ														
ARRIVE_248-a		sɑːputɑ	sɑːpuɑ																								
ARRIVE_248-b																										tulɤmɑ	
ARRIVE_248-c									juːvːte																		
ARRIVE_248-d																											
ARRIVE_248-e	pɑʧkodʲems																										
ARRIVE_248-f											volɯnɯ																
ARRIVE_248-g										loknɯ	loknɯ												lɯktɯnɯ				
ARRIVE_248-h				mɛɡeːrkɛzik																							
ARRIVE_248-i														ʃuɑm													
ARRIVE_248-j								jŏɣət					joχti														
ARRIVE_248-k																											
ARRIVE_248-l																											
ARRIVE_248-m															sohədʲɑ~sohədʲɑ												
ASH_85-a		tuhk	t̪uxkɑ																							tuhk	
ASH_85-b						poro																					
ASH_85-c									kunː																		
ASH_85-d				hɒmu				kɑjəm					χuːʎəm														
ASH_85-e														lomə̠ʒ													
ASH_85-f										pɤjim	pɤjim												peɲ				
ASH_85-g								pær																			
ASH_85-h																			ɕiːmə								
ASH_85-i	kulov																										
ASH_85-j															tuː dʲoəʔ~tuː dʲoəʔ												
AT_105-a			luo̞nɑ			loːn																					
AT_105-b																											
AT_105-c		juːres																								juːrɤz	
AT_105-d																											
AT_105-e	kedʲse																										
AT_105-f											dorɯn			ðene									dorɯn				
AT_105-g											ordɯn												urʦɯn				
AT_105-h	peʎe													pelen													
AT_105-j				mɛlːɛtː																							
AT_105-k													pɑːlt														
AT_105-l								pŏŋəl																			
AT_105-m														βoktene													
AT_105-n																			nɑːnə								
AT_105-o									alʲn																		
AT_105-p																											
AT_105-q																											
AT_105-r																											
AT_105-s										sɑjɯn																	
AT_105-t																										tyvenː	
AT_105-u																										æːrelː	
AT_105-w										dɯnɯn																	
AT_105-x																											
BACK_47-a		selk	se̞lkæ			selɡ̊æ																				selʧ	
BACK_47-b																											
BACK_47-c	koporʲ																										
