Gloss	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
3SG_1													tuðo										
3SG_2																tɤp							
3SG_3					se													tɨhtɛ					
3SG_4																			pɨdə				
3SG_5														sɯtɯ									
3SG_6		temɑ									tæmɑː											tæmæ	tˑimæ
3SG_7	son		hæn	øː	hæː	hiæn	jø̆ɣ	soːnː	sijɑ	sɯ		tɑw			sɔn		sonɐ			so	hæn		
ALL_1				mind																			
ALL_10		(kɤik)	(kɑikːi)		(kɑi)	(kɑikːi)															(kɑik)	(kɤik)	(kˑɤikʲˑ)
ALL_11									bɯdɤs	bɯd													
ALL_12																muntə							
ALL_13	veɕe			øsːɛʃ										bənsə									
ALL_14																				vɑɲmɯz			
ALL_15							əjsɑ̆ɣɯt																
ALL_2										(stɑv)													
ALL_3													ʧə̠lɑ										
ALL_4																			mɑlʔ				
ALL_5																		(kɑːjhkɛ)					
ALL_6												soːχ											
ALL_8								puɡː							pʊ̯ɔh		pukɐ						
AND_1		(jɑ)	(jɑ)		(jɑ)																	(jɑ)	(jɑ)
AND_10	(dɑ)																						
AND_11																	(diɐ)						
AND_13								(ja)							(jɑ)								
AND_14					(tɑ)	(tɑ)															(dɑ)		
AND_15								(a)															
AND_16													(ðɑ)										
AND_17					(i)																	(i)	
AND_18	(i)																						
AND_19																ɑj							
AND_2																		(jɨh)					
AND_20									(dɑ)	(dɑ)										(dɑ)			
AND_3							os																
AND_4							pæni																
AND_5									(i)	(i)										(i)			
AND_6													ðen										
AND_7				eːʃ																			
AND_8												(i)											
AND_9												jɑ											
ANIMAL_11								(ʒɨva)															
ANIMAL_12																		(jʉβrɛ)					
ANIMAL_13													(jɑnlə̠k)										
ANIMAL_14										(zvʲer)													
ANIMAL_15						(siːvɑtːɑ)															(ʒivɑt)		
ANIMAL_16							wɑjəɣ					uːj											
ANIMAL_18	(ʑverʲ)																						
ANIMAL_19									vɤrpi														
ANIMAL_2														dʲɑməðə									
ANIMAL_3																suːrəm			sɑrmʲik				
ANIMAL_4			e̞læin		eloɡ̊ɑz										e̯ælːi		ʝiɛlʲːi					elokɤz	elːæi
ANIMAL_5	rɑkʃɑ																						
ANIMAL_6										pemɤs													
ANIMAL_7				aːlːɒt																			
ANIMAL_8																				pɤjʃur			
ANIMAL_9		loːm									luːomɨz											loːm	
ANT_1			(muːrɑɦɑinen)		(muːrɑhɑin)	(muːrɑhɑini)															(mʊrɑhɑinɛ)		
ANT_2		sipːelkɑs									sipriki											sipːelikɑs	sˑipˑɤrlɑnɤ
ANT_3	kotkudɑv							koːtːk		koʥuvkot			kutko		kɔtkɑ		kotkːɐ	karhkɛ					kˑukˑlɑnɤ
ANT_4				hɒɲɟɒ					kɤʥɯv	koʥuv										kuʑiʎi			
ANT_5																							pˑinʦlɑnɤ
ANT_6							koʧŋɯ					χoːswoj				qɯʧɑ			xudumɡɑ				
ARMPIT_2	kɑvɑlɑlks																						
ARMPIT_3		kɑenlɑʔɑlune	kɑinɑlo̞	hoːnɒj	kɑilɑ		kunəŋpətæ	kajnal	konuvt	kɯɲɑuv		χɑnl	koŋlɑjə̠mɑl			qɑːliɲ				kunul		kɑinɤnːɑluz	kˑɑnkli
ARMPIT_5							kunəŋpətæ					χɑnlpɑtːɑ											
ARRIVE_1	pɑʧkodʲems																						
ARRIVE_10														sohədʲɑ									
ARRIVE_11							jŏɣət					joχti											
ARRIVE_2									loknɯ	loknɯ										lɯktɯnɯ			
ARRIVE_3																						tulɤmɑ	
ARRIVE_4				(mɛɡeːrkɛzik)																			
ARRIVE_5		sɑːputɑ	sɑːpuɑ																				
ARRIVE_7													ʃuɑm										
ARRIVE_8								(juːvːte)															
ARRIVE_9										volɯnɯ													
ASH_1				(hɒmu)			kɑjəm					χuːʎəm											
ASH_10								(kunː)							(kʊtnɑ)		(kunːɐ)	(kuβnɛ)					
ASH_2							pær																
ASH_3					poro																		
ASH_4																ɕiːmə			tunzʲibʲɑ				
ASH_5									pɤjim	pɤjim										peɲ			
ASH_6		(tuhk)	(t̪uxkɑ)			(tʊxkɑ)					(tuːˀɡɨd)										(tʊxk)	(tuhk)	(tˑuhkˑ)
ASH_7	(kulov)																						
ASH_8													lomə̠ʒ										
ASH_9														tuː dʲoəʔ									
AT_1										ordɯn										urʦɯn			
AT_10																nɑːnə							
AT_11	peʎe												pelen										
AT_12																							mɑn
AT_14									dɯnɯn														
AT_15				mɛlːɛtː																			
AT_16												pɑːlt											
AT_18	kedʲse																						
AT_19																						æːrelː	
AT_2									(sɑjɯn)														
AT_20																						tyvenː	
AT_22													βoktene										
AT_23		juːres																				juːrɤz	
AT_3							pŏŋəl																
AT_4								alʲn															
AT_5			luo̞nɑ		loːn																		
AT_8										dorɯn			ðene							dorɯn			
BACK_1													tup										
BACK_10								(sielʲːk)							(se̯ælɛki)		(sɛalʲɟ͡ʝʲːɘ)						
BACK_11		selk	se̞lkæ		selɡ̊æ	sɛlkæ					sæːlɡɑ				se̯ælɛki						sɛlʲɡ	selʧ	sˑælk
BACK_2																				tɯbɯr			
BACK_3	koporʲ																						
BACK_4														məku		moqə			mɑxɑ				
BACK_5									mɯʃk	mɯʃ													
BACK_7	kutʲmerʲe																						
BACK_8							ʧø̆ɳʧ					sis											
BACK_9																		(rʉʧːɛ)					
BAD_1							ætəm																
BAD_11									umɤʎ	omɤʎ													
BAD_12				rosː																			
BAD_13													(uðɑ)										
BAD_14																		(mɔtːan)					
BAD_15																						kehno	
BAD_16																				(urod)			
BAD_17											(slikcːə)												
BAD_2															(he̯æcːʊ)								
BAD_20														bɑhiɑ					wæwɑ				
BAD_21													(nɑʧɑr)										
BAD_22																qoɕək							
BAD_23												ʎuːʎ											
BAD_24					(pɑhɑ)																	(pɑhɑ)	
BAD_25	kɑʎdʲɑv																						
BAD_26		(hɑlp)																					(hɑlv)
BAD_27	ɑpɑro																						
BAD_3	(berʲɑɲ)																						
BAD_4															(hejtːɔh)								
BAD_5								ɲuesʲː															
BAD_6																	(xuɛnʲːɘ)						
BAD_7					hub̥ɑ																		
BAD_9			huo̞no̞		hoːno	hʊɔnɔ																	
BAKE_1	rʲestɑms																						
BAKE_10														hiðibtɯsɯ									
BAKE_11					vɑːliɑ																		
BAKE_12												(sɑːriti)	(ʒɑritlem)										
BAKE_13									(pɤʒɑvnɯ)	(pɤʒɑvnɯ)					(paːhkːeh)					(pɯʒɯnɯ)			
BAKE_2			(le̞ipo̞ɑ)																				
BAKE_3													puʃtə̠lɑnem										
BAKE_4																		(poːhkɛdh)					
BAKE_5											uːdə												
BAKE_6				ʃyt																			
