Gloss	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
BAKE_7		kypːsetːɑtɑ																					kˑyʦˑæmæ
BAKE_8			(pɑist̪ɑː)		(pɑistɑː)			(paːʃʲːte)													(pɑʃtːɑ)		
BARK_1	sud											jiwsuːl								sul			
BARK_12																			sʲɑbt				
BARK_2		puːkoːr			koːri					kɯrɕ	kuːorʲ										kɔrʲ	koːri	kˑuːrʲ
BARK_3	kerʲ			keːrɛɡ			kær	keːrː				keːr	kyr				kərːɐ			kur			
BARK_4													ʃym										
BARK_5			(kɑːrnɑ)			(kʊɔri)																	
BARK_6		(korp)																					
BARK_7								(paːr̥ːk)							(paːrɑhkʊ)			(pɑːrhkuʌ)					
BARK_8								peːsʲː															
BARK_9									kɑʨ					kɑsu		qɑːsə							kˑosˑkʲˑ
BATHE_1	ʃʎɑms																						
BATHE_10																uːr							
BATHE_11	(pɑrʲɑms)												purem										
BATHE_12								vuːjnedːe															
BATHE_13									(kupɑjʨːɯnɯ)														
BATHE_5																							ʦukˑlɤmɑ
BATHE_6							pø̝ɣəl			pɯlɕɯnɯ		puwli								pɯlɑɕkɯnɯ			
BATHE_7									(miɕːɯnɯ)				(muʃkə̠ltɑm)										
BATHE_8		kymːeltɑ	kylpe̞æ		kylpiːsːæ	kylpiɛ					ɡilɡə										kʏlʲptæs	ʧylpemæ	
BATHE_9				fyrdik																			
BAT_1																							yːsˑisˑɑsˑ
BAT_10																						nɑhktiːru	
BAT_13	kedʲɲimiʎɑv																						
BAT_14								kɨrʲːtejsaːhpliŋk															
BAT_15													βoðə̠βə̠ʧə̠rɑŋɡe										
BAT_16										bordɑʃɯr													
BAT_17												toːrtowlɑp											
BAT_18				dɛnɛveːr																			
BAT_2		nɑhkhiːr							kuʃbord													nɑhktiːru	nɑhkˑhiːrʲ
BAT_3																						yːlɑk	
BAT_4							ɲurpɑ̆jlɑŋ																
BAT_5																				urtkɯʧ			
BAT_6		nɑhkhiːr																					nɑhkˑhiːrʲ
BAT_7			le̞pɑkːo̞		lepɑkːo																		
BAT_9																						yːlɑk	yːsˑisˑɑsˑ
BE HUNGRY_1		næljɑne olːɑ	o̞lːɑ nælkæine̞n		nælɡ̊æhiːn	nælkæhini		ɲaːlːke			næːlɡɑʎi				ne̯ælɡkɑs		nɛalɣlɒʒ					nælːez ɤlɤmɑ	nælæne
BE HUNGRY_10							iləɣ																
BE HUNGRY_11													ʃuʒem										
BE HUNGRY_2														ŋɑmnɑntuə		ɑmnɑm							
BE HUNGRY_3												eːtɣɑlɑwe											
BE HUNGRY_4				eːɦɛʃnɛk lɛnːi																			
BE HUNGRY_5																				ɕutem			
BE HUNGRY_6	vɑʧoʧi																						
BE HUNGRY_7														honəntuə									
BE HUNGRY_8									ʧɯɡ	ʧɯɡ ovnɯ													
BECAUSE_1														ɲiːðə									
BECAUSE_10	ɕeks meks																						
BECAUSE_11			ko̞skɑ					ɡuejke														ku	
BECAUSE_12																				mɑlɯ ke ʃuono			
BECAUSE_14							merə																
BECAUSE_15					sentæː																		
BECAUSE_16	ɕeks	selːepærɑst	siksi		sentæː								sɑndene									sisːi	sˑelːe
BECAUSE_17										sɯ pondɑ													
BECAUSE_18														suəbəsɯ									
BECAUSE_3		selːepærɑst			sem peræst																		
BECAUSE_4									siʥ kɯʥ														
BECAUSE_5													sɑðlɑn										
BECAUSE_6									(dɑ)														
BECAUSE_8				mɛrt																			
BECAUSE_9										sɯ vɤsnɑ													
BECOME_1	ɑrɑms																						
BECOME_10												tɑχi											
BECOME_11		tulːɑ	t̪ulːɑ			tʊlːɑ																tulɤmɑ	
BECOME_12				vaːlik																			
BECOME_13																				potɯnɯ			
BECOME_14																			xæsʲ				
BECOME_15								(ʃeːnːte)									(ʃədːɐd)	(ʃɨtːɛdh)					
BECOME_2	tʲejevems																				tɛxtɑs		
BECOME_3														konɯdʲi									
BECOME_4							jə																
BECOME_5																esu							
BECOME_6												wɑːrχɑti											
BECOME_7		(sɑːtɑ)			sɑːvˑɑ								(ʃuɑm)										(sˑɑːmɑ)
BECOME_8				lɛsː					lonɯ	lonɯ	liːdə		lijɑm							luɯnɯ			
BEGIN_1																						nɤisɤmɑ	
BEGIN_10	ustɑvɑms																						
BEGIN_11										ʤɯnjɑvnɯ													
BEGIN_12				kɛzd																			
BEGIN_13	kɑrmɑms																						
BEGIN_14																lɑqəkːu							
BEGIN_15													tyŋɑlɑm										
BEGIN_16	uʃodoms																						
BEGIN_17										kutnɯ										kuʦkɯnɯ			
BEGIN_18							jə																
BEGIN_2												pɑti											
BEGIN_3												oːwəltɑχti											
BEGIN_4								(alʲːke)							(aːlɛkih)			(æːlkɛdh)					
BEGIN_5											irɡə												
BEGIN_6									pondɤtʨɯnɯ														
BEGIN_7		ɑlɑtːɑ	ɑlkɑː		ɑlkuɑ																ɑʊɡɔtɑdɑ	ɑlkumɑ	ɑlknɤmɑ
BEGIN_9														huɑrudʲɑ					pʲɑsʲ				
BEHIND_1		tɑkɑ	t̪ɑkɑnɑ		tɑkˑɑː	tɑkɑnɑ					tɑɡɑːn			tɑkənu	tʊ̯ɔkaːs	tɑːk	tuɛc͡çʲːɛn	tʉɛkɛsnɛ	tʲɑxənɑ		tɑɡɑ	tɑkɑn	tˑɑkˑɑn
BEHIND_10													ʃeŋɡelne										
BEHIND_11									bɤrɯn	bɤr vɯlɤ													
BEHIND_12							pɯrnə																
BEHIND_14														məkini									
BEHIND_2				møɡøtː				maŋʲelʲt							mɑŋil								
BEHIND_3									(sɑjɯn)	(sɑjɤ)													
BEHIND_4												(sɑːjt)											
BEHIND_5														huə									
BEHIND_6	udɑlo																						
BEHIND_7	ekʃse																						
BEHIND_8							kɑs																
BEHIND_9																				ɕɤrɯn			
BELLY_1							kŏɳ																
BELLY_10																perkə							
BELLY_11												sim											
BELLY_12	peke																						
BELLY_13		vɑtːs	ʋɑt̪sɑ		vɑʦɑ						vɑtsɑː										vɑʦ	vɑtːs	
BELLY_14												soːriɣ											
BELLY_15			(mɑɦɑ)																				
BELLY_16																						(mɑko)	
BELLY_17							poɣlɯ																
BELLY_2									kɯnɤm														
BELLY_3		kɤht																		kɤt	kɔxt		kˑɤtː
BELLY_4				(ɟomor)																			
BELLY_5							(ont)																
BELLY_6				hɒʃ																			
BELLY_7								ʧuejːv						ʧɑjbə	ʧɔ̯ɑvji		ʧɔuʝʲːɘ	ʧoæjːiɛ	tʲiw				
BELLY_8										ruʃku													
BELLY_9													myʃkə̠r										
BERRY_1				boɟoː								piːl											
BERRY_2													(jemə̠ʃ)										
BERRY_3									(jɑɡɤd)														
BERRY_4										(tuɕ)													
BERRY_5																ʧopər							
BERRY_6	mɑrʲ	mɑri	mɑrjɑ		mɑrjɑ	mɑrjɑ					mɔːrʲɑ				mʊ̯ɔrji		muɛrʲʝʲːɘ	mʉɛrjiɛ				mɑrjɤ	mɑri
BERRY_7													(sɑskɑ)										
BERRY_8							ul							ŋutɑ					ŋoːdʲɑ	uzɯborɯ			
BESIDE_1																				vɤzɯn			
BESIDE_11																						ʎiʧi	
BESIDE_13													βoktene										
BESIDE_14														ɲiːdʲə									
BESIDE_15		kɤrvɑl																				kɤrvɤl	kˑɤrvɑl
BESIDE_17													liʃne										
BESIDE_19														kɑdʲɑ									
BESIDE_2	vɑksːo																						
BESIDE_20					juːrez																		
BESIDE_21								lunʲː															
BESIDE_22	mɑlɑso			mɛlːɛtː																			
BESIDE_3										dorɑs													
BESIDE_4	bokɑso																						
BESIDE_5												poːχɑn											
BESIDE_6							jŏlnə																
BESIDE_7									bokɯn														
BESIDE_9			ʋie̞re̞sːæ																				
BIG_1													kuɣu										
BIG_10																uə̠rqə			ŋɑrkɑ				
BIG_12							lŏɣɑt																
BIG_13			iso̞																				
BIG_14																				(bɑʥːɯm)			
BIG_2									ɯʤɯt	ɯʤɯd													
BIG_3	pokʃ																						
BIG_4				nɒɟ																			
BIG_5														ɑniʔə									
BIG_6								(ʃuːrː)									(ʃurːɐ)						
BIG_7															(stʊ̯ɔris)			(stuʌrɛ)					
BIG_8		(suːr)	(suːri)		(suːr)	(suːri)					(suːr)										(sʊrʲ)	(suːr)	(sˑuːrʲ)
BIG_9							eɳə					jɑniɣ											
BIRD_1		lint	lin̪t̪u		lind̥u	lintʊ		lɒːnʲːt			lind				lɔdti		lɔdʲːɘ	lɛtːiɛ			lind	lintu	
BIRD_10							wɑjəɣ					towəluːj											
BIRD_11													(kɑjə̠k)										
BIRD_12																suːrəm			tʲirtʲɑsɑrmʲik				
BIRD_2									kɑj														
BIRD_3																				tɯloburdo			
BIRD_4	nɑrmuɲ																						
BIRD_5														təibəː		tilʧəti suːrəm			tʲirtʲɑsɑrmʲik				
BIRD_6										(kiʦɑ)													
BIRD_7				mɒdaːr																			
BIRD_8																							ʦirkˑ
BIRD_9										lebɑʨ													
BITE_1	rumʃtɑms																						
BITE_3			purːɑ		purːɑ	pʊrːɑ	pŏr					puri	purɑm								pʊrdɑ	purɤmɑ	pˑurɤmɑ
BITE_4														sɑkələsɑ		sɑːʧə							
BITE_5									kurʨːɑvnɯ	kurtʲʨɯnɯ										kurtʨɯnɯ			
BITE_6								kaːʦʲːke							kaːskih		kaʦʲc͡çʲːɛd						
BITE_7		(hɑmːustɑtɑ)									(jɑmstə)											(ɑmːɤsːɤmɑ)	
BITE_8	suskoms																						
BITTER_1														tɑsəɡəː									
BITTER_10																		pihʦɛds					
BITTER_11								pɨʧːker									pɛʧʲc͡çʲːɛr	(pæːʧkiɛs)					
BITTER_12			kɑrʋɑs						kurɯt	kurɯd	kɑrːi									kurɯt			
BITTER_13												oɕːəŋ											
BITTER_14	lɑʒɑɲɑ																						
BITTER_15				kɛʃɛrvɛʃ																			
BITTER_17	sepej																						
BITTER_2		kipe									kiˀbɟi												
BITTER_4							wɑ̆tʲər																
BITTER_5			kit̪ke̞ræ										koʧo										
BITTER_6		mɤru																					mɤro
BITTER_7	korɕɑɲɑ																						
BITTER_8						kɑrkiɛ															kɑrɡɛd		
BITTER_9																pɑriɲi							
BLACK_1									ɕɤd	ɕɤd										ɕɤd			
BLACK_2							pəɣtə																
BLACK_3		(must)	(mustɑ)		(mustɑ)	(mʊstɑ)					(mustɑː)										(mʊst)	(mus)	(musˑtˑ)
BLACK_4												seːməl	ʃeme										
BLACK_5														tusɑjkɑʔɑ									
BLACK_6	rɑuʒo																						
BLACK_7																			pərʲidʲeːɲɑ				
BLACK_8																sæːqə							
BLACK_9								ʧɒːhpe							ʧaːhpːes		ʧɒpːɐd	ʧeːhpɛs					
BLOOD_1												keːlp											
BLOOD_2														kɑm		kɤm							
BLOOD_3	verʲ	veri	ʋe̞ri	veːr	veri	vɛri	wər	veːrː	vir	vir	vɛr	wiɣər	βyr		vɑrːɑ		vərːɐ	βɨrːɛ		vir	vɛri	veri	veri
BLOOD_4																			weːjɑ				
BLOW (OF WIND)_1		puhutɑ	puɦɑltɑː		puhɑd̥ɑ			pɒːsːe			puːˀɡə										pʊhʊdɑ	puhumɑ	pˑuhkˑmɑ
BLOW (OF WIND)_2									pɤʎtnɯ	pɤʎɑlnɯ										peʎtɯnɯ			
BLOW (OF WIND)_4																				tɤlɑnɯ			
BLOW (OF WIND)_5	puvɑms			fuːj			pŏχ					puwi	puem	hyələsɑ		puː							
BLUNT_1								mierʲesʲ															
BLUNT_11							pelːəɣ																
BLUNT_13													(tokmɑk)										
BLUNT_14																qɑmələʎ							
BLUNT_15															pɑstːɔhe̯æpme								
BLUNT_16												tɑʎəχsup											
BLUNT_2																						tylpʲː	
BLUNT_4														tɯɑməː									
BLUNT_5			t̪ylsæ			tylʧːæ					tɨːlzɑ										tʏlʲʦ		
BLUNT_7				(tompɒ)																			
BLUNT_8																			tɨnxɑ				
BLUNT_9	noʃkɑ	nyri			nyrhi				nɯʒ	nɯʒ			nyʃkø							nɯʒ		nyri	nyhr
BONE_1									(koskɑ)														
BONE_2								taːxʲːt							taːkti		taxʲtʲːɘ						
BONE_3				ʧont																			
BONE_4																		moɒruʌ					
BONE_5	pɑkɑrʲ																						
BONE_6		kont																					
BONE_7	lovɑʒɑ	luː	luː		luː	luː	lŏχ		lɯ	lɯ	luː	luw	lu	lɑtəː		lɯː			lɨ	lɯ	lʊ	luː	luː
BORE_10																						(puːrimɑ)	
BORE_11																						(burɑvoitːɤmɑ)	
BORE_13													(ʃytem)										
BORE_14								poːɡːe															
BORE_15										bɯ kɯnɯ													
BORE_3	peʎems																						
BORE_4																				portɯnɯ			
BORE_6		puːritɑ	(po̞rɑt̪ɑ)	(fuːr)					(pɯrɤtnɯ)							purət							pˑuːrmɑ
BORE_7														ɕeðitəsɯ									
BORE_8												(pɑːsɣi)											
BORE_9																						uhɤrtimɑ	
BORROW_1																				punemɑnɯ			
BORROW_11				(kølʧønøz)																			
BORROW_14									oʥɤsɑvnɯ	uʤdɯnɯ													
BORROW_15	sɑjems veʎɑtomɡɑ																						
BORROW_3																(səjmi)							
BORROW_6													kysə̠lem										
BORROW_7		(lɑenɑtːɑ)	(lɑinɑt̪ɑ)		(lɑinɑd̥ɑ)																	(lɑinɑmɑ)	(lɑinɑmɑ)
BORROW_8								(laːjːne)															
BORROW_9														ətiːʔtəsɯ									
BREAST_1																				ɡɑdʲ			
BREAST_10	potʲe																						
BREAST_11													(oŋ)										
BREAST_13													ʧə̠ze	ɕinɕə									
BREAST_14																kɯːlə							
BREAST_2		rint	rin̪t̪ɑ		rind̥ɑ	rintɑ		ranʲːt			riːndɑ											rint	rint
BREAST_5	meʃtʲe																						
BREAST_6									moros	morɤs													
BREAST_8				mɛl			møɣəl					mɑːɣl											
BREAST_9								ninːʧ															
BREATHE_1													(ʃylem)										
BREATHE_2				leːlɛɡzik			lælt		lolɑvnɯ	lolɑvnɯ		lilæji								lulʥɯnɯ			
BREATHE_3	ʎekɕems																						
BREATHE_4																				ʃokɑnɯ			
BREATHE_5		hinkɑtːɑ	he̞ŋːit̪ːæː		heŋɡ̊itːæː	hɛŋkitːyæ					jɛŋɡə										hɛŋktæ	enʧimæ	hinkæmæ
BREATHE_6								vuːjːne						bɑʧədʲɑ	vʊɛjɡŋɑh	kuə̠j	vuəiŋːɐd	βuʌjŋɛhtidh					
BURN_1										lomɑvnɯ													
BURN_10									soʨːɯnɯ	sotʲʨɯnɯ													
BURN_2																				ʤuɑnɯ			
BURN_3													(jylem)										
BURN_4							li																
BURN_5												teːɣ											
BURN_6																ɑm							
BURN_7																			pərɑdɑsʲ				
BURN_8				eːɡ																			
BURN_9	pɑloms	pɤletɑ	pɑlɑː		pɑlˑɑː	pɑlʊɑ		puːlʲːe			pɑlːə				pʊ̯ɔlːih		pualʲdʲːɛd	pʉɛlɛdh			pɑlːɑdɑ	pɤlɤmɑ	pˑɑlɑmɑ
CARRY_1									novjɤtnɯ	novlɯnɯ										nulːɯnɯ			
CARRY_10												oːɲɕi											
CARRY_11							ælt					ɑːlmi											
CARRY_2							tæl																
CARRY_3	kɑndoms	kɑntɑ	kɑn̪t̪ɑː		kɑntɑː	kɑntʊɑ		kuːnʲːte			kɑndə		kondem		kʊ̯ɔdtih	quə̠ntə	kuɛdʲdɛd	kʉɛtːɛdh			kɑntːɑ	kɑntɤmɑ	kˑɑntmɑ
CARRY_4														mɯndɯsɯ									
CARRY_5																						(vɤmæ)	
CARRY_6				hord																			
CARRY_7										nɤbɑvnɯ													
CARRY_8													numɑlɑm										
CARRY_9				ʦipɛl																			
CHARCOAL_1												lotəχ											
CHARCOAL_2														torykyɕɑ huɑlə									
CHARCOAL_3									ʃom	ʃom													
CHARCOAL_4	ɕedʲ	sysi					sø̆j				siˀʒ		ʃyj			ʨuːʦ		(ʧɨrːɛ)				sysi	hyʦˑi
CHARCOAL_5																				(eɡɯr)			
CHARCOAL_6			hiːli		hiːli	hiːli		(ɨlː)									(ilːɐ)				hilʲ	iːli	
CHARCOAL_7																			jɑtɑʔmɑ				
CHARCOAL_8				seːn											ʧitnɑ								
CHILD (DESCENDANT)_1																				pinɑl			
CHILD (DESCENDANT)_10																iːŋɑ							
CHILD (DESCENDANT)_11	ejkɑkʃ																						
CHILD (DESCENDANT)_13														ɲuː					ɲu				
CHILD (DESCENDANT)_15												ɑːɣipiɣ											
CHILD (DESCENDANT)_16									ʨeʎɑdʲ	ʨeʎɑdʲ													
CHILD (DESCENDANT)_17								(paːrːne)															
CHILD (DESCENDANT)_18	ejdʲe																						
CHILD (DESCENDANT)_2				(ɟɛrɛk)																			
CHILD (DESCENDANT)_20													iɣeʃuβə̠										
CHILD (DESCENDANT)_3																				nɯlpi			
CHILD (DESCENDANT)_4							ɲəŋikɯjɯ																
CHILD (DESCENDANT)_5		lɑpːs	lɑpsi		lɑps																lɑpsʲ	lɑhs	lɑʦʲ
CHILD (DESCENDANT)_6												ɲɑːwrɑm											
CHILD (DESCENDANT)_7	pɑkʃɑ																						
CHILD (DESCENDANT)_8									(kɑɡɑ)														
CHILD (DESCENDANT)_9													joʧɑ										
CHILD_1																				nɯlpi			
CHILD_10									(kɑɡɑ)														
CHILD_11								(paːrnenʧ)															
CHILD_12							økəmot																
CHILD_13							ɲəŋikɯjɯ																
CHILD_15	ejdʲe																						
CHILD_16													iɣeʃuβə̠										
CHILD_17																iːŋɑ							
CHILD_18	pɑkʃɑ																						
CHILD_19												ɑːɣipiɣ											
CHILD_2														ɲuə									
CHILD_21				(ɟɛrɛk)																			
CHILD_3		lɑpːs	lɑpsi		lɑps																lɑpsʲ	lɑhs	lɑʦʲ
CHILD_4																			ŋɑʦʲeːkɨ				
CHILD_5													joʧɑ										
CHILD_6																				pinɑl			
CHILD_7	ejkɑkʃ																						
CHILD_8										ʨeʎɑdʲ													
CHILD_9												ɲɑːwrɑm											
CLEAN_1		(puhɑs)	(puxdɑs)		(puhɑz)	(pʊhɑs)					(puːˀdɨz)										(pʊxtɑz)	(puhɑs)	(pˑuhɑsˑ)
CLEAN_10																				(tɑzɑ)			
CLEAN_11				(tistɒ)																			
CLEAN_12												(sistɑm)											
CLEAN_13															(raːjnːɑs)			(ræːjniɛs)					
CLEAN_14	vɑɲks																						
CLEAN_15								ʧiːlːk															
CLEAN_2													(ɑru)										
CLEAN_3													jɑndɑr										
CLEAN_4										peʎk													
CLEAN_5																				ʨilkɯt			
CLEAN_6																						siːvo	
CLEAN_7															(pʊhtes)		(puːtʲːɛs)						
CLEAN_8									sɤstɤm														
CLEAN_9														ɲɑrɑjkuə									
CLOUD_1					(tuːtˑsɑ)							tul										(tuːʧ)	
CLOUD_2	peʎ	pilv	pilʋi	fɛlɦøː	pilvi	pilvi	pələŋ	peːvːl			piːlɑ		pə̠l		pɑlɑvɑ		pəlvːɐ	palβɛ		piʎem	pilʲv	pilvi	pˑilvʲ
CLOUD_3														ʧiəðu		tiːtːə			tʲir				
CLOUD_4	kovol								kɯmɤr	kɯmɤr													
COLD_1							ətʲəɣ																
COLD_10				hidɛɡ																			
COLD_11																					vilʊ		
COLD_12							jøɣli						jyʃtø										
COLD_2														ʧəɕiɕi		tɑɕːu			tʲeːʦʲdɑ				
COLD_3									kɤʥɯt	kɤʥɯd										keʑɯt			
COLD_5																						kɑhu	
COLD_6												ɑɕərmɑ											
COLD_7	(keʎme)	(kylm)	(kylmæ)		(kylmæ)	(kylmæ)		(kelmas)			(kiːlmɑ)				(kɑlmːɑs)		(kəːlmɐs)	(kalmɛ)				(ʧyl)	(kˑylm)
COLD_9					kuːmɑ																		
COMB_1					(kriepinɑ)																	(ɡreːbeni)	
COMB_10		(kɑmː)	(kɑmpɑ)																				(kˑɑmmʲ)
COMB_2							kø̆ɳʧiw																
COMB_3													ʃerɣe										
COMB_4					(suɡ̊ɑ)	(sʊkɑ)		(ʧɒːɡʲː)							(ʧɔhkʊn)		(ʧɔːɣːɒm)				(sʊɡɑ)		
COMB_5				feːʃyː																			
COMB_6	surɕeme								sɯnɑn	sɯnɑn						tipsiɲ			tʲirʦʲ	sɯn			
COMB_7											(kɛm)												
COMB_8												ɒːrip											
COMB_9																		(kɑːmpɛ)					
COME_1										vonɯ										vuɯnɯ			
COME_2		tulːɑ	t̪ulːɑ		tulːɑ	tʊlːɑ					tuːldɑ		tolɑm	tujɕɑ		tyː			toːsʲ		tʊldɑ	tulɤmɑ	tˑulɤmɑ
COME_3									loknɯ	loknɯ										lɯktɯnɯ			
COME_4								puedʲːe							pɔ̯ɑhtih		puɛtʲːɛd	poætɛdh					
COME_5				jøn			jø̆					jiw											
COME_6	(sɑms)																						
COME_7							jŏχət																
COOKED_1	(pidʲeʑ)			(føːtː)					(puɤm)	(punɯ)		(pɑːjti)		hiriməː									
COOKED_2																				pɤʑɯnɯ			
COOKED_4							kœɣrəm																
COOKED_5													ʃoltem			muɕə							
