Language,Automatic Matches,Manual Matches,Total Matches,Mean LevDist
Karelian,159,68,227,0.29
Livonian,56,184,240,0.45
North Saami,197,37,234,0.34
Skolt Saami,103,140,243,0.29
South Saami,217,20,237,0.33
Tundra Nenets,16,184,200,0.63
Veps,131,95,226,0.34
