UraLex_Index	Language	UraLex_Form	UraLex_Value	NEL_Form	NEL_Value	NEL_Source_Form	LevenshteinDist	Accepted?
9309	Karelian	muurahaine	muurahaine	muːrɑhɑini	muurahaini	muːrɑhɑini	0.1	x
7868	Karelian	ukonkoari	ukonkoari	ʊkɔŋkʊɑri	ukonkuari	ʊkɔŋkʊɑri	0.1111111111111111	x
10077	Karelian	kuvahaine	kuvahaine	kʊvɑhɑini	kuvahaini	kʊvɑhɑini	0.1111111111111111	x
483	Karelian	henkitteä	henkitteä	hɛŋkitːyæ	henkittyä	hɛŋkitːyæ	0.1111111111111111	x
5444	Karelian	hämehikki	hämehikki	hæmæhikːi	hämähikki	hæmæhikːi	0.1111111111111111	x
7834	Karelian	ukonkoari	ukonkoari	ʊkɔŋkʊɑri	ukonkuari	ʊkɔŋkʊɑri	0.1111111111111111	x
257	Karelian	šiivatta	šiivatta	siːvɑtːɑ	siivatta	siːvɑtːɑ	0.125	x
7623	Karelian	vihelteä	vihelteä	vihɛltyæ	viheltyä	vihɛltyæ	0.125	x
6377	Karelian	puistoa	puistoa	pʊistʊɑ	puistua	pʊistʊɑ	0.1428571428571428	x
2973	Karelian	keärmis	keärmis	kiærmis	kiärmis	kiærmis	0.1428571428571428	x
6100	Karelian	opastoa	opastoa	ɔpɑstʊɑ	opastua	ɔpɑstʊɑ	0.1428571428571428	x
3540	Karelian	viskata	viskata	visɑtɑ	visata	visɑtɑ	0.1428571428571428	x
3402	Karelian	tuolla	tuolla	tʊɔlɑ	tuola	tʊɔlɑ	0.1666666666666667	x
9445	Karelian	syyvä	syyvä	syyvvæ	syyvvä	syyvvæ	0.1666666666666667	x
2781	Karelian	lauloa	lauloa	lɑʊlʊɑ	laulua	lɑʊlʊɑ	0.1666666666666667	x
1813	Karelian	tappoa	tappoa	tɑpːʊɑ	tappua	tɑpːʊɑ	0.1666666666666667	x
1379	Karelian	jeätyö	jeätyö	jiætyœ	jiätyö	jiætyœ	0.1666666666666667	x
9282	Karelian	kantoa	kantoa	kɑntʊɑ	kantua	kɑntʊɑ	0.1666666666666667	x
8997	Karelian	nakroa	nakroa	nɑkrʊɑ	nakrua	nɑkrʊɑ	0.1666666666666667	x
8100	Karelian	lyyvä	lyyvä	lyyvvæ	lyyvvä	lyyvvæ	0.1666666666666667	x
783	Karelian	kaivoa	kaivoa	kɑivʊɑ	kaivua	kɑivʊɑ	0.1666666666666667	x
8386	Karelian	juuva	juuva	juːvvɑ	juuvva	juːvvɑ	0.1666666666666667	x
4255	Karelian	nostoa	nostoa	nɔstʊɑ	nostua	nɔstʊɑ	0.1666666666666667	x
964	Karelian	toatto	toatto	tʊɑtːɔ	tuatto	tʊɑtːɔ	0.1666666666666667	x
1715	Karelian	miten	miten	mitɛin	mitein	mitɛin	0.1666666666666667	x
7561	Karelian	jakoa	jakoa	jɑkʊɑ	jakua	jɑkʊɑ	0.2	x
4048	Karelian	naine	naine	nɑini	naini	nɑini	0.2	x
2872	Karelian	moata	moata	mʊɑtɑ	muata	mʊɑtɑ	0.2	x
1676	Karelian	piteä	piteä	pityæ	pityä	pityæ	0.2	x
1356	Karelian	neljä	neljä	nɛlːæ	nellä	nɛlːæ	0.2	x
8407	Karelian	napa	napa	nʲɑpɑ	n´apa	nʲɑpɑ	0.2	x
2297	Karelian	veteä	veteä	vɛtyæ	vetyä	vɛtyæ	0.2	x
8736	Karelian	antoa	antoa	ɑntʊɑ	antua	ɑntʊɑ	0.2	x
9374	Karelian	ottoa	ottoa	ɔtːʊɑ	ottua	ɔtːʊɑ	0.2	x
2186	Karelian	toine	toine	tɔini	toini	tɔini	0.2	x
4198	Karelian	keltaine	keltaine	kɛltɑni	keltani	kɛltɑni	0.25	x
7742	Karelian	likaine	likaine	likɑni	likani	likɑni	0.2857142857142857	x
1103	Karelian	torata	torata	tɔrɑ	tora	tɔrɑ	0.3333333333333333	x
6907	Karelian	jeä	jeä	jiæ	jiä	jiæ	0.3333333333333333	x
1575	Karelian	peä	peä	piæ	piä	piæ	0.3333333333333333	x
1646	Karelian	teällä	teällä	tiælæ	tiälä	tiælæ	0.3333333333333333	x
4505	Karelian	kantapeä	kantapeä	kɑntɑ	kanta	kɑntɑ	0.375	x
2084	Karelian	vuori	vuori	vʊɑrɑ	vuara	vʊɑrɑ	0.4	x
4816	Karelian	etähänä	etähänä	ɛtæhælːini	etähällini	ɛtæhælːini	0.4	x
4081	Karelian	mettšä	mettšä	mɛʧːæ	meččä	mɛt͡ʃːæ	0.5	x
4417	Karelian	kymmen ~ kymmenen	kymmen ~ kymmenen	kymːɛnɛn	kymmenen	kymːɛnɛn	0.5294117647058824	x
5198	Karelian	imehnine ~ inehmine	imehnine ~ inehmine	imɛxnini	imehnini	imɛxnini	0.5789473684210527	x
10213	Karelian	teähti ~ tähti	teähti ~ tähti	tæxti	tähti	tæxti	0.6428571428571429	x
4875	Karelian	repo ~ repoi	repo ~ repoi	rɛpɔ	repo	rɛpɔ	0.6666666666666666	x
4757	Karelian	koarna	koarna	kʊɔri	kuori	kʊɔri	0.6666666666666666	x
5930	Karelian	talo ~ taloi	talo ~ taloi	tɑlɔ	talo	tɑlɔ	0.6666666666666666	x
5198	Karelian	imehnine ~ inehmine	imehnine ~ inehmine	ixmini	ihmini	ixmini	0.7368421052631579	x
192	Karelian	ta ~ tai	ta ~ tai	tɑ	ta	tɑ	0.75	x
6975	Karelian	mettšuija	metšätteä	mɛʧæstyæ	mečästyä	mɛt͡ʃæstyæ	0.7777777777777778	x
8615	Karelian	mi ~ mikä	mi ~ mikä	mi	mi	mi	0.7777777777777778	x
6976	Karelian	mettšuija	metšätteä	mɛʧæstyæ	mečästyä	mɛt͡ʃæstyæ	0.7777777777777778	x
7084	Karelian	tylttšä ~ tšylttšä	tylttšä ~ tšylttšä	tylʧːæ	tylččä	tylt͡ʃːæ	0.8	x
9315	Livonian	siprikki	siprikki	sipriki	sipriki	sipriki	0.125	x
